"Date","Price","Open","High","Low","Change %"
"11/01/2024","4.361","4.163","4.371","4.124","5.52%"
"10/01/2024","4.133","3.651","4.150","3.605","14.30%"
"09/01/2024","3.616","3.630","3.688","3.442","0.17%"
"08/01/2024","3.610","3.715","3.780","3.414","-4.65%"
"07/01/2024","3.786","4.160","4.194","3.768","-7.79%"
"06/01/2024","4.106","4.095","4.220","3.822","0.34%"
"05/01/2024","4.092","4.146","4.179","3.808","-0.20%"
"04/01/2024","4.100","3.670","4.227","3.670","11.47%"
"03/01/2024","3.678","3.796","3.874","3.653","-3.01%"
"02/01/2024","3.792","3.601","3.984","3.543","3.13%"
"01/01/2024","3.677","3.638","3.956","3.603","0.96%"
"12/01/2023","3.642","4.161","4.161","3.593","-9.83%"
"11/01/2023","4.039","4.598","4.631","4.013","-10.82%"
"10/01/2023","4.529","4.132","4.578","3.988","8.53%"
"09/01/2023","4.173","3.777","4.198","3.740","9.64%"
"08/01/2023","3.806","3.824","4.054","3.725","-0.78%"
"07/01/2023","3.836","3.960","4.229","3.755","-2.54%"
"06/01/2023","3.936","3.384","4.028","3.349","15.29%"
"05/01/2023","3.414","2.968","3.576","2.962","8.97%"
"04/01/2023","3.133","3.024","3.353","2.863","2.86%"
"03/01/2023","3.046","3.698","3.741","2.854","-16.32%"
"02/01/2023","3.640","3.270","3.748","3.092","12.24%"
"01/01/2023","3.243","3.699","3.721","3.031","-12.11%"
"12/01/2022","3.690","3.228","3.739","3.077","12.06%"
"11/01/2022","3.293","3.527","3.710","3.244","-4.63%"
"10/01/2022","3.453","3.695","3.920","3.372","-8.24%"
"09/01/2022","3.763","3.419","3.936","3.225","10.87%"
"08/01/2022","3.394","2.823","3.546","2.811","19.76%"
"07/01/2022","2.834","3.303","3.407","2.811","-18.00%"
"06/01/2022","3.456","3.144","3.946","3.129","9.89%"
"05/01/2022","3.145","3.038","3.365","2.967","6.75%"
"04/01/2022","2.946","2.638","2.981","2.569","14.85%"
"03/01/2022","2.565","1.831","2.722","1.754","35.86%"
"02/01/2022","1.888","1.630","2.038","1.557","15.19%"
"01/01/2022","1.639","1.333","1.777","1.333","22.40%"
"12/01/2021","1.339","1.308","1.436","1.235","-0.22%"
"11/01/2021","1.342","1.480","1.491","1.237","-14.47%"
"10/01/2021","1.569","0.786","1.588","0.778","101.15%"
"09/01/2021","0.780","0.633","0.798","0.591","30.43%"
"08/01/2021","0.598","0.594","0.672","0.507","-1.48%"
"07/01/2021","0.607","0.847","0.850","0.582","-28.42%"
"06/01/2021","0.848","0.822","0.913","0.693","2.79%"
"05/01/2021","0.825","0.696","0.896","0.631","18.19%"
"04/01/2021","0.698","0.758","0.765","0.645","-9.11%"
"03/01/2021","0.768","0.782","0.867","0.660","-1.92%"
"02/01/2021","0.783","0.425","0.874","0.370","90.51%"
"01/01/2021","0.411","0.334","0.471","0.322","21.96%"
"12/01/2020","0.337","0.307","0.421","0.305","11.96%"
"11/01/2020","0.301","0.289","0.346","0.235","5.61%"
"10/01/2020","0.285","0.378","0.412","0.259","-22.97%"
"09/01/2020","0.370","0.425","0.459","0.332","-13.75%"
"08/01/2020","0.429","0.403","0.460","0.331","7.25%"
"07/01/2020","0.400","0.410","0.469","0.353","0.50%"
"06/01/2020","0.398","0.420","0.483","0.330","-0.75%"
"05/01/2020","0.401","0.437","0.466","0.331","-8.45%"
