"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.520","2.527","2.658","2.460","-0.61%"
"10/01/2024","2.536","2.271","2.635","2.127","12.06%"
"09/01/2024","2.263","2.548","2.605","2.162","-11.32%"
"08/01/2024","2.552","2.533","2.602","1.804","-1.62%"
"07/01/2024","2.594","2.930","3.033","2.552","-11.38%"
"06/01/2024","2.927","3.034","3.119","2.762","-3.27%"
"05/01/2024","3.026","2.888","3.105","2.751","3.45%"
"04/01/2024","2.925","2.723","2.990","2.651","10.05%"
"03/01/2024","2.658","2.775","2.850","2.469","-2.89%"
"02/01/2024","2.737","2.454","2.872","2.398","12.87%"
"01/01/2024","2.425","2.409","2.702","2.281","3.50%"
"12/01/2023","2.343","2.803","2.823","2.243","-16.83%"
"11/01/2023","2.817","3.198","3.213","2.732","-9.22%"
"10/01/2023","3.103","3.280","3.351","3.040","-3.90%"
"09/01/2023","3.229","2.894","3.395","2.860","11.69%"
"08/01/2023","2.891","2.860","3.198","2.838","-3.05%"
"07/01/2023","2.982","2.992","3.237","2.824","-0.43%"
"06/01/2023","2.995","2.714","3.089","2.653","11.34%"
"05/01/2023","2.690","2.755","3.004","2.520","-0.04%"
"04/01/2023","2.691","2.749","3.009","2.469","-0.19%"
"03/01/2023","2.696","3.197","3.296","2.272","-13.14%"
"02/01/2023","3.104","2.637","3.209","2.408","16.82%"
"01/01/2023","2.657","2.882","2.884","2.301","-9.13%"
"12/01/2022","2.924","2.096","2.936","1.986","32.91%"
"11/01/2022","2.200","2.411","2.706","2.126","-9.13%"
"10/01/2022","2.421","2.343","2.864","1.957","3.15%"
"09/01/2022","2.347","1.692","2.605","1.478","41.56%"
"08/01/2022","1.658","0.771","1.705","0.611","118.16%"
"07/01/2022","0.760","1.331","1.408","0.688","-43.91%"
"06/01/2022","1.355","1.077","2.039","1.040","24.66%"
"05/01/2022","1.087","0.878","1.150","0.725","23.24%"
"04/01/2022","0.882","0.615","0.942","0.501","56.66%"
"03/01/2022","0.563","0.002","0.674","-0.265","18,666.67%"
"02/01/2022","0.003","-0.148","0.246","-0.167","-102.14%"
"01/01/2022","-0.140","-0.342","-0.133","-0.355","-60.34%"
"12/01/2021","-0.353","-0.507","-0.331","-0.532","-30.10%"
"11/01/2021","-0.505","-0.307","-0.264","-0.555","76.57%"
"10/01/2021","-0.286","-0.471","-0.274","-0.493","-38.10%"
"09/01/2021","-0.462","-0.553","-0.431","-0.710","-17.94%"
"08/01/2021","-0.563","-0.619","-0.556","-0.679","-10.63%"
"07/01/2021","-0.630","-0.406","-0.394","-0.639","55.17%"
"06/01/2021","-0.406","-0.396","-0.366","-0.494","1.75%"
"05/01/2021","-0.399","-0.427","-0.289","-0.465","-3.86%"
"04/01/2021","-0.415","-0.476","-0.395","-0.528","-12.82%"
"03/01/2021","-0.476","-0.442","-0.422","-0.557","16.95%"
"02/01/2021","-0.407","-0.659","-0.360","-0.670","-38.34%"
"01/01/2021","-0.660","-0.669","-0.613","-0.723","-4.95%"
"12/01/2020","-0.695","-0.677","-0.620","-0.738","3.77%"
"11/01/2020","-0.669","-0.717","-0.599","-0.743","-5.53%"
"10/01/2020","-0.709","-0.616","-0.598","-0.728","14.09%"
"09/01/2020","-0.621","-0.541","-0.512","-0.659","16.91%"
"08/01/2020","-0.531","-0.558","-0.503","-0.623","-10.81%"
"07/01/2020","-0.596","-0.496","-0.434","-0.622","15.11%"
"06/01/2020","-0.517","-0.396","-0.321","-0.534","29.61%"
"05/01/2020","-0.399","-0.442","-0.299","-0.451","-5.20%"
"04/01/2020","-0.421","-0.285","-0.099","-0.445","60.05%"
"03/01/2020","-0.263","-0.635","0.099","-0.795","-58.15%"
"02/01/2020","-0.629","-0.533","-0.465","-0.657","16.08%"
"01/01/2020","-0.542","-0.341","-0.323","-0.560","64.27%"
"12/01/2019","-0.330","-0.405","-0.325","-0.465","-23.68%"
"11/01/2019","-0.432","-0.461","-0.339","-0.486","-5.94%"
"10/01/2019","-0.459","-0.566","-0.386","-0.625","-21.14%"
"09/01/2019","-0.582","-0.721","-0.481","-0.772","-20.82%"
"08/01/2019","-0.735","-0.546","-0.537","-0.762","27.85%"
"07/01/2019","-0.575","-0.453","-0.409","-0.596","24.82%"
"06/01/2019","-0.461","-0.351","-0.312","-0.495","30.57%"
"05/01/2019","-0.353","-0.199","-0.186","-0.365","66.67%"
"04/01/2019","-0.212","-0.257","-0.140","-0.259","-22.22%"
"03/01/2019","-0.272","-0.038","-0.020","-0.297","609.11%"
"02/01/2019","-0.038","-0.208","-0.028","-0.282","-81.89%"
"01/01/2019","-0.212","-0.171","-0.146","-0.257","31.68%"
"12/01/2018","-0.161","-0.101","-0.061","-0.197","29.84%"
"11/01/2018","-0.124","-0.059","-0.004","-0.147","77.14%"
"10/01/2018","-0.070","0.025","0.109","-0.112","-305.88%"
