"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.514","2.587","2.631","2.463","-2.29%"
"10/01/2024","2.573","2.294","2.663","2.170","11.63%"
"09/01/2024","2.305","2.526","2.569","2.269","-7.43%"
"08/01/2024","2.490","2.535","2.566","2.348","-2.39%"
"07/01/2024","2.551","2.862","2.931","2.533","-10.14%"
"06/01/2024","2.839","2.959","3.083","2.734","-4.44%"
"05/01/2024","2.971","2.826","3.020","2.699","3.77%"
"04/01/2024","2.863","2.658","2.927","2.591","9.65%"
"03/01/2024","2.611","2.736","2.776","2.501","-3.40%"
"02/01/2024","2.703","2.402","2.821","2.349","14.00%"
"01/01/2024","2.371","2.340","2.628","2.260","3.18%"
"12/01/2023","2.298","2.701","2.708","2.164","-14.51%"
"11/01/2023","2.688","3.036","3.045","2.619","-10.52%"
"10/01/2023","3.004","3.146","3.291","2.961","-4.06%"
"09/01/2023","3.131","2.817","3.340","2.756","11.74%"
"08/01/2023","2.802","2.854","3.166","2.769","-2.23%"
"07/01/2023","2.866","2.876","3.191","2.723","-0.76%"
"06/01/2023","2.888","2.627","3.024","2.546","10.95%"
"05/01/2023","2.603","2.723","2.967","2.451","-1.29%"
"04/01/2023","2.637","2.656","2.951","2.409","0.88%"
"03/01/2023","2.614","3.086","3.207","2.246","-13.10%"
"02/01/2023","3.008","2.565","3.085","2.288","17.04%"
"01/01/2023","2.570","2.790","2.801","2.249","-8.96%"
"12/01/2022","2.823","2.078","2.828","1.946","30.27%"
"11/01/2022","2.167","2.252","2.522","2.073","-4.54%"
"10/01/2022","2.270","2.262","2.655","1.880","1.16%"
"09/01/2022","2.244","1.676","2.504","1.507","38.54%"
"08/01/2022","1.620","0.758","1.668","0.633","120.83%"
"07/01/2022","0.734","1.315","1.403","0.717","-45.83%"
"06/01/2022","1.354","1.079","1.993","1.058","27.20%"
"05/01/2022","1.064","0.902","1.116","0.755","17.94%"
"04/01/2022","0.903","0.647","0.950","0.519","62.63%"
"03/01/2022","0.555","0.048","0.716","-0.223","683.90%"
"02/01/2022","0.071","-0.154","0.313","-0.190","-144.61%"
"01/01/2022","-0.159","-0.378","-0.123","-0.396","-59.29%"
"12/01/2021","-0.390","-0.504","-0.345","-0.566","-23.48%"
"11/01/2021","-0.509","-0.256","-0.228","-0.577","83.83%"
"10/01/2021","-0.277","-0.482","-0.232","-0.510","-40.90%"
"09/01/2021","-0.469","-0.529","-0.408","-0.591","-16.60%"
"08/01/2021","-0.562","-0.591","-0.526","-0.673","-9.25%"
"07/01/2021","-0.619","-0.444","-0.402","-0.644","37.33%"
"06/01/2021","-0.451","-0.420","-0.353","-0.501","7.07%"
"05/01/2021","-0.421","-0.392","-0.282","-0.470","-1.22%"
"04/01/2021","-0.426","-0.481","-0.382","-0.530","-13.01%"
"03/01/2021","-0.490","-0.448","-0.417","-0.558","15.96%"
"02/01/2021","-0.423","-0.653","-0.348","-0.655","-35.18%"
"01/01/2021","-0.652","-0.674","-0.596","-0.705","-1.24%"
"12/01/2020","-0.660","-0.659","-0.615","-0.731","1.07%"
"11/01/2020","-0.654","-0.700","-0.593","-0.729","-6.34%"
"10/01/2020","-0.698","-0.600","-0.590","-0.708","14.90%"
"09/01/2020","-0.607","-0.524","-0.507","-0.635","16.70%"
"08/01/2020","-0.520","-0.541","-0.481","-0.584","-4.36%"
"07/01/2020","-0.544","-0.461","-0.414","-0.579","13.57%"
"06/01/2020","-0.479","-0.372","-0.295","-0.500","29.78%"
"05/01/2020","-0.369","-0.367","-0.269","-0.388","-4.63%"
"04/01/2020","-0.387","-0.235","-0.100","-0.397","76.31%"
"03/01/2020","-0.220","-0.529","0.159","-0.649","-58.08%"
"02/01/2020","-0.524","-0.491","-0.385","-0.553","3.68%"
"01/01/2020","-0.505","-0.296","-0.274","-0.510","59.31%"
"12/01/2019","-0.317","-0.369","-0.280","-0.429","-21.34%"
"11/01/2019","-0.403","-0.440","-0.286","-0.446","-7.14%"
"10/01/2019","-0.434","-0.629","-0.350","-0.657","-30.89%"
"09/01/2019","-0.628","-0.754","-0.518","-0.787","-16.93%"
"08/01/2019","-0.756","-0.606","-0.551","-0.781","22.93%"
"07/01/2019","-0.615","-0.513","-0.423","-0.649","18.04%"
"06/01/2019","-0.521","-0.414","-0.350","-0.552","27.07%"
"05/01/2019","-0.410","-0.270","-0.262","-0.420","45.91%"
"04/01/2019","-0.281","-0.283","-0.214","-0.314","-4.42%"
"03/01/2019","-0.294","-0.123","-0.095","-0.321","149.15%"
"02/01/2019","-0.118","-0.104","-0.075","-0.183","2.61%"
"01/01/2019","-0.115","-0.037","0.020","-0.122","576.47%"
