"Date","Price","Open","High","Low","Change %"
"11/01/2024","13.106","12.990","13.255","12.781","0.95%"
"10/01/2024","12.983","12.910","12.983","12.910","4.16%"
"09/01/2024","12.465","12.415","12.465","12.415","2.05%"
"08/01/2024","12.215","12.130","12.215","12.034","1.88%"
"07/01/2024","11.990","11.990","11.990","11.990","-1.92%"
"06/01/2024","12.225","12.225","12.225","12.225","5.62%"
"05/01/2024","11.575","11.625","11.642","11.575","0.96%"
"04/01/2024","11.465","11.380","11.465","11.380","7.45%"
"03/01/2024","10.670","10.693","10.693","10.670","1.86%"
"02/01/2024","10.475","10.555","10.555","10.475","1.95%"
"01/01/2024","10.275","10.330","10.330","10.275","1.73%"
"12/01/2023","10.100","10.120","10.120","10.100","-4.49%"
"11/01/2023","10.575","10.615","10.615","10.575","-8.88%"
"10/01/2023","11.605","11.720","11.720","11.605","1.75%"
"09/01/2023","11.405","11.405","11.405","11.405","5.07%"
"08/01/2023","10.855","10.820","10.855","10.820","2.41%"
"07/01/2023","10.600","10.660","10.660","10.600","0.28%"
"06/01/2023","10.570","10.645","10.645","10.570","-6.54%"
"05/01/2023","11.310","11.310","11.310","11.310","-7.33%"
"04/01/2023","12.205","12.175","12.205","12.175","-3.13%"
"03/01/2023","12.600","12.600","12.600","12.600","-2.55%"
"02/01/2023","12.930","12.935","12.955","12.930","0.86%"
"01/01/2023","12.820","12.960","12.960","12.820","0.87%"
"12/01/2022","12.710","12.710","12.710","12.710","-1.01%"
"11/01/2022","12.840","12.840","12.840","12.840","9.74%"
"10/01/2022","11.700","11.925","11.925","11.650","-0.76%"
"09/01/2022","11.790","11.930","11.930","11.790","-1.46%"
"08/01/2022","11.965","11.980","11.980","11.965","-6.78%"
"07/01/2022","12.835","13.035","13.035","12.835","-0.43%"
"06/01/2022","12.890","12.890","12.890","12.890","3.70%"
"05/01/2022","12.430","12.465","12.465","12.430","1.68%"
"04/01/2022","12.225","12.270","12.270","12.225","8.76%"
"03/01/2022","11.240","11.600","11.600","11.240","0.22%"
"02/01/2022","11.215","11.370","11.405","11.215","1.72%"
"01/01/2022","11.025","11.385","11.385","11.025","3.04%"
"12/01/2021","10.700","10.795","10.795","10.700","-7.16%"
"11/01/2021","11.525","11.590","11.590","11.525","-6.98%"
"10/01/2021","12.390","12.390","12.390","12.390","22.86%"
"09/01/2021","10.085","10.280","10.280","10.085","8.73%"
"08/01/2021","9.275","9.275","9.275","9.275","10.22%"
"07/01/2021","8.415","8.400","8.740","8.400","3.76%"
"06/01/2021","8.110","8.010","8.110","8.010","2.33%"
"05/01/2021","7.925","7.835","7.925","7.835","0.76%"
"04/01/2021","7.865","7.775","7.865","7.775","-3.38%"
"03/01/2021","8.140","8.150","8.150","8.140","11.66%"
"02/01/2021","7.290","7.290","7.290","7.290","17.68%"
"01/01/2021","6.195","6.195","6.195","6.140","13.67%"
"12/01/2020","5.450","5.485","5.485","5.450","-16.67%"
"11/01/2020","6.540","6.540","6.540","6.540","-0.46%"
"10/01/2020","6.570","6.620","6.620","6.560","5.97%"
"09/01/2020","6.200","6.290","6.290","6.200","8.39%"
"08/01/2020","5.720","5.750","5.750","5.720","13.60%"
"07/01/2020","5.035","5.040","5.040","5.035","-8.20%"
"06/01/2020","5.485","5.565","5.565","5.485","-4.77%"
"05/01/2020","5.760","5.825","5.825","5.760","-9.72%"
"04/01/2020","6.380","6.285","6.410","6.285","-4.42%"
"03/01/2020","6.675","6.725","6.725","6.675","10.15%"
"02/01/2020","6.060","6.045","6.060","6.045","-1.38%"
"01/01/2020","6.145","6.135","6.145","6.115","-3.68%"
"12/01/2019","6.380","6.420","6.420","6.380","-0.31%"
"11/01/2019","6.400","6.470","6.470","6.400","8.29%"
"10/01/2019","5.910","5.910","5.910","5.910","-9.70%"
"09/01/2019","6.545","6.535","6.555","6.505","-6.30%"
"08/01/2019","6.985","7.155","7.155","6.965","2.42%"
"07/01/2019","6.820","6.800","6.860","6.730","-3.12%"
"06/01/2019","7.040","7.140","7.180","6.990","-12.00%"
"05/01/2019","8.000","8.080","8.100","7.990","-6.76%"
"04/01/2019","8.580","8.655","8.655","8.555","5.02%"
"03/01/2019","8.170","8.170","8.180","7.970","-0.49%"
"02/01/2019","8.210","8.210","8.250","8.140","1.73%"
"01/01/2019","8.070","8.260","8.260","8.010","-5.28%"
"12/01/2018","8.520","8.620","8.620","8.510","-5.54%"
"11/01/2018","9.020","9.100","9.120","9.010","-3.43%"
"10/01/2018","9.340","9.175","9.380","9.125","-14.94%"
"09/01/2018","10.980","10.810","11.000","10.770","-2.66%"
"08/01/2018","11.280","11.470","11.600","11.220","9.51%"
"07/01/2018","10.300","10.240","10.320","10.150","-4.05%"
"06/01/2018","10.735","10.790","10.860","10.570","3.82%"
"05/01/2018","10.340","10.454","10.690","10.170","15.27%"
"04/01/2018","8.970","8.870","8.970","8.870","1.36%"
"03/01/2018","8.850","8.830","8.900","8.760","-3.17%"
"02/01/2018","9.140","9.160","9.190","9.050","-1.51%"
"01/01/2018","9.280","9.280","9.280","9.200","-4.58%"
"12/01/2017","9.725","9.745","9.770","9.675","-2.65%"
"11/01/2017","9.990","9.950","10.060","9.870","3.74%"
"10/01/2017","9.630","9.600","9.655","9.535","3.88%"
"09/01/2017","9.270","9.330","9.355","9.220","-3.54%"
"08/01/2017","9.610","9.720","9.770","9.560","-1.23%"
