"Date","Price","Open","High","Low","Change %"
"11/01/2024","3.136","3.064","3.207","2.964","3.64%"
"10/01/2024","3.026","2.719","3.117","2.715","10.48%"
"09/01/2024","2.739","3.043","3.047","2.642","-9.81%"
"08/01/2024","3.037","3.097","3.151","2.855","-1.65%"
"07/01/2024","3.088","3.537","3.648","3.084","-12.17%"
"06/01/2024","3.516","3.654","3.693","3.277","-4.79%"
"05/01/2024","3.693","3.879","3.905","3.613","-4.52%"
"04/01/2024","3.868","3.543","3.917","3.535","9.42%"
"03/01/2024","3.535","3.550","3.697","3.378","-1.12%"
"02/01/2024","3.575","3.429","3.832","3.312","5.18%"
"01/01/2024","3.399","3.240","3.607","3.206","7.29%"
"12/01/2023","3.168","3.594","3.670","3.114","-12.61%"
"11/01/2023","3.625","4.097","4.119","3.580","-12.35%"
"10/01/2023","4.136","4.330","4.461","4.053","-2.71%"
"09/01/2023","4.251","3.899","4.378","3.781","9.34%"
"08/01/2023","3.888","3.915","4.195","3.750","-0.51%"
"07/01/2023","3.908","3.684","4.032","3.684","6.08%"
"06/01/2023","3.684","3.465","3.867","3.398","6.97%"
"05/01/2023","3.444","2.989","3.609","2.807","15.76%"
"04/01/2023","2.975","3.101","3.294","2.778","-1.42%"
"03/01/2023","3.018","3.538","3.690","2.655","-14.48%"
"02/01/2023","3.529","3.045","3.696","2.882","16.43%"
"01/01/2023","3.031","3.416","3.426","2.773","-10.93%"
"12/01/2022","3.403","3.171","3.439","2.882","7.83%"
"11/01/2022","3.156","3.439","3.824","3.128","-7.61%"
"10/01/2022","3.416","3.371","3.896","3.182","2.74%"
"09/01/2022","3.325","3.291","3.492","3.161","0.82%"
"08/01/2022","3.298","2.547","3.312","2.521","25.93%"
"07/01/2022","2.619","3.056","3.285","2.557","-15.73%"
"06/01/2022","3.108","2.764","3.610","2.757","13.43%"
"05/01/2022","2.740","2.762","2.957","2.574","-0.62%"
"04/01/2022","2.757","2.456","2.876","2.436","14.49%"
"03/01/2022","2.408","1.654","2.627","1.437","48.18%"
"02/01/2022","1.625","1.624","1.865","1.570","-0.55%"
"01/01/2022","1.634","1.343","1.724","1.263","29.48%"
"12/01/2021","1.262","1.431","1.524","1.143","-9.27%"
"11/01/2021","1.391","1.518","1.658","1.317","-7.82%"
"10/01/2021","1.509","1.121","1.546","1.063","36.44%"
"09/01/2021","1.106","0.858","1.134","0.709","32.14%"
"08/01/2021","0.837","0.786","0.932","0.734","2.45%"
"07/01/2021","0.817","0.975","1.008","0.695","-16.55%"
"06/01/2021","0.979","0.909","1.073","0.816","8.42%"
"05/01/2021","0.903","0.944","0.989","0.841","-3.32%"
"04/01/2021","0.934","0.972","1.031","0.874","-5.94%"
"03/01/2021","0.993","0.891","1.072","0.770","12.84%"
"02/01/2021","0.880","0.423","1.036","0.414","108.04%"
"01/01/2021","0.423","0.407","0.507","0.337","8.18%"
"12/01/2020","0.391","0.430","0.513","0.391","-11.54%"
"11/01/2020","0.442","0.401","0.516","0.347","10.78%"
"10/01/2020","0.399","0.357","0.413","0.322","12.08%"
"09/01/2020","0.356","0.393","0.418","0.301","-11.66%"
"08/01/2020","0.403","0.316","0.480","0.300","25.55%"
"07/01/2020","0.321","0.391","0.429","0.302","-12.53%"
"06/01/2020","0.367","0.396","0.556","0.321","-10.71%"
"05/01/2020","0.411","0.356","0.468","0.284","2.75%"
"04/01/2020","0.400","0.557","0.804","0.369","-31.97%"
"03/01/2020","0.588","1.112","1.142","0.238","-45.20%"
"02/01/2020","1.073","1.297","1.411","1.046","-16.24%"
"01/01/2020","1.281","1.695","1.696","1.270","-24.02%"
"12/01/2019","1.686","1.572","1.736","1.460","13.23%"
"11/01/2019","1.489","1.431","1.624","1.398","4.86%"
"10/01/2019","1.420","1.426","1.644","1.238","1.72%"
"09/01/2019","1.396","1.200","1.521","1.118","17.31%"
"08/01/2019","1.190","1.476","1.487","1.122","-17.93%"
"07/01/2019","1.450","1.419","1.603","1.332","4.02%"
"06/01/2019","1.394","1.367","1.438","1.274","1.98%"
"05/01/2019","1.367","1.536","1.659","1.361","-11.29%"
"04/01/2019","1.541","1.520","1.694","1.475","1.31%"
"03/01/2019","1.521","1.817","1.837","1.386","-16.24%"
"02/01/2019","1.816","1.789","1.887","1.764","1.62%"
"01/01/2019","1.787","1.829","1.977","1.743","-5.45%"
"12/01/2018","1.890","2.219","2.234","1.854","-14.13%"
"11/01/2018","2.201","2.403","2.468","2.194","-9.42%"
"10/01/2018","2.430","2.393","2.491","2.297","3.85%"
"09/01/2018","2.340","2.170","2.363","2.138","7.83%"
"08/01/2018","2.170","2.216","2.284","2.137","-2.08%"
"07/01/2018","2.216","2.092","2.239","2.016","7.26%"
"06/01/2018","2.066","2.118","2.197","1.918","-2.32%"
"05/01/2018","2.115","2.124","2.346","2.020","-0.52%"
"04/01/2018","2.126","1.968","2.191","1.968","8.03%"
"03/01/2018","1.968","2.053","2.131","1.952","-3.86%"
"02/01/2018","2.047","2.098","2.173","1.987","-1.49%"
"01/01/2018","2.078","1.874","2.109","1.861","11.30%"
"12/01/2017","1.867","1.603","1.887","1.589","14.40%"
"11/01/2017","1.632","1.625","1.707","1.534","0.74%"
"10/01/2017","1.620","1.758","1.800","1.607","-7.59%"
"09/01/2017","1.753","1.540","1.885","1.538","14.35%"
"08/01/2017","1.533","1.643","1.650","1.451","-7.20%"
"07/01/2017","1.652","1.423","1.677","1.408","18.25%"
"06/01/2017","1.397","0.946","1.402","0.889","48.30%"
"05/01/2017","0.942","1.006","1.087","0.890","-6.64%"
"04/01/2017","1.009","1.118","1.132","0.977","-9.51%"
"03/01/2017","1.115","1.162","1.322","1.058","-0.54%"
"02/01/2017","1.121","1.130","1.221","1.008","0.63%"
"01/01/2017","1.114","1.150","1.200","1.039","-0.45%"
"12/01/2016","1.119","1.012","1.245","0.987","10.79%"
"11/01/2016","1.010","0.722","1.036","0.661","45.74%"
"10/01/2016","0.693","0.616","0.855","0.574","12.50%"
"09/01/2016","0.616","0.665","0.783","0.547","-7.92%"
"08/01/2016","0.669","0.628","0.750","0.531","11.69%"
"07/01/2016","0.599","0.569","0.712","0.506","5.27%"
"06/01/2016","0.569","0.746","0.763","0.490","-23.21%"
"05/01/2016","0.741","0.883","0.894","0.654","-16.18%"
"04/01/2016","0.884","0.688","0.949","0.646","30.96%"
"03/01/2016","0.675","0.668","0.814","0.627","0.30%"
"02/01/2016","0.673","0.674","0.750","0.405","-0.15%"
"01/01/2016","0.674","0.730","0.810","0.509","-7.67%"
"12/01/2015","0.730","0.927","1.011","0.695","-20.13%"
"11/01/2015","0.914","0.882","1.100","0.856","3.63%"
"10/01/2015","0.882","0.819","0.903","0.688","10.25%"
"09/01/2015","0.800","0.756","0.979","0.687","2.43%"
"08/01/2015","0.781","0.748","0.831","0.527","2.09%"
"07/01/2015","0.765","0.885","0.932","0.650","-6.13%"
"06/01/2015","0.815","0.889","1.111","0.813","-8.12%"
"05/01/2015","0.887","0.993","1.199","0.845","-9.21%"
"04/01/2015","0.977","0.768","1.050","0.690","27.71%"
"03/01/2015","0.765","0.727","1.028","0.707","5.08%"
"02/01/2015","0.728","0.605","0.869","0.572","20.33%"
"01/01/2015","0.605","1.364","1.374","0.595","-54.88%"
"12/01/2014","1.341","1.366","1.514","1.268","-2.05%"
"11/01/2014","1.369","1.540","1.598","1.365","-11.10%"
"10/01/2014","1.540","1.632","1.686","1.281","-5.35%"
"09/01/2014","1.627","1.535","1.773","1.526","6.97%"
"08/01/2014","1.521","1.536","1.582","1.436","0.07%"
"07/01/2014","1.520","1.555","1.658","1.448","-0.72%"
"06/01/2014","1.531","1.533","1.645","1.490","0.20%"
"05/01/2014","1.528","1.683","1.706","1.481","-8.72%"
"04/01/2014","1.674","1.720","1.803","1.623","-1.88%"
"03/01/2014","1.706","1.608","1.769","1.560","4.60%"
"02/01/2014","1.631","1.555","1.750","1.503","5.23%"
"01/01/2014","1.550","1.957","1.981","1.533","-20.80%"
"12/01/2013","1.957","1.742","1.967","1.716","12.80%"
"11/01/2013","1.735","1.714","1.890","1.664","0.93%"
"10/01/2013","1.719","1.875","1.963","1.677","-7.58%"
"09/01/2013","1.860","1.952","2.176","1.849","-4.71%"
"08/01/2013","1.952","1.749","2.037","1.741","11.93%"
"07/01/2013","1.744","1.764","1.896","1.634","-3.27%"
"06/01/2013","1.803","1.483","1.923","1.381","21.58%"
"05/01/2013","1.483","1.163","1.524","1.142","27.19%"
"04/01/2013","1.166","1.300","1.317","1.143","-10.31%"
"03/01/2013","1.300","1.323","1.426","1.262","-1.74%"
"02/01/2013","1.323","1.508","1.565","1.303","-11.86%"
"01/01/2013","1.501","1.401","1.575","1.383","8.38%"
"12/01/2012","1.385","1.293","1.463","1.245","7.45%"
"11/01/2012","1.289","1.350","1.392","1.241","-3.88%"
"10/01/2012","1.341","1.291","1.460","1.277","3.31%"
"09/01/2012","1.298","1.356","1.511","1.262","-5.05%"
"08/01/2012","1.367","1.271","1.581","1.243","7.72%"
"07/01/2012","1.269","1.217","1.363","1.097","1.44%"
"06/01/2012","1.251","1.205","1.344","1.054","0.40%"
"05/01/2012","1.246","1.605","1.649","1.227","-22.17%"
"04/01/2012","1.601","1.580","1.722","1.487","1.84%"
"03/01/2012","1.572","1.439","1.761","1.391","9.24%"
