"Date","Price","Open","High","Low","Change %"
"11/01/2024","5.560","5.510","5.590","5.510","0.91%"
"10/01/2024","5.510","5.210","5.510","5.150","5.76%"
"09/01/2024","5.210","5.530","5.530","5.170","-5.62%"
"08/01/2024","5.520","5.830","5.830","5.520","-5.80%"
"07/01/2024","5.860","5.960","5.960","5.770","-2.17%"
"06/01/2024","5.990","5.770","6.030","5.620","3.81%"
"05/01/2024","5.770","6.030","6.030","5.670","-4.31%"
"04/01/2024","6.030","5.860","6.220","5.860","3.43%"
"03/01/2024","5.830","5.630","5.830","5.500","3.37%"
"02/01/2024","5.640","5.270","5.640","5.260","5.62%"
"01/01/2024","5.340","5.410","5.690","5.340","-0.37%"
"12/01/2023","5.360","5.630","5.630","5.350","-4.96%"
"11/01/2023","5.640","6.530","6.530","5.630","-16.20%"
"10/01/2023","6.730","6.350","6.880","6.265","5.98%"
"09/01/2023","6.350","5.710","6.355","5.710","11.21%"
"08/01/2023","5.710","5.316","5.843","5.316","7.74%"
"07/01/2023","5.300","5.400","5.510","5.300","-1.85%"
"06/01/2023","5.400","5.700","5.725","5.240","-6.74%"
"05/01/2023","5.790","5.770","5.930","5.690","-0.52%"
"04/01/2023","5.820","5.600","6.060","5.600","3.93%"
"03/01/2023","5.600","6.160","6.264","5.450","-9.09%"
"02/01/2023","6.160","5.570","6.160","5.550","10.79%"
"01/01/2023","5.560","5.730","5.730","5.270","-2.46%"
"12/01/2022","5.700","5.550","5.763","5.400","2.89%"
"11/01/2022","5.540","6.820","6.820","5.350","-18.53%"
"10/01/2022","6.800","7.170","7.350","6.760","-6.85%"
"09/01/2022","7.300","6.980","7.300","6.660","5.34%"
"08/01/2022","6.930","6.680","7.040","6.680","0.58%"
"07/01/2022","6.890","6.440","7.000","6.420","5.35%"
"06/01/2022","6.540","6.490","6.780","6.440","1.08%"
"05/01/2022","6.470","6.850","7.080","6.380","-4.85%"
"04/01/2022","6.800","6.230","6.830","6.180","8.11%"
"03/01/2022","6.290","5.820","6.800","5.820","6.79%"
"02/01/2022","5.890","5.670","6.030","5.600","2.43%"
"01/01/2022","5.750","5.720","6.150","5.570","4.36%"
"12/01/2021","5.510","5.720","5.880","5.360","-1.78%"
"11/01/2021","5.610","5.730","5.850","5.380","-2.77%"
"10/01/2021","5.770","5.290","6.380","5.290","11.39%"
"09/01/2021","5.180","4.400","5.180","4.400","30.48%"
"08/01/2021","3.970","3.630","4.020","3.600","7.88%"
"07/01/2021","3.680","3.550","3.960","3.420","5.44%"
"06/01/2021","3.490","2.670","3.490","2.670","32.20%"
"05/01/2021","2.640","2.610","2.760","2.400","0.00%"
"04/01/2021","2.640","2.090","2.660","1.920","24.53%"
"03/01/2021","2.120","1.590","2.160","1.590","20.45%"
"02/01/2021","1.760","1.530","1.820","1.470","15.79%"
"01/01/2021","1.520","1.500","1.600","1.500","-0.65%"
"12/01/2020","1.530","1.620","1.730","1.490","-5.56%"
"11/01/2020","1.620","1.480","1.620","1.420","9.46%"
"10/01/2020","1.480","1.530","1.570","1.440","-10.30%"
"09/01/2020","1.650","1.450","1.660","1.450","10.00%"
"08/01/2020","1.500","0.800","1.550","0.730","87.50%"
"07/01/2020","0.800","0.720","0.980","0.680","8.11%"
"06/01/2020","0.740","0.990","1.060","0.670","-27.45%"
"05/01/2020","1.020","1.170","1.230","0.910","-7.27%"
"04/01/2020","1.100","1.450","1.690","1.100","-38.89%"
"03/01/2020","1.800","2.550","2.570","1.800","-29.41%"
"02/01/2020","2.550","2.550","2.710","2.490","0.39%"
"01/01/2020","2.540","2.350","2.610","2.350","6.72%"
"12/01/2019","2.380","2.560","2.770","2.380","-3.64%"
"11/01/2019","2.470","2.550","2.930","2.350","-1.59%"
"10/01/2019","2.510","2.280","2.570","2.090","12.56%"
"09/01/2019","2.230","2.300","2.300","2.150","-3.04%"
"08/01/2019","2.300","2.450","2.450","2.250","-8.37%"
"07/01/2019","2.510","2.860","2.860","2.480","-11.93%"
"06/01/2019","2.850","3.250","3.540","2.810","-12.84%"
"05/01/2019","3.270","3.620","3.640","3.270","-9.67%"
"04/01/2019","3.620","3.670","3.710","3.560","-0.82%"
"03/01/2019","3.650","3.910","3.910","3.640","-5.93%"
"02/01/2019","3.880","3.920","4.040","3.820","-1.02%"
"01/01/2019","3.920","4.000","4.110","3.900","-1.01%"
"12/01/2018","3.960","4.200","4.200","3.940","-4.58%"
"11/01/2018","4.150","4.340","4.340","4.150","-3.04%"
"10/01/2018","4.280","4.180","4.340","4.100","2.15%"
"09/01/2018","4.190","4.060","4.190","4.000","4.23%"
"08/01/2018","4.020","4.140","4.160","3.980","-2.66%"
"07/01/2018","4.130","4.110","4.130","4.070","-0.24%"
"06/01/2018","4.140","4.080","4.140","4.010","1.97%"
"05/01/2018","4.060","3.960","4.100","3.880","4.37%"
"04/01/2018","3.890","3.930","3.970","3.830","-1.52%"
"03/01/2018","3.950","3.950","4.050","3.940","-0.50%"
"02/01/2018","3.970","3.890","4.020","3.890","2.32%"
"01/01/2018","3.880","3.920","4.070","3.850","-2.27%"
"12/01/2017","3.970","4.010","4.100","3.970","-0.50%"
"11/01/2017","3.990","3.800","4.010","3.760","5.00%"
"10/01/2017","3.800","3.800","3.880","3.700","0.53%"
"09/01/2017","3.780","3.650","3.780","3.600","3.56%"
"08/01/2017","3.650","3.520","3.690","3.510","3.40%"
"07/01/2017","3.530","3.690","3.720","3.530","-4.34%"
"06/01/2017","3.690","3.650","3.720","3.590","0.54%"
"05/01/2017","3.670","3.530","3.750","3.500","4.26%"
"04/01/2017","3.520","3.590","3.650","3.400","-2.76%"
"03/01/2017","3.620","3.700","3.880","3.620","-2.69%"
"02/01/2017","3.720","3.750","3.970","3.710","-1.33%"
"01/01/2017","3.770","3.800","3.820","3.710","-1.31%"
"12/01/2016","3.820","4.220","4.220","3.800","-9.48%"
"11/01/2016","4.220","3.990","4.300","3.790","7.11%"
"10/01/2016","3.940","3.870","3.940","3.740","1.29%"
"09/01/2016","3.890","3.910","3.990","3.850","-0.26%"
"08/01/2016","3.900","4.070","4.070","3.860","-4.65%"
"07/01/2016","4.090","4.080","4.150","4.010","0.25%"
"06/01/2016","4.080","4.200","4.210","4.070","-3.55%"
"05/01/2016","4.230","4.130","4.230","4.070","2.42%"
"04/01/2016","4.130","4.160","4.180","4.090","-0.72%"
"03/01/2016","4.160","4.140","4.260","4.130","0.48%"
"02/01/2016","4.140","4.250","4.280","4.140","-2.59%"
"01/01/2016","4.250","4.450","4.450","4.230","-4.71%"
"12/01/2015","4.460","4.340","4.460","4.330","2.53%"
"11/01/2015","4.350","4.310","4.430","4.250","1.87%"
"10/01/2015","4.270","4.160","4.270","4.120","1.91%"
"09/01/2015","4.190","3.990","4.260","3.990","4.75%"
"08/01/2015","4.000","3.990","4.070","3.990","0.00%"
"07/01/2015","4.000","4.140","4.140","3.960","-3.15%"
"06/01/2015","4.130","4.220","4.270","4.130","-2.13%"
"05/01/2015","4.220","4.120","4.340","4.110","2.43%"
"04/01/2015","4.120","4.300","4.750","4.020","-3.96%"
"03/01/2015","4.290","3.940","4.290","3.940","9.16%"
"02/01/2015","3.930","3.740","4.030","3.720","4.80%"
"01/01/2015","3.750","3.900","3.900","3.720","-3.35%"
"12/01/2014","3.880","4.020","4.020","3.830","-2.51%"
"11/01/2014","3.980","4.090","4.120","3.980","-2.21%"
"10/01/2014","4.070","4.420","4.540","3.980","-7.92%"
"09/01/2014","4.420","3.950","4.440","3.950","11.90%"
"08/01/2014","3.950","4.230","4.230","3.930","-6.62%"
"07/01/2014","4.230","4.270","4.330","4.040","-3.42%"
"06/01/2014","4.380","4.550","4.550","4.370","-3.52%"
"05/01/2014","4.540","4.470","4.610","4.410","2.25%"
"04/01/2014","4.440","4.610","4.610","4.440","-2.42%"
"03/01/2014","4.550","4.740","4.750","4.550","-3.40%"
"02/01/2014","4.710","4.720","4.780","4.670","1.29%"
"01/01/2014","4.650","4.920","5.050","4.600","-4.91%"
"12/01/2013","4.890","4.780","4.970","4.780","2.52%"
"11/01/2013","4.770","4.740","4.770","4.550","1.06%"
"10/01/2013","4.720","5.100","5.130","4.720","-7.63%"
"09/01/2013","5.110","5.190","5.200","5.110","-1.35%"
"08/01/2013","5.180","5.120","5.180","5.080","0.78%"
"07/01/2013","5.140","5.260","5.260","5.090","-2.10%"
"06/01/2013","5.250","5.240","5.340","5.080","0.57%"
"05/01/2013","5.220","5.170","5.250","5.030","0.58%"
"04/01/2013","5.190","5.480","5.480","5.120","-5.12%"
"03/01/2013","5.470","5.630","5.640","5.470","-2.67%"
"02/01/2013","5.620","5.600","5.700","5.600","0.90%"
"01/01/2013","5.570","5.510","5.710","5.510","1.64%"
"12/01/2012","5.480","5.540","5.600","5.470","-0.72%"
"11/01/2012","5.520","5.400","5.550","5.370","2.60%"
"10/01/2012","5.380","5.360","5.400","5.340","0.56%"
