"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.056","2.106","2.121","1.965","-1.81%"
"10/01/2024","2.094","1.852","2.176","1.746","11.15%"
"09/01/2024","1.884","2.184","2.216","1.827","-12.45%"
"08/01/2024","2.152","2.176","2.224","1.923","-3.50%"
"07/01/2024","2.230","2.482","2.581","2.181","-9.13%"
"06/01/2024","2.454","2.577","2.662","2.297","-6.41%"
"05/01/2024","2.622","2.606","2.689","2.348","1.39%"
"04/01/2024","2.586","2.318","2.636","2.249","14.98%"
"03/01/2024","2.249","2.418","2.504","2.198","-7.75%"
"02/01/2024","2.438","2.228","2.563","2.138","10.47%"
"01/01/2024","2.207","2.190","2.489","2.034","3.08%"
"12/01/2023","2.141","2.521","2.589","2.015","-17.30%"
"11/01/2023","2.589","2.921","2.934","2.457","-10.48%"
"10/01/2023","2.892","3.045","3.131","2.805","-3.79%"
"09/01/2023","3.006","2.739","3.163","2.642","9.83%"
"08/01/2023","2.737","2.803","3.028","2.661","-2.22%"
"07/01/2023","2.799","2.893","3.085","2.624","-3.45%"
"06/01/2023","2.899","2.523","2.944","2.435","13.29%"
"05/01/2023","2.559","2.658","2.855","2.345","-1.01%"
"04/01/2023","2.585","2.614","2.882","2.406","0.15%"
"03/01/2023","2.581","2.988","3.166","2.083","-11.79%"
"02/01/2023","2.926","2.533","3.049","2.241","14.93%"
"01/01/2023","2.546","2.767","2.769","2.241","-8.55%"
"12/01/2022","2.784","2.045","2.791","1.912","32.19%"
"11/01/2022","2.106","2.106","2.106","2.106","-10.99%"
"10/01/2022","2.366","2.366","2.366","2.366","-1.42%"
"09/01/2022","2.400","2.400","2.400","2.400","40.43%"
"08/01/2022","1.709","1.709","1.709","1.709","100.12%"
"07/01/2022","0.854","0.854","0.854","0.854","-40.32%"
"06/01/2022","1.431","1.431","1.431","1.431","14.66%"
"05/01/2022","1.248","1.248","1.248","1.248","19.31%"
"04/01/2022","1.046","1.046","1.046","1.046","61.17%"
"03/01/2022","0.649","0.649","0.649","0.649","-2,008.82%"
"02/01/2022","-0.034","-0.034","-0.034","-0.034","-78.34%"
"01/01/2022","-0.157","-0.157","-0.157","-0.157","-49.68%"
"12/01/2021","-0.312","-0.312","-0.312","-0.312","-25.36%"
"11/01/2021","-0.418","-0.418","-0.418","-0.418","45.14%"
"10/01/2021","-0.288","-0.288","-0.288","-0.288","-30.94%"
"09/01/2021","-0.417","-0.417","-0.417","-0.417","-6.29%"
"08/01/2021","-0.445","-0.445","-0.445","-0.445","-17.29%"
"07/01/2021","-0.538","-0.538","-0.538","-0.538","41.58%"
"06/01/2021","-0.380","-0.380","-0.380","-0.380","4.68%"
"05/01/2021","-0.363","-0.363","-0.363","-0.363","-11.03%"
"04/01/2021","-0.408","-0.408","-0.408","-0.408","-7.69%"
"03/01/2021","-0.442","-0.442","-0.442","-0.442","27.01%"
"02/01/2021","-0.348","-0.348","-0.348","-0.348","-35.07%"
"01/01/2021","-0.536","-0.536","-0.536","-0.536","-0.92%"
"12/01/2020","-0.541","-0.541","-0.541","-0.541","-9.68%"
"11/01/2020","-0.599","-0.599","-0.599","-0.599","-2.60%"
"10/01/2020","-0.615","-0.615","-0.615","-0.615","14.31%"
"09/01/2020","-0.538","-0.538","-0.538","-0.538","16.20%"
"08/01/2020","-0.463","-0.463","-0.463","-0.463","-16.58%"
"07/01/2020","-0.555","-0.555","-0.555","-0.555","9.25%"
"06/01/2020","-0.508","-0.508","-0.508","-0.508","16.25%"
"05/01/2020","-0.437","-0.437","-0.437","-0.437","-15.96%"
"04/01/2020","-0.520","-0.520","-0.520","-0.520","19.54%"
"03/01/2020","-0.435","-0.435","-0.435","-0.435","-39.42%"
"02/01/2020","-0.718","-0.718","-0.718","-0.718","18.09%"
"01/01/2020","-0.608","-0.608","-0.608","-0.608","30.19%"
"12/01/2019","-0.467","-0.467","-0.467","-0.467","-17.78%"
"11/01/2019","-0.568","-0.568","-0.568","-0.568","-5.80%"
"10/01/2019","-0.603","-0.603","-0.603","-0.603","-19.17%"
"09/01/2019","-0.746","-0.746","-0.746","-0.746","-15.71%"
"08/01/2019","-0.885","-0.885","-0.885","-0.885","34.50%"
"07/01/2019","-0.658","-0.658","-0.658","-0.658","7.17%"
"06/01/2019","-0.614","-0.614","-0.614","-0.614","10.83%"
"05/01/2019","-0.554","-0.554","-0.554","-0.554","30.35%"
"04/01/2019","-0.425","-0.425","-0.425","-0.425","-9.57%"
"03/01/2019","-0.470","-0.470","-0.470","-0.470","50.16%"
"02/01/2019","-0.313","-0.313","-0.313","-0.313","10.60%"
"01/01/2019","-0.283","-0.283","-0.283","-0.283","20.94%"
"12/01/2018","-0.234","-0.234","-0.234","-0.234","14.71%"
"11/01/2018","-0.204","-0.204","-0.204","-0.204","52.24%"
"10/01/2018","-0.134","-0.134","-0.134","-0.134","112.70%"
"09/01/2018","-0.063","-0.063","-0.063","-0.063","-60.13%"
"08/01/2018","-0.158","-0.158","-0.158","-0.158","259.09%"
"07/01/2018","-0.044","-0.044","-0.044","-0.044","-67.65%"
"06/01/2018","-0.136","-0.136","-0.136","-0.136","7.09%"
"05/01/2018","-0.127","-0.127","-0.127","-0.127","-359.18%"
"04/01/2018","0.049","0.049","0.049","0.049","40.00%"
"03/01/2018","0.035","0.035","0.035","0.035","-81.68%"
"02/01/2018","0.191","0.191","0.191","0.191","-9.48%"
"01/01/2018","0.211","0.211","0.211","0.211","1,818.18%"
"12/01/2017","0.011","0.011","0.011","0.011","-103.07%"
"11/01/2017","-0.358","-0.358","-0.358","-0.358","14.74%"
"10/01/2017","-0.312","-0.312","-0.312","-0.312","-1.89%"
"09/01/2017","-0.318","-0.318","-0.318","-0.318","-5.36%"
"08/01/2017","-0.336","-0.336","-0.336","-0.336","29.73%"
"07/01/2017","-0.259","-0.259","-0.259","-0.259","93.28%"
"06/01/2017","-0.134","-0.134","-0.134","-0.134","-48.06%"
"05/01/2017","-0.258","-0.258","-0.258","-0.258","12.17%"
"04/01/2017","-0.230","-0.230","-0.230","-0.230","12.75%"
"03/01/2017","-0.204","-0.204","-0.204","-0.204","-42.86%"
"02/01/2017","-0.357","-0.357","-0.357","-0.357","174.62%"
"01/01/2017","-0.130","-0.130","-0.130","-0.130","-43.23%"
"12/01/2016","-0.229","-0.229","-0.229","-0.229","32.37%"
"11/01/2016","-0.173","-0.173","-0.173","-0.173","-7.49%"
"10/01/2016","-0.187","-0.187","-0.187","-0.187","-48.06%"
"09/01/2016","-0.360","-0.360","-0.360","-0.360","15.76%"
"08/01/2016","-0.311","-0.311","-0.311","-0.311","-3.12%"
"07/01/2016","-0.321","-0.321","-0.321","-0.321","20.68%"
"06/01/2016","-0.266","-0.266","-0.266","-0.266","202.27%"
"05/01/2016","-0.088","-0.088","-0.088","-0.088","-563.16%"
"04/01/2016","0.019","0.019","0.019","0.019","-218.75%"
"03/01/2016","-0.016","-0.016","-0.016","-0.016","-70.91%"
"02/01/2016","-0.055","-0.055","-0.055","-0.055","-190.16%"
"01/01/2016","0.061","0.061","0.061","0.061","-81.40%"
"12/01/2015","0.328","0.328","0.328","0.328","105.00%"
"11/01/2015","0.160","0.160","0.160","0.160","-47.71%"
"10/01/2015","0.306","0.306","0.306","0.306","84.34%"
"09/01/2015","0.166","0.166","0.166","0.166","27.69%"
"08/01/2015","0.130","0.130","0.130","0.130","319.35%"
"07/01/2015","0.031","0.031","0.031","0.031","-74.59%"
"06/01/2015","0.122","0.122","0.122","0.122","64.86%"
"05/01/2015","0.074","0.074","0.074","0.074","957.14%"
"04/01/2015","0.007","0.007","0.007","0.007","-105.34%"
"03/01/2015","-0.131","-0.131","-0.131","-0.131","-34.50%"
"02/01/2015","-0.200","-0.200","-0.200","-0.200","-14.89%"
"01/01/2015","-0.235","-0.235","-0.235","-0.235","-299.15%"
"12/01/2014","0.118","0.118","0.118","0.118","-28.48%"
"11/01/2014","0.165","0.165","0.165","0.165","-19.51%"
"10/01/2014","0.205","0.205","0.205","0.205","-16.33%"
"09/01/2014","0.245","0.245","0.245","0.245","-16.67%"
"08/01/2014","0.294","0.294","0.294","0.294","-36.09%"
"07/01/2014","0.460","0.460","0.460","0.460","-10.68%"
"06/01/2014","0.515","0.515","0.515","0.515","-10.90%"
"05/01/2014","0.578","0.578","0.578","0.578","-22.83%"
"04/01/2014","0.749","0.749","0.749","0.749","-12.50%"
"03/01/2014","0.856","0.856","0.856","0.856","0.23%"
"02/01/2014","0.854","0.854","0.854","0.854","0.47%"
"01/01/2014","0.850","0.850","0.850","0.850","-28.57%"
"12/01/2013","1.190","1.190","1.190","1.190","31.49%"
"11/01/2013","0.905","0.905","0.905","0.905","-7.37%"
"10/01/2013","0.977","0.977","0.977","0.977","-16.21%"
"09/01/2013","1.166","1.166","1.166","1.166","-9.96%"
"08/01/2013","1.295","1.295","1.295","1.295","22.29%"
"07/01/2013","1.059","1.059","1.059","1.059","-3.11%"
"06/01/2013","1.093","1.093","1.093","1.093","41.58%"
"05/01/2013","0.772","0.772","0.772","0.772","29.97%"
"04/01/2013","0.594","0.594","0.594","0.594","-9.59%"
"03/01/2013","0.657","0.657","0.657","0.657","-19.29%"
"02/01/2013","0.814","0.814","0.814","0.814","-22.99%"
"01/01/2013","1.057","1.057","1.057","1.057","1,577.78%"
"12/01/2012","0.063","0.063","0.063","0.063","-33.68%"
"11/01/2012","0.095","0.095","0.095","0.095","-64.68%"
"10/01/2012","0.269","0.269","0.269","0.269","0.00%"
"09/01/2012","0.269","0.269","0.269","0.269","54.60%"
"08/01/2012","0.174","0.174","0.174","0.174","141.67%"
"07/01/2012","0.072","0.072","0.072","0.072","-84.31%"
"06/01/2012","0.459","0.459","0.459","0.459","82.14%"
"05/01/2012","0.252","0.252","0.252","0.252","-61.47%"
"04/01/2012","0.654","0.654","0.654","0.654","-19.36%"
"03/01/2012","0.811","0.811","0.811","0.811","-7.21%"
"02/01/2012","0.874","0.874","0.874","0.874","13.21%"
"01/01/2012","0.772","0.772","0.772","0.772","22.93%"
"12/01/2011","0.628","0.628","0.628","0.628","-39.85%"
"11/01/2011","1.044","1.044","1.044","1.044","-24.24%"
"10/01/2011","1.378","1.378","1.378","1.378","8.68%"
"09/01/2011","1.268","1.268","1.268","1.268","-19.75%"
"08/01/2011","1.580","1.580","1.580","1.580","-22.51%"
"07/01/2011","2.039","2.039","2.039","2.039","-20.44%"
"06/01/2011","2.563","2.563","2.563","2.563","7.64%"
"05/01/2011","2.381","2.381","2.381","2.381","-10.86%"
"04/01/2011","2.671","2.671","2.671","2.671","-3.78%"
"03/01/2011","2.776","2.776","2.776","2.776","11.35%"
"02/01/2011","2.493","2.493","2.493","2.493","1.09%"
"01/01/2011","2.466","2.466","2.466","2.466","16.87%"
"12/01/2010","2.110","2.110","2.110","2.110","7.00%"
"11/01/2010","1.972","1.972","1.972","1.972","1.54%"
"10/01/2010","1.942","1.942","1.942","1.942","12.19%"
"09/01/2010","1.731","1.731","1.731","1.731","14.48%"
