"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.423","2.505","2.549","2.346","-4.15%"
"10/01/2024","2.528","2.231","2.617","2.124","13.01%"
"09/01/2024","2.237","2.511","2.573","2.219","-9.51%"
"08/01/2024","2.472","2.540","2.601","2.297","-3.59%"
"07/01/2024","2.564","2.918","3.015","2.554","-12.61%"
"06/01/2024","2.934","3.003","3.138","2.775","-2.91%"
"05/01/2024","3.022","2.867","3.096","2.759","2.82%"
"04/01/2024","2.939","2.701","2.996","2.648","10.12%"
"03/01/2024","2.669","2.766","2.828","2.546","-2.84%"
"02/01/2024","2.747","2.409","2.874","2.365","14.99%"
"01/01/2024","2.389","2.364","2.682","2.281","2.14%"
"12/01/2023","2.339","2.732","2.759","2.221","-14.39%"
"11/01/2023","2.732","3.129","3.161","2.670","-12.72%"
"10/01/2023","3.130","3.231","3.370","3.063","-2.80%"
"09/01/2023","3.220","2.874","3.365","2.830","11.73%"
"08/01/2023","2.882","2.901","3.162","2.817","-1.06%"
"07/01/2023","2.913","2.982","3.214","2.823","-2.22%"
"06/01/2023","2.979","2.712","3.050","2.617","10.70%"
"05/01/2023","2.691","2.721","2.954","2.451","2.13%"
"04/01/2023","2.635","2.670","2.899","2.393","0.53%"
"03/01/2023","2.621","3.150","3.269","2.295","-14.57%"
"02/01/2023","3.068","2.603","3.163","2.351","17.05%"
"01/01/2023","2.621","2.895","2.896","2.374","-10.55%"
"12/01/2022","2.930","2.231","2.932","2.109","27.23%"
"11/01/2022","2.303","2.440","2.722","2.196","-6.27%"
"10/01/2022","2.457","2.386","2.843","2.012","3.71%"
"09/01/2022","2.369","1.740","2.589","1.526","40.68%"
"08/01/2022","1.684","0.840","1.722","0.677","108.67%"
"07/01/2022","0.807","1.311","1.435","0.768","-40.31%"
"06/01/2022","1.352","1.134","2.066","1.107","21.04%"
"05/01/2022","1.117","0.924","1.160","0.792","21.02%"
"04/01/2022","0.923","0.680","0.980","0.544","58.86%"
"03/01/2022","0.581","0.086","0.758","-0.174","428.18%"
"02/01/2022","0.110","-0.078","0.276","-0.125","-234.15%"
"01/01/2022","-0.082","-0.315","-0.068","-0.345","-75.74%"
"12/01/2021","-0.338","-0.484","-0.335","-0.534","-30.17%"
"11/01/2021","-0.484","-0.266","-0.244","-0.544","82.64%"
"10/01/2021","-0.265","-0.520","-0.238","-0.544","-47.52%"
"09/01/2021","-0.505","-0.596","-0.468","-0.633","-15.41%"
"08/01/2021","-0.597","-0.683","-0.594","-0.736","-14.10%"
"07/01/2021","-0.695","-0.482","-0.458","-0.697","42.42%"
"06/01/2021","-0.488","-0.471","-0.419","-0.550","5.86%"
"05/01/2021","-0.461","-0.466","-0.344","-0.519","-1.28%"
"04/01/2021","-0.467","-0.514","-0.445","-0.590","-12.71%"
"03/01/2021","-0.535","-0.540","-0.481","-0.596","5.73%"
"02/01/2021","-0.506","-0.673","-0.447","-0.674","-23.80%"
"01/01/2021","-0.664","-0.703","-0.617","-0.742","-6.08%"
"12/01/2020","-0.707","-0.664","-0.620","-0.743","7.28%"
"11/01/2020","-0.659","-0.704","-0.582","-0.729","-3.80%"
"10/01/2020","-0.685","-0.612","-0.587","-0.714","10.66%"
"09/01/2020","-0.619","-0.539","-0.510","-0.653","16.79%"
"08/01/2020","-0.530","-0.590","-0.504","-0.623","-9.56%"
"07/01/2020","-0.586","-0.511","-0.444","-0.629","12.26%"
"06/01/2020","-0.522","-0.417","-0.322","-0.557","22.25%"
"05/01/2020","-0.427","-0.412","-0.324","-0.476","-5.74%"
"04/01/2020","-0.453","-0.314","-0.102","-0.460","58.39%"
"03/01/2020","-0.286","-0.669","-0.010","-0.789","-56.60%"
"02/01/2020","-0.659","-0.576","-0.512","-0.686","12.84%"
"01/01/2020","-0.584","-0.403","-0.389","-0.594","45.27%"
"12/01/2019","-0.402","-0.468","-0.396","-0.523","-18.79%"
"11/01/2019","-0.495","-0.523","-0.410","-0.539","-5.89%"
"10/01/2019","-0.526","-0.642","-0.459","-0.685","-19.45%"
"09/01/2019","-0.653","-0.781","-0.552","-0.818","-17.03%"
"08/01/2019","-0.787","-0.617","-0.601","-0.803","24.53%"
"07/01/2019","-0.632","-0.522","-0.471","-0.647","21.07%"
"06/01/2019","-0.522","-0.412","-0.381","-0.557","27.32%"
"05/01/2019","-0.410","-0.262","-0.252","-0.423","45.39%"
"04/01/2019","-0.282","-0.282","-0.199","-0.303","-5.37%"
"03/01/2019","-0.298","-0.087","-0.080","-0.329","207.22%"
"02/01/2019","-0.097","-0.139","-0.084","-0.200","-30.71%"
"01/01/2019","-0.140","-0.173","-0.075","-0.220","-6.67%"
"12/01/2018","-0.150","-0.078","-0.064","-0.174","51.52%"
"11/01/2018","-0.099","-0.049","0.001","-0.107","83.33%"
"10/01/2018","-0.054","0.040","0.116","-0.093","-254.29%"
"09/01/2018","0.035","-0.083","0.096","-0.102","-138.46%"
"08/01/2018","-0.091","0.002","0.033","-0.137","550.00%"
"07/01/2018","-0.014","-0.196","0.001","-0.223","-92.67%"
"06/01/2018","-0.191","-0.026","0.032","-0.220","198.44%"
"05/01/2018","-0.064","0.050","0.108","-0.207","-288.24%"
"04/01/2018","0.034","0.003","0.106","-0.002","1,600.00%"
"03/01/2018","0.002","-0.012","0.202","-0.047","-166.67%"
