"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.658","2.719","2.766","2.595","-2.59%"
"10/01/2024","2.729","2.463","2.787","2.335","10.80%"
"09/01/2024","2.463","2.682","2.703","2.400","-7.10%"
"08/01/2024","2.651","2.678","2.713","2.462","-1.81%"
"07/01/2024","2.700","3.037","3.095","2.693","-10.64%"
"06/01/2024","3.021","2.977","3.134","2.836","0.96%"
"05/01/2024","2.993","2.873","3.035","2.728","3.21%"
"04/01/2024","2.899","2.714","2.974","2.656","9.42%"
"03/01/2024","2.650","2.764","2.801","2.532","-2.78%"
"02/01/2024","2.726","2.392","2.837","2.332","15.89%"
"01/01/2024","2.352","2.298","2.594","2.191","5.66%"
"12/01/2023","2.226","2.719","2.727","2.110","-18.20%"
"11/01/2023","2.721","3.073","3.078","2.642","-10.50%"
"10/01/2023","3.040","3.188","3.281","2.997","-4.06%"
"09/01/2023","3.169","2.812","3.317","2.793","11.97%"
"08/01/2023","2.830","2.891","3.116","2.779","-2.01%"
"07/01/2023","2.888","2.905","3.146","2.749","-0.38%"
"06/01/2023","2.899","2.635","2.978","2.574","10.76%"
"05/01/2023","2.618","2.743","2.918","2.482","-1.19%"
"04/01/2023","2.649","2.693","2.908","2.432","0.35%"
"03/01/2023","2.640","3.097","3.206","2.258","-12.86%"
"02/01/2023","3.030","2.576","3.113","2.329","16.83%"
"01/01/2023","2.593","2.877","2.886","2.270","-10.57%"
"12/01/2022","2.900","2.125","2.900","1.993","31.17%"
"11/01/2022","2.211","2.230","2.543","2.052","-2.09%"
"10/01/2022","2.258","2.225","2.638","1.850","1.23%"
"09/01/2022","2.231","1.667","2.504","1.490","38.00%"
"08/01/2022","1.616","0.759","1.674","0.627","115.58%"
"07/01/2022","0.750","1.321","1.414","0.711","-44.39%"
"06/01/2022","1.348","1.056","2.029","1.047","26.24%"
"05/01/2022","1.068","0.905","1.123","0.739","17.21%"
"04/01/2022","0.911","0.618","0.976","0.553","57.21%"
"03/01/2022","0.580","0.051","0.753","-0.245","798.60%"
"02/01/2022","0.064","-0.055","0.324","-0.073","-255.80%"
"01/01/2022","-0.041","-0.339","-0.028","-0.352","-87.62%"
"12/01/2021","-0.335","-0.487","-0.330","-0.518","-30.54%"
"11/01/2021","-0.482","-0.264","-0.235","-0.544","86.81%"
"10/01/2021","-0.258","-0.450","-0.243","-0.478","-41.33%"
"09/01/2021","-0.439","-0.537","-0.412","-0.569","-18.28%"
"08/01/2021","-0.538","-0.618","-0.534","-0.667","-13.22%"
"07/01/2021","-0.620","-0.424","-0.414","-0.625","43.53%"
"06/01/2021","-0.432","-0.406","-0.365","-0.479","6.15%"
"05/01/2021","-0.407","-0.420","-0.286","-0.453","-2.33%"
"04/01/2021","-0.416","-0.474","-0.397","-0.522","-12.76%"
"03/01/2021","-0.477","-0.449","-0.437","-0.547","15.93%"
