"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.217","2.261","2.300","1.075","-2.21%"
"10/01/2024","2.267","1.952","2.347","1.845","15.96%"
"09/01/2024","1.955","2.194","2.236","1.932","-10.32%"
"08/01/2024","2.180","2.206","2.228","1.937","-2.37%"
"07/01/2024","2.233","2.529","2.611","2.224","-9.60%"
"06/01/2024","2.470","2.691","2.718","2.345","-9.12%"
"05/01/2024","2.718","2.615","2.748","2.432","3.74%"
"04/01/2024","2.620","2.320","2.647","1.181","13.17%"
"03/01/2024","2.315","2.430","2.487","2.242","-4.46%"
"02/01/2024","2.423","2.050","2.531","2.013","18.72%"
"01/01/2024","2.041","1.948","2.292","1.889","4.94%"
"12/01/2023","1.945","2.385","2.386","1.855","-18.21%"
"11/01/2023","2.378","2.677","2.688","2.313","-10.37%"
"10/01/2023","2.653","2.802","2.889","2.615","-4.36%"
"09/01/2023","2.774","2.477","2.926","2.443","11.72%"
"08/01/2023","2.483","2.554","2.756","2.453","-3.01%"
"07/01/2023","2.560","2.594","2.812","2.417","-0.85%"
"06/01/2023","2.582","2.288","2.661","2.232","13.59%"
"05/01/2023","2.273","2.316","2.565","2.114","-1.81%"
"04/01/2023","2.315","2.336","2.593","2.102","-0.39%"
"03/01/2023","2.324","2.740","2.893","1.856","-14.78%"
"02/01/2023","2.727","2.302","2.802","2.060","18.46%"
"01/01/2023","2.302","2.565","2.565","2.010","-10.22%"
"12/01/2022","2.564","1.867","2.574","1.736","31.42%"
"11/01/2022","1.951","1.971","2.266","1.835","-3.03%"
"10/01/2022","2.012","1.955","2.367","1.578","2.65%"
"09/01/2022","1.960","1.407","2.248","1.232","41.93%"
"08/01/2022","1.381","0.528","1.425","0.388","167.12%"
"07/01/2022","0.517","1.063","1.175","0.493","-53.04%"
"06/01/2022","1.101","0.831","1.748","0.817","31.23%"
"05/01/2022","0.839","0.679","0.885","0.502","24.30%"
"04/01/2022","0.675","0.377","0.755","0.305","80.97%"
"03/01/2022","0.373","-0.173","0.550","-0.420","-382.58%"
"02/01/2022","-0.132","-0.278","0.079","-0.303","-51.82%"
"01/01/2022","-0.274","-0.440","-0.265","-0.458","-39.38%"
"12/01/2021","-0.452","-0.612","-0.441","-0.654","-27.10%"
"11/01/2021","-0.620","-0.394","-0.361","-0.664","64.02%"
"10/01/2021","-0.378","-0.567","-0.359","-0.604","-31.65%"
"09/01/2021","-0.553","-0.669","-0.527","-0.708","-18.20%"
"08/01/2021","-0.676","-0.740","-0.673","-0.782","-8.28%"
"07/01/2021","-0.737","-0.577","-0.555","-0.750","26.20%"
"06/01/2021","-0.584","-0.560","-0.541","-0.645","3.36%"
"05/01/2021","-0.565","-0.580","-0.479","-0.619","-1.57%"
"04/01/2021","-0.574","-0.629","-0.549","-0.672","-9.32%"
"03/01/2021","-0.633","-0.566","-0.560","-0.701","13.04%"
"02/01/2021","-0.560","-0.737","-0.519","-0.740","-23.50%"
"01/01/2021","-0.732","-0.737","-0.683","-0.767","-1.35%"
"12/01/2020","-0.742","-0.754","-0.707","-0.818","-1.46%"
"11/01/2020","-0.753","-0.826","-0.679","-0.841","-8.06%"
"10/01/2020","-0.819","-0.700","-0.685","-0.834","15.35%"
"09/01/2020","-0.710","-0.629","-0.618","-0.736","12.16%"
"08/01/2020","-0.633","-0.715","-0.610","-0.779","-13.05%"
"07/01/2020","-0.728","-0.687","-0.613","-0.748","4.60%"
"06/01/2020","-0.696","-0.632","-0.520","-0.718","9.61%"
"05/01/2020","-0.635","-0.757","-0.584","-0.792","-17.21%"
"04/01/2020","-0.767","-0.652","-0.514","-0.767","17.46%"
"03/01/2020","-0.653","-0.763","-0.367","-1.031","-14.64%"
"02/01/2020","-0.765","-0.645","-0.569","-0.785","19.72%"
"01/01/2020","-0.639","-0.464","-0.452","-0.651","38.01%"
"12/01/2019","-0.463","-0.579","-0.461","-0.623","-22.73%"
"11/01/2019","-0.599","-0.639","-0.520","-0.656","-6.24%"
"10/01/2019","-0.639","-0.788","-0.581","-0.829","-19.84%"
"09/01/2019","-0.797","-0.948","-0.703","-0.983","-15.86%"
"08/01/2019","-0.948","-0.733","-0.719","-0.958","26.36%"
"07/01/2019","-0.750","-0.649","-0.598","-0.761","12.94%"
"06/01/2019","-0.664","-0.588","-0.539","-0.697","14.29%"
"05/01/2019","-0.581","-0.406","-0.389","-0.594","40.00%"
"04/01/2019","-0.415","-0.470","-0.344","-0.489","-14.75%"
"03/01/2019","-0.487","-0.309","-0.291","-0.511","56.73%"
"02/01/2019","-0.311","-0.346","-0.296","-0.411","-11.08%"
"01/01/2019","-0.349","-0.291","-0.270","-0.367","29.75%"
"12/01/2018","-0.269","-0.245","-0.207","-0.316","0.82%"
"11/01/2018","-0.267","-0.194","-0.125","-0.277","39.79%"
"10/01/2018","-0.191","-0.138","-0.059","-0.235","43.83%"
"09/01/2018","-0.133","-0.277","-0.069","-0.292","-53.21%"
"08/01/2018","-0.284","-0.168","-0.139","-0.343","54.41%"
"07/01/2018","-0.184","-0.303","-0.168","-0.327","-39.34%"
"06/01/2018","-0.303","-0.242","-0.107","-0.322","12.22%"
"05/01/2018","-0.270","-0.053","0.014","-0.436","357.63%"
"04/01/2018","-0.059","-0.112","0.014","-0.114","-42.72%"
"03/01/2018","-0.103","0.020","0.097","-0.115","-529.17%"
"02/01/2018","0.024","0.009","0.135","-0.066","-700.00%"
"01/01/2018","-0.004","-0.205","0.017","-0.239","-98.02%"
"12/01/2017","-0.202","-0.289","-0.185","-0.392","-34.20%"
"11/01/2017","-0.307","-0.344","-0.271","-0.392","-12.03%"
"10/01/2017","-0.349","-0.233","-0.223","-0.357","29.74%"
"09/01/2017","-0.269","-0.340","-0.222","-0.404","-20.88%"
"08/01/2017","-0.340","-0.171","-0.160","-0.373","89.94%"
"07/01/2017","-0.179","-0.209","-0.053","-0.259","-19.00%"
"06/01/2017","-0.221","-0.428","-0.203","-0.472","-48.36%"
"05/01/2017","-0.428","-0.376","-0.261","-0.451","10.03%"
"04/01/2017","-0.389","-0.379","-0.296","-0.537","2.10%"
"03/01/2017","-0.381","-0.570","-0.266","-0.570","-33.16%"
"02/01/2017","-0.570","-0.387","-0.292","-0.602","42.14%"
"01/01/2017","-0.401","-0.544","-0.338","-0.583","-25.19%"
"12/01/2016","-0.536","-0.428","-0.287","-0.574","25.23%"
"11/01/2016","-0.428","-0.386","-0.273","-0.488","7.27%"
"10/01/2016","-0.399","-0.567","-0.363","-0.580","-29.75%"
"09/01/2016","-0.568","-0.503","-0.441","-0.621","13.15%"
"08/01/2016","-0.502","-0.527","-0.463","-0.564","-4.74%"
"07/01/2016","-0.527","-0.540","-0.453","-0.632","-5.56%"
"06/01/2016","-0.558","-0.377","-0.350","-0.634","52.04%"
"05/01/2016","-0.367","-0.289","-0.273","-0.401","30.60%"
"04/01/2016","-0.281","-0.328","-0.264","-0.402","-13.80%"
"03/01/2016","-0.326","-0.410","-0.222","-0.410","-19.11%"
"02/01/2016","-0.403","-0.303","-0.258","-0.406","32.83%"
"01/01/2016","-0.303","-0.062","-0.047","-0.308","700.53%"
"12/01/2015","-0.038","-0.177","0.034","-0.230","-79.22%"
"11/01/2015","-0.182","-0.085","0.033","-0.206","143.20%"
"10/01/2015","-0.075","-0.001","0.019","-0.148","-3,850.00%"
"09/01/2015","0.002","0.132","0.154","-0.015","-98.48%"
"08/01/2015","0.132","0.052","0.134","-0.030","175.00%"
"07/01/2015","0.048","0.088","0.280","0.041","-40.74%"
"06/01/2015","0.081","0.012","0.273","-0.012","8,000.00%"
"05/01/2015","0.001","0.013","0.214","-0.004","-87.50%"
"04/01/2015","0.008","-0.101","0.032","-0.168","-107.92%"
"03/01/2015","-0.101","-0.083","-0.005","-0.127","16.09%"
"02/01/2015","-0.087","-0.040","-0.021","-0.108","112.20%"
"01/01/2015","-0.041","0.013","0.037","-0.059","-392.86%"
"12/01/2014","0.014","0.110","0.162","0.010","-87.72%"
"11/01/2014","0.114","0.120","0.178","0.098","-10.94%"
"10/01/2014","0.128","0.146","0.186","0.081","-12.93%"
"09/01/2014","0.147","0.176","0.261","0.098","-15.52%"
"08/01/2014","0.174","0.311","0.333","0.160","-44.41%"
"07/01/2014","0.313","0.353","0.398","0.284","-10.32%"
"06/01/2014","0.349","0.427","0.491","0.339","-18.46%"
"05/01/2014","0.428","0.553","0.584","0.401","-22.32%"
"04/01/2014","0.551","0.631","0.705","0.537","-12.95%"
"03/01/2014","0.633","0.623","0.728","0.559","-5.52%"
"02/01/2014","0.670","0.652","0.733","0.571","2.92%"
"01/01/2014","0.651","0.960","0.969","0.645","-29.77%"
"12/01/2013","0.927","0.663","0.967","0.659","41.74%"
"11/01/2013","0.654","0.654","0.739","0.596","-1.36%"
"10/01/2013","0.663","0.793","0.930","0.645","-16.08%"
"09/01/2013","0.790","0.848","1.116","0.769","-3.89%"
"08/01/2013","0.822","0.635","0.951","0.583","24.36%"
"07/01/2013","0.661","0.742","0.776","0.486","-9.82%"
"06/01/2013","0.733","0.493","0.939","0.488","46.89%"
"05/01/2013","0.499","0.325","0.546","0.267","50.76%"
"04/01/2013","0.331","0.298","0.396","0.260","8.17%"
"03/01/2013","0.306","0.427","0.551","0.266","-30.14%"
"02/01/2013","0.438","0.778","0.785","0.408","-42.37%"
"01/01/2013","0.760","0.345","0.834","0.333","166.67%"
"12/01/2012","0.285","0.400","0.464","0.255","-29.80%"
"11/01/2012","0.406","0.496","0.509","0.336","-17.48%"
"10/01/2012","0.492","0.526","0.669","0.475","-2.96%"
"09/01/2012","0.507","0.330","0.727","0.320","47.38%"
"08/01/2012","0.344","0.310","0.513","0.269","12.79%"
"07/01/2012","0.305","0.589","0.631","0.216","-49.92%"
"06/01/2012","0.609","0.343","0.709","0.296","76.01%"
"05/01/2012","0.346","0.626","0.634","0.341","-42.62%"
