"Date","Price","Open","High","Low","Change %"
"11/01/2024","3.264","2.958","3.264","2.958","8.12%"
"10/01/2024","3.019","2.551","3.029","2.551","18.72%"
"09/01/2024","2.543","2.693","2.716","2.398","-5.57%"
"08/01/2024","2.693","2.953","2.953","2.549","-8.80%"
"07/01/2024","2.953","3.430","3.493","2.953","-13.88%"
"06/01/2024","3.429","3.574","3.584","3.363","-6.44%"
"05/01/2024","3.665","3.764","3.774","3.492","-2.63%"
"04/01/2024","3.764","3.452","3.764","3.452","9.04%"
"03/01/2024","3.452","3.550","3.655","3.394","-2.76%"
"02/01/2024","3.550","3.066","3.583","3.034","12.34%"
"01/01/2024","3.160","3.064","3.289","3.064","3.13%"
"12/01/2023","3.064","3.660","3.660","3.064","-15.71%"
"11/01/2023","3.635","4.108","4.153","3.630","-11.51%"
"10/01/2023","4.108","3.994","4.265","3.867","2.85%"
"09/01/2023","3.994","3.692","4.140","3.692","8.18%"
"08/01/2023","3.692","3.836","3.992","3.692","-3.75%"
"07/01/2023","3.836","3.686","3.911","3.500","4.07%"
"06/01/2023","3.686","3.469","3.686","3.390","6.26%"
"05/01/2023","3.469","3.147","3.596","2.938","10.23%"
"04/01/2023","3.147","3.112","3.224","2.778","0.10%"
"03/01/2023","3.144","4.017","4.058","2.793","-21.73%"
"02/01/2023","4.017","3.203","4.017","3.103","25.41%"
"01/01/2023","3.203","3.748","3.748","2.965","-14.54%"
"12/01/2022","3.748","3.827","3.827","3.489","-2.06%"
"11/01/2022","3.827","4.231","4.310","3.717","-9.55%"
"10/01/2022","4.231","3.806","4.393","3.631","13.10%"
"09/01/2022","3.741","3.058","3.956","3.058","22.33%"
"08/01/2022","3.058","2.336","3.060","2.262","28.06%"
"07/01/2022","2.388","2.498","2.676","2.368","-13.35%"
"06/01/2022","2.756","2.677","3.259","2.677","2.95%"
"05/01/2022","2.677","2.633","2.871","2.486","1.67%"
"04/01/2022","2.633","1.975","2.754","1.975","33.32%"
"03/01/2022","1.975","1.464","2.209","1.279","34.17%"
"02/01/2022","1.472","1.279","1.558","1.279","15.09%"
"01/01/2022","1.279","1.095","1.344","1.082","16.48%"
"12/01/2021","1.098","1.019","1.098","0.919","7.75%"
"11/01/2021","1.019","0.922","1.139","0.877","10.52%"
"10/01/2021","0.922","0.661","0.971","0.661","29.86%"
"09/01/2021","0.710","0.538","0.731","0.517","31.97%"
"08/01/2021","0.538","0.488","0.607","0.429","13.98%"
"07/01/2021","0.472","0.699","0.712","0.426","-32.47%"
"06/01/2021","0.699","0.565","0.723","0.507","23.72%"
"05/01/2021","0.565","0.683","0.683","0.551","-17.28%"
"04/01/2021","0.683","0.800","0.819","0.623","-14.62%"
"03/01/2021","0.800","0.699","0.805","0.696","8.70%"
"02/01/2021","0.736","0.383","0.736","0.383","92.17%"
"01/01/2021","0.383","0.385","0.426","0.321","-0.52%"
"12/01/2020","0.385","0.352","0.385","0.308","9.37%"
"11/01/2020","0.352","0.275","0.390","0.241","26.16%"
"10/01/2020","0.279","0.235","0.294","0.235","18.72%"
"09/01/2020","0.235","0.342","0.374","0.235","-31.29%"
"08/01/2020","0.342","0.188","0.357","0.183","81.91%"
"07/01/2020","0.188","0.371","0.390","0.186","-49.33%"
"06/01/2020","0.371","0.558","0.558","0.371","-33.51%"
"05/01/2020","0.558","0.368","0.592","0.306","51.63%"
"04/01/2020","0.368","0.627","0.717","0.368","-41.31%"
"03/01/2020","0.627","0.952","1.172","0.624","-34.14%"
"02/01/2020","0.952","1.357","1.425","0.952","-29.85%"
"01/01/2020","1.357","1.770","1.770","1.357","-23.33%"
"12/01/2019","1.770","1.557","1.777","1.557","13.68%"
"11/01/2019","1.557","1.513","1.754","1.470","2.91%"
"10/01/2019","1.513","1.245","1.513","1.175","21.53%"
"09/01/2019","1.245","1.189","1.378","1.090","4.71%"
"08/01/2019","1.189","1.521","1.566","1.080","-21.83%"
"07/01/2019","1.521","1.474","1.522","1.394","3.19%"
"06/01/2019","1.474","1.612","1.686","1.438","-8.56%"
"05/01/2019","1.612","1.611","1.683","1.521","0.06%"
"04/01/2019","1.611","1.391","1.662","1.391","15.82%"
"03/01/2019","1.391","1.599","1.660","1.351","-13.01%"
"02/01/2019","1.599","1.661","1.661","1.545","-3.73%"
"01/01/2019","1.661","1.839","1.894","1.659","-9.68%"
"12/01/2018","1.839","2.208","2.244","1.839","-16.71%"
"11/01/2018","2.208","2.337","2.361","2.129","-5.52%"
"10/01/2018","2.337","2.359","2.484","2.283","-0.93%"
"09/01/2018","2.359","2.142","2.407","2.142","10.75%"
"08/01/2018","2.130","2.073","2.156","1.998","3.45%"
"07/01/2018","2.059","2.149","2.167","2.036","-3.47%"
"06/01/2018","2.133","2.087","2.306","2.087","2.65%"
"05/01/2018","2.078","2.083","2.288","2.052","1.12%"
"04/01/2018","2.055","1.772","2.122","1.751","14.48%"
"03/01/2018","1.795","1.761","1.941","1.696","0.67%"
"02/01/2018","1.783","1.805","1.864","1.696","0.73%"
"01/01/2018","1.770","1.711","1.854","1.662","4.18%"
"12/01/2017","1.699","1.611","1.725","1.595","7.40%"
"11/01/2017","1.582","1.514","1.675","1.493","4.49%"
"10/01/2017","1.514","1.348","1.548","1.348","13.83%"
"09/01/2017","1.330","1.163","1.370","1.066","14.16%"
"08/01/2017","1.165","1.245","1.317","1.152","-4.74%"
"07/01/2017","1.223","1.245","1.268","1.199","4.26%"
"06/01/2017","1.173","0.804","1.173","0.804","16.72%"
"05/01/2017","1.005","1.201","1.222","0.978","-16.32%"
"04/01/2017","1.201","1.369","1.391","1.127","-15.00%"
"03/01/2017","1.413","1.580","1.672","1.306","-3.22%"
"02/01/2017","1.460","1.596","1.596","1.407","-8.41%"
"01/01/2017","1.594","1.611","1.611","1.343","-1.42%"
"12/01/2016","1.617","1.225","1.757","1.182","44.76%"
"11/01/2016","1.117","0.771","1.196","0.726","42.66%"
"10/01/2016","0.783","0.750","0.831","0.596","11.38%"
"09/01/2016","0.703","0.730","0.853","0.674","-3.83%"
"08/01/2016","0.731","0.626","0.794","0.616","12.98%"
"07/01/2016","0.647","0.670","0.760","0.603","-6.37%"
"06/01/2016","0.691","1.019","1.060","0.656","-33.88%"
"05/01/2016","1.045","1.045","1.090","0.944","-0.10%"
"04/01/2016","1.046","0.942","1.255","0.942","5.66%"
"03/01/2016","0.990","1.012","1.175","0.980","-7.91%"
"02/01/2016","1.075","1.220","1.396","0.965","-14.82%"
"01/01/2016","1.262","1.116","1.519","0.895","14.10%"
"12/01/2015","1.106","1.034","1.118","1.010","2.31%"
"11/01/2015","1.081","0.964","1.261","0.964","10.99%"
"10/01/2015","0.974","0.970","0.979","0.822","1.88%"
"09/01/2015","0.956","1.266","1.266","0.956","-23.95%"
"08/01/2015","1.257","1.255","1.308","1.116","0.08%"
"07/01/2015","1.256","1.258","1.294","1.120","5.72%"
"06/01/2015","1.188","1.158","1.407","1.156","11.76%"
"05/01/2015","1.063","1.120","1.269","1.063","-0.56%"
"04/01/2015","1.069","1.080","1.104","0.967","-2.37%"
"03/01/2015","1.095","1.174","1.347","1.021","-7.59%"
"02/01/2015","1.185","0.914","1.297","0.899","20.30%"
"01/01/2015","0.985","1.488","1.550","0.948","-33.80%"
"12/01/2014","1.488","1.153","1.524","1.146","25.04%"
"11/01/2014","1.190","1.306","1.331","1.190","-8.88%"
"10/01/2014","1.306","1.460","1.529","1.104","-14.70%"
"09/01/2014","1.531","1.312","1.602","1.299","18.22%"
"08/01/2014","1.295","1.495","1.495","1.263","-11.96%"
"07/01/2014","1.471","1.446","1.535","1.381","4.62%"
"06/01/2014","1.406","1.246","1.492","1.240","16.01%"
"05/01/2014","1.212","1.418","1.474","1.145","-17.27%"
"04/01/2014","1.465","1.591","1.591","1.354","-7.28%"
"03/01/2014","1.580","1.239","1.590","1.222","27.52%"
"02/01/2014","1.239","1.258","1.319","1.228","-7.47%"
"01/01/2014","1.339","1.464","1.553","1.313","-7.14%"
"12/01/2013","1.442","1.093","1.491","1.093","32.42%"
"11/01/2013","1.089","0.968","1.116","0.940","13.67%"
"10/01/2013","0.958","1.241","1.244","0.917","-19.90%"
"09/01/2013","1.196","1.397","1.593","1.172","-12.12%"
