"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.367","2.436","2.466","2.307","-2.59%"
"10/01/2024","2.430","2.157","2.485","2.047","12.14%"
"09/01/2024","2.167","2.394","2.499","2.148","-10.23%"
"08/01/2024","2.414","2.460","2.503","2.228","-3.82%"
"07/01/2024","2.510","2.770","2.871","2.472","-10.13%"
"06/01/2024","2.793","2.900","3.010","2.633","-5.29%"
"05/01/2024","2.949","2.791","2.960","2.638","3.26%"
"04/01/2024","2.856","2.612","2.914","2.567","10.70%"
"03/01/2024","2.580","2.653","2.697","2.447","-2.75%"
"02/01/2024","2.653","2.314","2.741","2.281","14.65%"
"01/01/2024","2.314","2.214","2.551","2.130","6.20%"
"12/01/2023","2.179","2.677","2.690","2.066","-19.33%"
"11/01/2023","2.701","3.042","3.048","2.595","-10.71%"
"10/01/2023","3.025","3.152","3.248","2.961","-3.63%"
"09/01/2023","3.139","2.820","3.283","2.769","12.27%"
"08/01/2023","2.796","2.829","3.082","2.735","-2.65%"
"07/01/2023","2.872","2.865","3.108","2.715","-0.45%"
"06/01/2023","2.885","2.652","2.980","2.571","9.78%"
"05/01/2023","2.628","2.737","2.888","2.427","1.43%"
"04/01/2023","2.591","2.674","2.853","2.437","-2.26%"
"03/01/2023","2.651","3.089","3.197","2.268","-11.34%"
"02/01/2023","2.990","2.579","3.078","2.305","15.89%"
"01/01/2023","2.580","2.844","2.847","2.242","-10.17%"
"12/01/2022","2.872","2.123","2.884","2.005","30.96%"
"11/01/2022","2.193","2.205","2.515","2.092","-2.58%"
"10/01/2022","2.251","2.257","2.608","1.858","0.67%"
"09/01/2022","2.236","1.739","2.525","1.560","30.84%"
"08/01/2022","1.709","0.833","1.730","0.704","115.24%"
"07/01/2022","0.794","1.331","1.455","0.778","-39.53%"
"06/01/2022","1.313","1.048","2.061","1.002","27.11%"
"05/01/2022","1.033","0.886","1.128","0.653","23.42%"
"04/01/2022","0.837","0.634","0.978","0.583","45.82%"
"03/01/2022","0.574","0.103","0.797","-0.171","382.35%"
"02/01/2022","0.119","0.004","0.371","-0.035","-950.00%"
"01/01/2022","-0.014","-0.231","0.025","-0.328","-93.52%"
"12/01/2021","-0.216","-0.452","-0.216","-0.476","-51.13%"
"11/01/2021","-0.442","-0.250","-0.225","-0.514","91.34%"
"10/01/2021","-0.231","-0.440","-0.216","-0.480","-45.00%"
"09/01/2021","-0.420","-0.514","-0.380","-0.539","-20.00%"
"08/01/2021","-0.525","-0.577","-0.466","-0.631","-7.89%"
"07/01/2021","-0.570","-0.380","-0.364","-0.587","51.60%"
"06/01/2021","-0.376","-0.363","-0.316","-0.428","3.87%"
"05/01/2021","-0.362","-0.389","-0.248","-0.415","-2.16%"
"04/01/2021","-0.370","-0.452","-0.363","-0.491","-19.74%"
"03/01/2021","-0.461","-0.398","-0.396","-0.520","22.28%"
"02/01/2021","-0.377","-0.588","-0.302","-0.591","-31.45%"
"01/01/2021","-0.550","-0.611","-0.495","-0.633","-1.98%"
"12/01/2020","-0.561","-0.592","-0.524","-0.659","-1.34%"
"11/01/2020","-0.569","-0.621","-0.526","-0.651","-5.91%"
"10/01/2020","-0.604","-0.517","-0.506","-0.630","17.98%"
"09/01/2020","-0.512","-0.447","-0.428","-0.545","21.00%"
"08/01/2020","-0.423","-0.485","-0.422","-0.529","-11.37%"
"07/01/2020","-0.478","-0.389","-0.343","-0.511","19.66%"
"06/01/2020","-0.399","-0.223","-0.172","-0.426","79.58%"
"05/01/2020","-0.222","-0.226","-0.135","-0.241","-3.68%"
"04/01/2020","-0.231","-0.142","0.073","-0.259","141.68%"
"03/01/2020","-0.095","-0.421","0.241","-0.520","-76.76%"
"02/01/2020","-0.411","-0.389","-0.331","-0.440","4.05%"
"01/01/2020","-0.395","-0.307","-0.296","-0.456","36.03%"
"12/01/2019","-0.290","-0.326","-0.290","-0.429","-16.44%"
"11/01/2019","-0.347","-0.394","-0.279","-0.399","-11.51%"
"10/01/2019","-0.393","-0.456","-0.324","-0.481","-15.53%"
"09/01/2019","-0.465","-0.545","-0.382","-0.565","-15.20%"
"08/01/2019","-0.548","-0.385","-0.378","-0.593","39.08%"
"07/01/2019","-0.394","-0.387","-0.282","-0.463","0.00%"
"06/01/2019","-0.394","-0.250","-0.228","-0.401","56.42%"
"05/01/2019","-0.252","-0.132","-0.132","-0.254","68.14%"
"04/01/2019","-0.150","-0.094","-0.058","-0.177","26.97%"
"03/01/2019","-0.118","0.053","0.068","-0.137","-342.09%"
"02/01/2019","0.049","0.062","0.115","0.011","-22.94%"
"01/01/2019","0.063","-0.104","0.115","-0.169","-195.76%"
"12/01/2018","-0.066","-0.048","0.049","-0.113","1.54%"
"11/01/2018","-0.065","-0.023","0.097","-0.072","160.00%"
"10/01/2018","-0.025","0.024","0.121","-0.045","-204.17%"
"09/01/2018","0.024","-0.067","0.097","-0.081","-129.63%"
"08/01/2018","-0.081","-0.027","0.030","-0.129","107.69%"
"07/01/2018","-0.039","-0.136","-0.014","-0.147","-70.45%"
"06/01/2018","-0.132","0.031","0.113","-0.169","355.17%"
"05/01/2018","-0.029","0.080","0.146","-0.082","-150.00%"
"04/01/2018","0.058","0.026","0.145","-0.009","176.19%"
"03/01/2018","0.021","0.140","0.201","0.006","-84.78%"
"02/01/2018","0.138","0.223","0.251","0.093","-31.68%"
"01/01/2018","0.202","0.067","0.258","0.009","119.57%"
"12/01/2017","0.092","-0.066","0.105","-0.166","-217.95%"
"11/01/2017","-0.078","-0.081","0.038","-0.122","4.00%"
"10/01/2017","-0.075","-0.123","0.032","-0.166","-50.23%"
"09/01/2017","-0.151","-0.154","-0.087","-0.219","-9.98%"
"08/01/2017","-0.167","-0.001","0.001","-0.177","675.00%"
"07/01/2017","-0.022","0.010","0.250","-0.039","-437.50%"
"06/01/2017","0.006","-0.123","0.029","-0.212","-104.79%"
"05/01/2017","-0.133","0.004","0.006","-0.143","304.55%"
"04/01/2017","-0.033","0.061","0.092","-0.054","-162.38%"
"03/01/2017","0.053","-0.022","0.207","-0.047","-204.13%"
"02/01/2017","-0.051","0.166","0.200","-0.055","-135.57%"
"01/01/2017","0.143","-0.089","0.202","-0.099","-219.70%"
"12/01/2016","-0.119","-0.021","0.165","-0.146","544.86%"
"11/01/2016","-0.019","-0.046","0.208","-0.105","-73.61%"
"10/01/2016","-0.070","-0.201","-0.039","-0.245","-69.02%"
"09/01/2016","-0.226","-0.134","-0.080","-0.258","60.95%"
"08/01/2016","-0.141","-0.269","-0.086","-0.347","-50.77%"
"07/01/2016","-0.286","-0.187","-0.185","-0.318","56.07%"
"06/01/2016","-0.183","-0.075","0.110","-0.191","169.12%"
"05/01/2016","-0.068","0.021","0.044","-0.073","-320.78%"
"04/01/2016","0.031","0.016","0.100","-0.025","88.96%"
"03/01/2016","0.016","-0.006","0.116","-0.065","-231.45%"
"02/01/2016","-0.012","-0.044","0.104","-0.049","-62.99%"
"01/01/2016","-0.034","0.134","0.143","-0.038","-122.24%"
"12/01/2015","0.151","0.048","0.229","-0.011","356.36%"
"11/01/2015","0.033","0.209","0.250","0.013","-82.99%"
"10/01/2015","0.194","0.259","0.261","0.086","-24.81%"
"09/01/2015","0.258","0.431","0.474","0.254","-42.15%"
"08/01/2015","0.446","0.329","0.454","0.255","38.08%"
"07/01/2015","0.323","0.647","0.667","0.323","-50.15%"
"06/01/2015","0.648","0.459","0.796","0.459","54.29%"
"05/01/2015","0.420","0.269","0.685","0.266","32.49%"
"04/01/2015","0.317","0.242","0.330","0.094","34.89%"
"03/01/2015","0.235","0.312","0.370","0.207","-22.44%"
"02/01/2015","0.303","0.502","0.563","0.297","-40.82%"
"01/01/2015","0.512","0.419","0.702","0.364","26.11%"
"12/01/2014","0.406","0.416","0.478","0.396","-4.92%"
"11/01/2014","0.427","0.565","0.647","0.408","-25.35%"
"10/01/2014","0.572","0.460","0.696","0.421","23.54%"
"09/01/2014","0.463","0.616","0.663","0.416","-27.66%"
