"Date","Price","Open","High","Low","Change %"
"11/01/2024","3.035","3.100","3.180","2.945","-1.65%"
"10/01/2024","3.086","2.681","3.158","2.599","14.21%"
"09/01/2024","2.702","3.083","3.098","2.651","-11.47%"
"08/01/2024","3.052","3.066","3.117","2.941","-0.97%"
"07/01/2024","3.082","3.509","3.587","3.079","-12.74%"
"06/01/2024","3.532","3.489","3.677","3.344","0.60%"
"05/01/2024","3.511","3.441","3.533","3.228","1.86%"
"04/01/2024","3.447","3.223","3.548","3.184","7.18%"
"03/01/2024","3.216","3.361","3.446","3.075","-4.37%"
"02/01/2024","3.363","3.159","3.493","3.121","4.70%"
"01/01/2024","3.212","3.112","3.369","3.077","4.02%"
"12/01/2023","3.088","3.620","3.620","2.916","-14.65%"
"11/01/2023","3.618","4.092","4.096","3.492","-10.75%"
"10/01/2023","4.054","4.210","4.409","4.015","-3.50%"
"09/01/2023","4.201","3.712","4.389","3.667","13.94%"
"08/01/2023","3.687","3.627","3.960","3.609","1.60%"
"07/01/2023","3.629","3.744","3.996","3.519","-3.38%"
"06/01/2023","3.756","3.559","3.804","3.452","2.29%"
"05/01/2023","3.672","3.730","3.909","3.535","-3.75%"
"04/01/2023","3.815","3.653","3.872","3.447","5.13%"
"03/01/2023","3.629","4.044","4.164","3.374","-8.52%"
"02/01/2023","3.967","3.617","4.041","3.242","9.53%"
"01/01/2023","3.622","3.993","3.999","3.180","-9.43%"
"12/01/2022","3.999","3.258","4.010","3.042","18.77%"
"11/01/2022","3.367","3.662","3.943","3.216","-9.32%"
"10/01/2022","3.713","3.726","4.040","3.170","1.03%"
"09/01/2022","3.675","3.112","4.147","2.891","21.09%"
"08/01/2022","3.035","2.252","3.076","1.985","34.17%"
"07/01/2022","2.262","2.447","2.951","2.097","-7.26%"
"06/01/2022","2.439","2.277","3.494","2.252","6.83%"
"05/01/2022","2.283","1.869","2.313","1.830","23.87%"
"04/01/2022","1.843","1.303","1.855","1.250","45.81%"
"03/01/2022","1.264","0.840","1.410","0.517","41.55%"
"02/01/2022","0.893","0.510","1.136","0.481","77.89%"
"01/01/2022","0.502","0.431","0.560","0.384","11.80%"
"12/01/2021","0.449","0.230","0.449","0.154","109.81%"
"11/01/2021","0.214","0.473","0.528","0.078","-46.10%"
"10/01/2021","0.397","0.070","0.435","0.036","378.31%"
