"Date","Price","Open","High","Low","Change %"
"11/01/2024","0.682","0.578","0.682","0.557","19.65%"
"10/01/2024","0.570","0.502","0.605","0.474","15.15%"
"09/01/2024","0.495","0.508","0.531","0.427","-0.60%"
"08/01/2024","0.498","0.652","0.680","0.348","-25.23%"
"07/01/2024","0.666","0.595","0.654","0.548","14.24%"
"06/01/2024","0.583","0.637","0.638","0.496","-8.91%"
"05/01/2024","0.640","0.487","0.662","0.462","35.88%"
"04/01/2024","0.471","0.359","0.526","0.357","33.05%"
"03/01/2024","0.354","0.371","0.405","0.345","-3.80%"
"02/01/2024","0.368","0.310","0.384","0.269","17.95%"
"01/01/2024","0.312","0.229","0.337","0.159","41.82%"
"12/01/2023","0.220","0.269","0.393","0.193","-15.38%"
"11/01/2023","0.260","0.471","0.490","0.224","-43.11%"
"10/01/2023","0.457","0.321","0.466","0.303","42.81%"
"09/01/2023","0.320","0.223","0.322","0.209","42.22%"
"08/01/2023","0.225","0.181","0.247","0.171","22.28%"
"07/01/2023","0.184","0.056","0.197","0.055","206.67%"
"06/01/2023","0.060","0.086","0.094","0.046","-31.03%"
"05/01/2023","0.087","0.095","0.137","0.081","-20.18%"
"04/01/2023","0.109","0.103","0.173","0.100","21.11%"
"03/01/2023","0.090","0.203","0.231","0.055","-58.33%"
"02/01/2023","0.216","0.187","0.250","0.160","13.09%"
"01/01/2023","0.191","0.230","0.332","0.163","-16.96%"
"12/01/2022","0.230","0.105","0.257","0.093","100.00%"
"11/01/2022","0.115","0.083","0.119","0.041","43.75%"
"10/01/2022","0.080","0.069","0.148","0.033","21.21%"
"09/01/2022","0.066","0.021","0.098","0.013","560.00%"
"08/01/2022","0.010","-0.016","0.030","-0.040","-140.00%"
"07/01/2022","-0.025","0.019","0.039","-0.030","-219.05%"
"06/01/2022","0.021","0.006","0.099","-0.014","425.00%"
"05/01/2022","0.004","0.011","0.029","-0.010","0.00%"
"04/01/2022","0.004","0.013","0.040","-0.003","-86.67%"
"03/01/2022","0.030","-0.014","0.070","-0.024","233.33%"
"02/01/2022","0.009","-0.014","0.064","-0.014","-160.00%"
"01/01/2022","-0.015","-0.069","-0.005","-0.069","-79.73%"
"12/01/2021","-0.074","-0.087","-0.074","-0.104","-21.28%"
"11/01/2021","-0.094","-0.072","-0.062","-0.104","27.03%"
"10/01/2021","-0.074","-0.093","-0.051","-0.100","-11.90%"
"09/01/2021","-0.084","-0.110","-0.079","-0.113","-27.59%"
"08/01/2021","-0.116","-0.121","-0.109","-0.134","-6.45%"
"07/01/2021","-0.124","-0.101","-0.101","-0.133","24.00%"
"06/01/2021","-0.100","-0.095","-0.091","-0.125","5.26%"
"05/01/2021","-0.095","-0.094","-0.084","-0.103","1.06%"
"04/01/2021","-0.094","-0.075","-0.074","-0.110","1.08%"
"03/01/2021","-0.093","-0.065","-0.053","-0.107","89.80%"
"02/01/2021","-0.049","-0.102","-0.023","-0.111","-55.05%"
"01/01/2021","-0.109","-0.108","-0.088","-0.121","0.93%"
