"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.313","2.421","2.441","2.260","-4.22%"
"10/01/2024","2.415","2.117","2.491","2.013","13.27%"
"09/01/2024","2.132","2.399","2.422","2.102","-9.81%"
"08/01/2024","2.364","2.389","2.412","2.138","-1.70%"
"07/01/2024","2.405","2.723","2.802","2.397","-10.56%"
"06/01/2024","2.689","2.848","2.916","2.564","-5.95%"
"05/01/2024","2.859","2.736","2.906","2.592","3.36%"
"04/01/2024","2.766","2.540","2.864","2.509","10.51%"
"03/01/2024","2.503","2.663","2.701","2.421","-4.54%"
"02/01/2024","2.622","2.274","2.751","2.225","16.43%"
"01/01/2024","2.252","2.202","2.514","2.092","4.84%"
"12/01/2023","2.148","2.597","2.606","2.043","-17.42%"
"11/01/2023","2.601","2.923","2.945","2.533","-10.25%"
"10/01/2023","2.898","3.037","3.143","2.863","-4.13%"
"09/01/2023","3.023","2.723","3.178","2.676","11.96%"
"08/01/2023","2.700","2.758","2.992","2.668","-2.60%"
"07/01/2023","2.772","2.771","3.046","2.624","-0.29%"
"06/01/2023","2.780","2.523","2.869","2.459","10.89%"
"05/01/2023","2.507","2.621","2.810","2.352","-1.30%"
"04/01/2023","2.540","2.567","2.789","2.327","0.59%"
"03/01/2023","2.525","2.987","3.079","2.119","-13.44%"
"02/01/2023","2.917","2.477","2.996","2.185","17.34%"
"01/01/2023","2.486","2.688","2.726","2.150","-9.44%"
"12/01/2022","2.745","1.996","2.757","1.872","32.03%"
"11/01/2022","2.079","2.120","2.411","1.952","-3.03%"
"10/01/2022","2.144","2.138","2.542","1.729","1.42%"
"09/01/2022","2.114","1.602","2.394","1.368","36.12%"
"08/01/2022","1.553","0.692","1.593","0.522","133.89%"
"07/01/2022","0.664","1.231","1.333","0.624","-47.59%"
"06/01/2022","1.267","1.014","1.931","0.986","26.20%"
"05/01/2022","1.004","0.836","1.039","0.655","19.52%"
"04/01/2022","0.840","0.567","0.875","0.419","79.10%"
"03/01/2022","0.469","-0.044","0.641","-0.313","-2,568.42%"
"02/01/2022","-0.019","-0.234","0.169","-0.268","-92.02%"
"01/01/2022","-0.238","-0.439","-0.229","-0.448","-45.79%"
"12/01/2021","-0.439","-0.588","-0.420","-0.628","-23.92%"
"11/01/2021","-0.577","-0.362","-0.337","-0.634","62.08%"
"10/01/2021","-0.356","-0.547","-0.335","-0.565","-33.33%"
"09/01/2021","-0.534","-0.641","-0.496","-0.668","-16.82%"
"08/01/2021","-0.642","-0.707","-0.635","-0.763","-10.34%"
"07/01/2021","-0.716","-0.506","-0.486","-0.717","39.57%"
"06/01/2021","-0.513","-0.488","-0.456","-0.567","4.91%"
"05/01/2021","-0.489","-0.494","-0.377","-0.527","0.62%"
"04/01/2021","-0.486","-0.615","-0.475","-0.668","-21.84%"
"03/01/2021","-0.622","-0.563","-0.554","-0.671","15.15%"
"02/01/2021","-0.540","-0.700","-0.495","-0.703","-22.55%"
"01/01/2021","-0.697","-0.729","-0.652","-0.741","-2.41%"
"12/01/2020","-0.714","-0.699","-0.644","-0.773","2.95%"
"11/01/2020","-0.694","-0.748","-0.629","-0.767","-5.92%"
"10/01/2020","-0.738","-0.640","-0.626","-0.758","14.80%"
"09/01/2020","-0.642","-0.577","-0.551","-0.674","13.14%"
"08/01/2020","-0.568","-0.647","-0.553","-0.674","-10.69%"
"07/01/2020","-0.636","-0.576","-0.515","-0.675","7.78%"
"06/01/2020","-0.590","-0.518","-0.410","-0.608","11.72%"
"05/01/2020","-0.528","-0.607","-0.444","-0.634","-12.38%"
"04/01/2020","-0.603","-0.543","-0.322","-0.619","16.44%"
"03/01/2020","-0.518","-0.701","-0.186","-0.906","-25.30%"
"02/01/2020","-0.693","-0.599","-0.525","-0.718","14.47%"
"01/01/2020","-0.605","-0.415","-0.401","-0.612","45.54%"
"12/01/2019","-0.416","-0.499","-0.407","-0.556","-21.25%"
"11/01/2019","-0.528","-0.584","-0.466","-0.602","-10.03%"
"10/01/2019","-0.587","-0.710","-0.518","-0.742","-17.32%"
"09/01/2019","-0.710","-0.827","-0.620","-0.865","-14.56%"
"08/01/2019","-0.831","-0.669","-0.652","-0.863","21.31%"
"07/01/2019","-0.685","-0.568","-0.530","-0.704","17.09%"
"06/01/2019","-0.585","-0.494","-0.450","-0.621","19.39%"
"05/01/2019","-0.490","-0.319","-0.304","-0.504","47.59%"
"04/01/2019","-0.332","-0.351","-0.258","-0.368","-11.23%"
"03/01/2019","-0.374","-0.178","-0.162","-0.391","100.00%"
"02/01/2019","-0.187","-0.229","-0.162","-0.282","-19.05%"
"01/01/2019","-0.231","-0.186","-0.139","-0.246","46.20%"
"12/01/2018","-0.158","-0.088","-0.051","-0.181","36.21%"
"11/01/2018","-0.116","-0.033","0.031","-0.125","205.26%"
"10/01/2018","-0.038","-0.175","-0.014","-0.305","-78.00%"
"09/01/2018","-0.173","-0.300","-0.083","-0.317","-44.51%"
"08/01/2018","-0.311","-0.221","-0.177","-0.383","37.21%"
"07/01/2018","-0.227","-0.333","-0.205","-0.347","-30.04%"
"06/01/2018","-0.324","-0.192","-0.110","-0.340","44.93%"
"05/01/2018","-0.224","-0.071","0.023","-0.411","175.15%"
"04/01/2018","-0.081","-0.125","0.012","-0.137","-36.58%"
"03/01/2018","-0.128","-0.111","-0.003","-0.144","26.31%"
"02/01/2018","-0.101","0.004","0.028","-0.103","857.55%"
"01/01/2018","-0.011","-0.216","0.014","-0.249","-95.03%"
"12/01/2017","-0.213","-0.313","-0.196","-0.401","-32.19%"
"11/01/2017","-0.314","-0.338","-0.264","-0.381","-6.82%"
"10/01/2017","-0.337","-0.226","-0.190","-0.346","32.26%"
"09/01/2017","-0.255","-0.305","-0.194","-0.379","-17.84%"
"08/01/2017","-0.310","-0.172","-0.158","-0.338","72.88%"
"07/01/2017","-0.180","-0.140","-0.047","-0.197","37.73%"
"06/01/2017","-0.130","-0.323","-0.110","-0.368","-59.82%"
"05/01/2017","-0.324","-0.316","-0.160","-0.331","1.09%"
"04/01/2017","-0.321","-0.273","-0.204","-0.449","18.01%"
"03/01/2017","-0.272","-0.389","-0.158","-0.396","-31.83%"
"02/01/2017","-0.399","-0.169","-0.152","-0.426","106.74%"
"01/01/2017","-0.193","-0.538","-0.125","-0.563","-63.72%"
"12/01/2016","-0.532","-0.428","-0.292","-0.566","26.25%"
"11/01/2016","-0.421","-0.380","-0.230","-0.484","7.75%"
"10/01/2016","-0.391","-0.542","-0.362","-0.550","-27.51%"
"09/01/2016","-0.539","-0.475","-0.425","-0.580","9.99%"
