"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.656","2.682","2.742","2.566","-0.90%"
"10/01/2024","2.680","2.420","2.732","2.326","9.84%"
"09/01/2024","2.440","2.709","2.719","2.397","-8.79%"
"08/01/2024","2.675","2.703","2.724","2.546","-1.62%"
"07/01/2024","2.719","3.059","3.114","2.715","-11.00%"
"06/01/2024","3.055","3.104","3.196","2.920","-2.02%"
"05/01/2024","3.118","3.026","3.157","2.889","1.83%"
"04/01/2024","3.062","2.889","3.128","2.822","8.12%"
"03/01/2024","2.832","2.996","3.034","2.734","-4.32%"
"02/01/2024","2.960","2.738","3.079","2.685","9.35%"
"01/01/2024","2.707","2.670","2.934","2.595","3.48%"
"12/01/2023","2.616","3.024","3.029","2.475","-13.81%"
"11/01/2023","3.035","3.382","3.385","2.965","-9.56%"
"10/01/2023","3.356","3.517","3.613","3.309","-4.74%"
"09/01/2023","3.523","3.171","3.649","3.141","11.45%"
"08/01/2023","3.161","3.211","3.432","3.133","-1.92%"
"07/01/2023","3.223","3.255","3.492","3.074","-1.07%"
"06/01/2023","3.258","2.998","3.307","2.918","9.51%"
"05/01/2023","2.975","3.075","3.257","2.845","-0.60%"
"04/01/2023","2.993","2.985","3.229","2.788","1.49%"
"03/01/2023","2.949","3.449","3.524","2.629","-12.75%"
"02/01/2023","3.380","2.936","3.450","2.664","14.62%"
"01/01/2023","2.949","3.144","3.147","2.562","-7.58%"
"12/01/2022","3.191","2.434","3.191","2.312","26.58%"
"11/01/2022","2.521","2.625","2.867","2.361","-4.40%"
"10/01/2022","2.637","2.685","3.030","2.293","-0.23%"
"09/01/2022","2.643","2.079","2.936","1.909","30.71%"
"08/01/2022","2.022","1.092","2.066","0.761","89.68%"
"07/01/2022","1.066","1.704","1.879","1.061","-38.35%"
"06/01/2022","1.729","1.498","2.626","1.489","16.43%"
"05/01/2022","1.485","1.328","1.563","1.121","12.41%"
"04/01/2022","1.321","0.933","1.337","0.840","54.14%"
"03/01/2022","0.857","0.464","0.979","0.165","76.70%"
"02/01/2022","0.485","0.201","0.697","0.176","142.50%"
"01/01/2022","0.200","0.013","0.209","-0.027","809.09%"
"12/01/2021","0.022","-0.292","0.022","-0.319","-107.51%"
"11/01/2021","-0.293","-0.105","-0.054","-0.345","205.21%"
"10/01/2021","-0.096","-0.294","-0.079","-0.341","-66.78%"
"09/01/2021","-0.289","-0.354","-0.275","-0.388","-18.36%"
"08/01/2021","-0.354","-0.380","-0.352","-0.438","-8.29%"
"07/01/2021","-0.386","-0.229","-0.224","-0.395","63.56%"
"06/01/2021","-0.236","-0.211","-0.191","-0.314","10.80%"
"05/01/2021","-0.213","-0.200","-0.090","-0.246","9.23%"
"04/01/2021","-0.195","-0.265","-0.182","-0.291","-26.97%"
"03/01/2021","-0.267","-0.174","-0.174","-0.325","58.93%"
"02/01/2021","-0.168","-0.445","-0.122","-0.449","-61.56%"
"01/01/2021","-0.437","-0.468","-0.376","-0.488","-7.02%"
"12/01/2020","-0.470","-0.454","-0.418","-0.523","5.15%"
"11/01/2020","-0.447","-0.403","-0.353","-0.479","12.31%"
"10/01/2020","-0.398","-0.284","-0.278","-0.408","37.24%"
"09/01/2020","-0.290","-0.201","-0.189","-0.354","49.48%"
"08/01/2020","-0.194","-0.207","-0.170","-0.276","-2.51%"
"07/01/2020","-0.199","-0.188","-0.164","-0.332","-2.93%"
"06/01/2020","-0.205","-0.140","-0.029","-0.235","38.51%"
"05/01/2020","-0.148","0.085","0.238","-0.160","-274.12%"
"04/01/2020","0.085","0.163","0.605","0.062","-52.51%"
"03/01/2020","0.179","-0.201","0.710","-0.327","-199.44%"
"02/01/2020","-0.180","-0.220","-0.151","-0.289","-20.70%"
"01/01/2020","-0.227","-0.070","-0.049","-0.228","363.27%"
"12/01/2019","-0.049","-0.074","-0.033","-0.130","-44.94%"
"11/01/2019","-0.089","-0.204","-0.044","-0.207","-55.72%"
"10/01/2019","-0.201","-0.290","-0.156","-0.314","-32.78%"
"09/01/2019","-0.299","-0.361","-0.138","-0.395","-16.01%"
"08/01/2019","-0.356","-0.246","-0.224","-0.391","32.84%"
"07/01/2019","-0.268","-0.152","-0.065","-0.327","65.43%"
"06/01/2019","-0.162","-0.125","-0.117","-0.259","22.73%"
"05/01/2019","-0.132","-0.017","-0.014","-0.135","340.00%"
"04/01/2019","-0.030","0.070","0.090","-0.034","-150.00%"
"03/01/2019","0.060","0.189","0.220","0.034","-68.42%"
"02/01/2019","0.190","0.204","0.247","0.140","-6.40%"
"01/01/2019","0.203","0.335","0.446","0.197","-38.30%"
"12/01/2018","0.329","0.460","0.469","0.300","-28.01%"
"11/01/2018","0.457","0.550","0.635","0.441","-16.61%"
"10/01/2018","0.548","0.547","0.785","0.527","3.01%"
"09/01/2018","0.532","0.471","0.561","0.409","15.15%"
"08/01/2018","0.462","0.377","0.524","0.329","25.20%"
"07/01/2018","0.369","0.428","0.459","0.307","-10.22%"
"06/01/2018","0.411","0.453","0.589","0.255","-17.47%"
"05/01/2018","0.498","0.234","0.641","0.204","109.24%"
"04/01/2018","0.238","0.134","0.285","0.134","93.50%"
"03/01/2018","0.123","0.446","0.469","0.121","-72.36%"
"02/01/2018","0.445","0.443","0.486","0.354","1.60%"
"01/01/2018","0.438","0.421","0.465","0.317","3.06%"
"12/01/2017","0.425","0.204","0.425","0.124","106.31%"
"11/01/2017","0.206","0.201","0.273","0.129","1.98%"
"10/01/2017","0.202","0.314","0.440","0.200","-23.77%"
"09/01/2017","0.265","0.200","0.313","0.163","31.84%"
"08/01/2017","0.201","0.271","0.276","0.199","-23.28%"
"07/01/2017","0.262","0.312","0.444","0.221","-16.56%"
"06/01/2017","0.314","0.349","0.365","0.161","-8.99%"
"05/01/2017","0.345","0.460","0.464","0.309","-20.51%"
"04/01/2017","0.434","0.480","0.491","0.399","-10.88%"
"03/01/2017","0.487","0.499","0.688","0.467","-0.41%"
"02/01/2017","0.489","0.368","0.603","0.264","42.98%"
"01/01/2017","0.342","0.278","0.402","0.146","25.74%"
"12/01/2016","0.272","0.482","0.542","0.190","-43.92%"
"11/01/2016","0.485","0.208","0.570","0.153","170.95%"
"10/01/2016","0.179","0.065","0.245","0.026","316.28%"
"09/01/2016","0.043","0.131","0.246","0.027","-69.29%"
"08/01/2016","0.140","0.173","0.201","0.056","-19.54%"
"07/01/2016","0.174","0.181","0.294","0.169","2.35%"
"06/01/2016","0.170","0.482","0.675","0.170","-64.21%"
"05/01/2016","0.475","0.570","0.605","0.462","-17.82%"
"04/01/2016","0.578","0.342","0.660","0.332","69.50%"
"03/01/2016","0.341","0.494","0.494","0.315","-30.69%"
"02/01/2016","0.492","0.431","0.735","0.424","12.07%"
"01/01/2016","0.439","0.645","0.730","0.439","-35.06%"
"12/01/2015","0.676","0.519","0.777","0.451","34.39%"
"11/01/2015","0.503","0.677","0.847","0.470","-24.02%"
"10/01/2015","0.662","0.890","0.904","0.600","-25.62%"
"09/01/2015","0.890","1.030","1.087","0.877","-15.16%"
"08/01/2015","1.049","0.917","1.084","0.871","39.31%"
"07/01/2015","0.753","1.108","1.274","0.728","-34.29%"
"06/01/2015","1.146","0.785","1.387","0.782","45.80%"
"05/01/2015","0.786","0.646","0.871","0.585","25.16%"
"04/01/2015","0.628","0.547","0.711","0.468","16.95%"
"03/01/2015","0.537","0.565","0.680","0.414","-6.28%"
"02/01/2015","0.573","0.816","0.955","0.537","-33.06%"
"01/01/2015","0.856","0.808","0.995","0.642","-1.95%"
"12/01/2014","0.873","0.895","1.170","0.831","-4.07%"
"11/01/2014","0.910","1.002","1.096","0.828","-10.87%"
"10/01/2014","1.021","0.896","1.278","0.817","10.74%"
"09/01/2014","0.922","0.897","1.125","0.788","0.77%"
"08/01/2014","0.915","1.141","1.239","0.753","-18.30%"
"07/01/2014","1.120","1.283","1.430","1.012","-13.11%"
"06/01/2014","1.289","1.551","1.576","1.176","-16.73%"
"05/01/2014","1.548","1.671","1.854","1.489","-8.08%"
"04/01/2014","1.684","1.849","1.902","1.657","-9.02%"
"03/01/2014","1.851","2.011","2.094","1.824","-8.50%"
"02/01/2014","2.023","2.204","2.232","1.967","-8.50%"
"01/01/2014","2.211","2.714","2.722","2.194","-18.71%"
"12/01/2013","2.720","2.688","2.893","2.520","1.00%"
"11/01/2013","2.693","2.775","2.911","2.551","-3.96%"
"10/01/2013","2.804","3.154","3.220","2.754","-11.82%"
"09/01/2013","3.180","3.521","3.586","3.055","-9.40%"
"08/01/2013","3.510","3.289","3.556","3.171","5.95%"
"07/01/2013","3.313","3.581","3.629","3.250","-7.54%"
"06/01/2013","3.583","3.234","3.951","3.178","11.17%"
"05/01/2013","3.223","2.924","3.285","2.692","10.41%"
"04/01/2013","2.919","3.818","3.818","2.895","-23.59%"
"03/01/2013","3.820","3.753","3.925","3.410","1.14%"
"02/01/2013","3.777","3.866","4.230","3.663","-3.03%"
"01/01/2013","3.895","4.022","4.042","3.456","-4.06%"
"12/01/2012","4.060","4.293","4.556","3.994","-4.78%"
"11/01/2012","4.264","4.414","4.838","4.063","-2.80%"
"10/01/2012","4.387","4.988","5.004","4.101","-11.57%"
"09/01/2012","4.961","5.830","5.833","4.463","-15.77%"
"08/01/2012","5.890","6.423","6.857","5.290","-8.54%"
"07/01/2012","6.440","5.743","7.789","5.471","11.23%"
"06/01/2012","5.790","6.079","6.878","5.388","-3.66%"
"05/01/2012","6.010","4.675","6.218","4.599","27.87%"
"04/01/2012","4.700","4.094","5.140","4.051","10.07%"
"03/01/2012","4.270","3.545","4.254","3.428","20.96%"
"02/01/2012","3.530","3.638","4.230","3.484","-3.02%"
"01/01/2012","3.640","4.233","4.942","3.510","-13.33%"
"12/01/2011","4.200","6.206","6.220","4.171","-28.45%"
"11/01/2011","5.870","4.669","6.658","4.603","23.06%"
"10/01/2011","4.770","4.491","4.891","4.241","8.41%"
"09/01/2011","4.400","4.303","4.826","4.253","2.42%"
"08/01/2011","4.296","5.441","5.918","4.134","-20.80%"
"07/01/2011","5.424","4.725","5.802","4.585","15.18%"
"06/01/2011","4.709","4.727","5.053","4.466","1.18%"
"05/01/2011","4.654","4.563","4.983","4.446","2.81%"
"04/01/2011","4.527","4.502","4.872","4.330","1.91%"
"03/01/2011","4.442","4.525","4.638","4.087","-1.11%"
"02/01/2011","4.492","4.598","4.626","4.131","-1.62%"
"01/01/2011","4.566","4.824","5.155","4.340","-4.48%"
"12/01/2010","4.780","5.025","5.101","4.219","-3.73%"
"11/01/2010","4.965","3.200","5.118","3.130","57.62%"
"10/01/2010","3.150","3.206","3.213","2.901","-0.16%"
"09/01/2010","3.155","3.186","3.383","2.978","0.19%"
"08/01/2010","3.149","3.022","3.241","2.777","5.49%"
"07/01/2010","2.985","3.879","3.958","2.863","-21.26%"
"06/01/2010","3.791","3.397","4.128","3.350","12.19%"
"05/01/2010","3.379","3.166","4.279","2.890","7.03%"
"04/01/2010","3.157","2.618","3.529","2.604","20.63%"
"03/01/2010","2.617","2.746","2.794","2.577","-4.56%"
"02/01/2010","2.742","3.033","3.256","2.682","-10.63%"
"01/01/2010","3.068","3.033","3.130","2.799","4.14%"
"12/01/2009","2.946","2.659","3.002","2.583","10.88%"
"11/01/2009","2.657","2.732","2.895","2.608","-2.78%"
"10/01/2009","2.733","2.800","2.878","2.641","-0.29%"
"09/01/2009","2.741","2.774","2.889","2.693","-2.28%"
"08/01/2009","2.805","2.833","3.099","2.751","-0.32%"
"07/01/2009","2.814","2.859","3.193","2.730","-1.26%"
"06/01/2009","2.850","3.111","3.425","2.811","-8.95%"
"05/01/2009","3.130","2.825","3.193","2.727","10.48%"
"04/01/2009","2.833","3.067","3.207","2.808","-8.76%"
"03/01/2009","3.105","3.316","3.385","3.056","-7.70%"
"02/01/2009","3.364","3.648","3.659","3.165","-7.68%"
"01/01/2009","3.644","3.327","3.941","3.239","9.86%"
"12/01/2008","3.317","3.490","3.898","3.251","-5.17%"
"11/01/2008","3.498","3.750","3.822","3.300","-5.82%"
"10/01/2008","3.714","4.308","4.431","3.543","-12.86%"
"09/01/2008","4.262","4.279","4.532","3.945","-0.40%"
"08/01/2008","4.279","4.439","4.500","4.049","-3.50%"
"07/01/2008","4.434","4.823","4.948","4.428","-8.31%"
"06/01/2008","4.836","4.392","4.937","4.270","9.16%"
"05/01/2008","4.430","4.093","4.479","3.951","8.18%"
"04/01/2008","4.095","3.848","4.278","3.799","6.14%"
"03/01/2008","3.858","3.509","3.929","3.409","9.73%"
"02/01/2008","3.516","3.712","3.821","3.448","-5.28%"
"01/01/2008","3.712","4.170","4.215","3.490","-11.49%"
"12/01/2007","4.194","4.031","4.255","3.894","3.97%"
"11/01/2007","4.034","4.034","4.034","4.034","-5.31%"
"10/01/2007","4.260","4.260","4.260","4.260","0.00%"
"09/01/2007","4.260","4.260","4.260","4.260","0.92%"
"08/01/2007","4.221","4.221","4.221","4.221","-3.76%"
"07/01/2007","4.386","4.386","4.386","4.386","-4.07%"
"06/01/2007","4.572","4.572","4.572","4.572","2.93%"
"05/01/2007","4.442","4.442","4.442","4.442","7.24%"
"04/01/2007","4.142","4.142","4.142","4.142","2.22%"
"03/01/2007","4.052","4.052","4.052","4.052","0.62%"
"02/01/2007","4.027","4.027","4.027","4.027","-1.80%"
"01/01/2007","4.101","4.101","4.101","4.101","4.17%"
"12/01/2006","3.937","3.937","3.937","3.937","8.01%"
"11/01/2006","3.645","3.645","3.645","3.645","-1.14%"
"10/01/2006","3.687","3.687","3.687","3.687","1.68%"
"09/01/2006","3.626","3.626","3.626","3.626","1.06%"
"08/01/2006","3.588","3.588","3.588","3.588","-2.53%"
"07/01/2006","3.681","3.681","3.681","3.681","-3.44%"
"06/01/2006","3.812","3.812","3.812","3.812","3.45%"
"05/01/2006","3.685","3.685","3.685","3.685","0.16%"
