"Date","Price","Open","High","Low","Change %"
"11/01/2024","2.001","1.931","2.036","1.906","2.77%"
"10/01/2024","1.947","1.709","2.004","1.639","13.99%"
"09/01/2024","1.708","1.886","1.924","1.627","-8.47%"
"08/01/2024","1.866","1.907","1.911","1.651","-2.46%"
"07/01/2024","1.913","2.208","2.303","1.893","-12.41%"
"06/01/2024","2.184","2.505","2.505","2.131","-12.01%"
"05/01/2024","2.482","2.515","2.542","2.277","-1.97%"
"04/01/2024","2.532","2.372","2.603","2.369","8.02%"
"03/01/2024","2.344","2.499","2.541","2.209","-6.61%"
"02/01/2024","2.510","2.167","2.584","2.106","15.94%"
"01/01/2024","2.165","2.034","2.297","1.975","7.44%"
"12/01/2023","2.015","2.608","2.609","1.915","-22.92%"
"11/01/2023","2.614","3.014","3.017","2.518","-11.78%"
"10/01/2023","2.963","3.084","3.187","2.907","-3.77%"
"09/01/2023","3.079","2.901","3.207","2.848","6.54%"
"08/01/2023","2.890","2.683","3.080","2.654","7.24%"
"07/01/2023","2.695","2.793","2.953","2.573","-3.09%"
"06/01/2023","2.781","2.443","2.853","2.420","14.40%"
"05/01/2023","2.431","2.498","2.600","2.288","-0.86%"
"04/01/2023","2.452","2.412","2.690","2.290","2.38%"
"03/01/2023","2.395","2.864","2.890","2.114","-15.85%"
"02/01/2023","2.846","2.156","2.895","1.927","28.95%"
"01/01/2023","2.207","2.527","2.537","1.969","-12.04%"
"12/01/2022","2.509","1.961","2.553","1.832","22.45%"
"11/01/2022","2.049","2.330","2.408","1.954","-12.92%"
"10/01/2022","2.353","2.444","2.567","2.221","-4.27%"
"09/01/2022","2.458","2.257","2.652","2.124","10.03%"
"08/01/2022","2.234","1.586","2.337","1.472","42.38%"
"07/01/2022","1.569","1.804","1.936","1.473","-14.07%"
"06/01/2022","1.826","1.507","2.277","1.497","21.98%"
"05/01/2022","1.497","1.610","1.886","1.419","-6.50%"
"04/01/2022","1.601","1.181","1.611","1.053","36.26%"
"03/01/2022","1.175","0.368","1.308","0.171","192.29%"
"02/01/2022","0.402","0.265","0.575","0.243","58.27%"
"01/01/2022","0.254","0.079","0.263","0.079","345.61%"
"12/01/2021","0.057","-0.032","0.070","-0.090","-203.64%"
"11/01/2021","-0.055","0.146","0.149","-0.056","-138.73%"
"10/01/2021","0.142","0.016","0.157","-0.017","255.00%"
"09/01/2021","0.040","-0.111","0.041","-0.130","-133.90%"
"08/01/2021","-0.118","-0.196","-0.111","-0.233","-40.40%"
"07/01/2021","-0.198","-0.008","-0.001","-0.204","1,700.00%"
"06/01/2021","-0.011","0.029","0.040","-0.095","-133.33%"
"05/01/2021","0.033","0.020","0.076","-0.031","65.00%"
"04/01/2021","0.020","0.006","0.028","-0.059","-2,100.00%"
"03/01/2021","-0.001","0.036","0.098","-0.045","-102.27%"
"02/01/2021","0.044","-0.195","0.076","-0.208","-122.80%"
"01/01/2021","-0.193","-0.224","-0.139","-0.248","-14.22%"
"12/01/2020","-0.225","-0.334","-0.210","-0.407","-32.02%"
"11/01/2020","-0.331","-0.377","-0.279","-0.384","-9.56%"
"10/01/2020","-0.366","-0.337","-0.295","-0.417","11.93%"
"09/01/2020","-0.327","-0.251","-0.234","-0.359","29.76%"
"08/01/2020","-0.252","-0.272","-0.217","-0.328","-4.91%"
"07/01/2020","-0.265","-0.304","-0.259","-0.347","-14.79%"
"06/01/2020","-0.311","-0.241","-0.167","-0.336","24.40%"
"05/01/2020","-0.250","-0.313","-0.217","-0.372","-19.35%"
"04/01/2020","-0.310","-0.355","-0.176","-0.379","-10.92%"
"03/01/2020","-0.348","-0.470","-0.151","-0.694","-28.54%"
"02/01/2020","-0.487","-0.289","-0.174","-0.496","73.93%"
"01/01/2020","-0.280","-0.152","-0.106","-0.283","81.82%"
"12/01/2019","-0.154","-0.210","-0.152","-0.270","-33.62%"
"11/01/2019","-0.232","-0.344","-0.201","-0.357","-32.95%"
"10/01/2019","-0.346","-0.540","-0.258","-0.647","-35.93%"
"09/01/2019","-0.540","-0.715","-0.431","-0.738","-25.52%"
"08/01/2019","-0.725","-0.612","-0.595","-0.743","17.50%"
"07/01/2019","-0.617","-0.505","-0.398","-0.617","19.81%"
"06/01/2019","-0.515","-0.439","-0.438","-0.569","17.31%"
"05/01/2019","-0.439","-0.304","-0.289","-0.455","45.36%"
"04/01/2019","-0.302","-0.240","-0.176","-0.338","17.51%"
"03/01/2019","-0.257","-0.053","-0.031","-0.282","350.88%"
"02/01/2019","-0.057","-0.082","-0.056","-0.164","-30.49%"
"01/01/2019","-0.082","-0.027","-0.012","-0.087","290.48%"
"12/01/2018","-0.021","-0.018","0.029","-0.051","-40.00%"
"11/01/2018","-0.035","0.089","0.141","-0.043","-140.70%"
"10/01/2018","0.086","0.109","0.195","0.067","-18.10%"
"09/01/2018","0.105","-0.048","0.149","-0.070","-294.44%"
"08/01/2018","-0.054","0.042","0.053","-0.107","-268.75%"
"07/01/2018","0.032","-0.084","0.046","-0.123","-139.51%"
"06/01/2018","-0.081","-0.032","0.056","-0.149","-2.41%"
"05/01/2018","-0.083","0.084","0.155","-0.204","-194.32%"
"04/01/2018","0.088","0.097","0.173","0.037","-12.00%"
"03/01/2018","0.100","0.185","0.250","0.093","-47.09%"
"02/01/2018","0.189","0.341","0.383","0.171","-40.75%"
"01/01/2018","0.319","-0.087","0.339","-0.145","-454.44%"
"12/01/2017","-0.090","-0.210","-0.090","-0.256","-57.35%"
"11/01/2017","-0.211","-0.139","-0.126","-0.265","56.30%"
"10/01/2017","-0.135","-0.006","0.050","-0.141","1,828.57%"
"09/01/2017","-0.007","-0.066","0.055","-0.130","-89.86%"
"08/01/2017","-0.069","0.040","0.066","-0.104","-376.00%"
"07/01/2017","0.025","-0.017","0.059","-0.096","2,400.00%"
"06/01/2017","0.001","-0.164","0.002","-0.242","-100.62%"
"05/01/2017","-0.162","-0.072","0.033","-0.189","76.09%"
"04/01/2017","-0.092","-0.044","0.003","-0.142","67.27%"
"03/01/2017","-0.055","-0.137","0.134","-0.145","-62.59%"
"02/01/2017","-0.147","0.107","0.122","-0.162","-263.33%"
"01/01/2017","0.090","-0.124","0.120","-0.165","-176.27%"
"12/01/2016","-0.118","-0.152","-0.015","-0.156","-26.25%"
"11/01/2016","-0.160","-0.314","-0.082","-0.347","-51.66%"
"10/01/2016","-0.331","-0.372","-0.254","-0.383","-11.73%"
"09/01/2016","-0.375","-0.353","-0.182","-0.405","2.74%"
"08/01/2016","-0.365","-0.357","-0.323","-0.427","-1.62%"
"07/01/2016","-0.371","-0.266","-0.258","-0.380","32.97%"
"06/01/2016","-0.279","-0.190","-0.021","-0.399","60.34%"
"05/01/2016","-0.174","-0.073","-0.060","-0.219","228.30%"
"04/01/2016","-0.053","-0.128","-0.029","-0.174","-55.08%"
"03/01/2016","-0.118","-0.123","-0.009","-0.154","-14.49%"
"02/01/2016","-0.138","-0.041","-0.011","-0.219","411.11%"
"01/01/2016","-0.027","0.279","0.279","-0.042","-108.88%"
"12/01/2015","0.304","0.122","0.359","0.038","189.52%"
"11/01/2015","0.105","0.018","0.196","0.006","854.55%"
"10/01/2015","0.011","0.053","0.147","-0.086","-78.43%"
"09/01/2015","0.051","0.085","0.175","-0.036","-23.88%"
"08/01/2015","0.067","0.133","0.164","-0.084","-45.97%"
"07/01/2015","0.124","0.369","0.400","0.053","-66.76%"
"06/01/2015","0.373","0.191","0.520","0.169","92.27%"
"05/01/2015","0.194","0.138","0.380","0.130","77.98%"
"04/01/2015","0.109","0.055","0.120","-0.080","159.52%"
"03/01/2015","0.042","0.214","0.353","-0.001","-79.41%"
"02/01/2015","0.204","0.182","0.219","-0.056","0.49%"
"01/01/2015","0.203","0.424","0.425","0.203","-50.49%"
"12/01/2014","0.410","0.180","0.474","0.087","121.62%"
"11/01/2014","0.185","0.283","0.336","0.172","-34.40%"
"10/01/2014","0.282","0.568","0.580","0.245","-50.61%"
"09/01/2014","0.571","0.575","0.658","0.505","-2.23%"
"08/01/2014","0.584","0.791","0.808","0.572","-26.54%"
"07/01/2014","0.795","0.956","0.985","0.745","-16.40%"
"06/01/2014","0.951","1.053","1.120","0.945","-10.54%"
"05/01/2014","1.063","1.232","1.265","1.056","-14.89%"
"04/01/2014","1.249","1.433","1.463","1.204","-12.04%"
"03/01/2014","1.420","1.518","1.533","1.374","-6.52%"
"02/01/2014","1.519","1.531","1.601","1.406","-0.91%"
"01/01/2014","1.533","1.805","1.813","1.524","-15.30%"
"12/01/2013","1.810","1.605","1.820","1.535","14.34%"
"11/01/2013","1.583","1.685","1.800","1.520","-6.22%"
"10/01/2013","1.688","1.860","1.951","1.614","-8.26%"
"09/01/2013","1.840","1.962","2.205","1.818","-4.66%"
"08/01/2013","1.930","1.605","2.027","1.597","15.92%"
"07/01/2013","1.665","1.735","1.767","1.517","-3.70%"
"06/01/2013","1.729","1.440","1.821","1.092","20.99%"
"05/01/2013","1.429","1.205","1.437","1.177","18.79%"
"04/01/2013","1.203","1.434","1.456","1.129","-13.58%"
"03/01/2013","1.392","1.308","1.633","1.307","5.37%"
"02/01/2013","1.321","1.379","1.525","1.280","-3.93%"
"01/01/2013","1.375","0.970","1.423","0.970","42.05%"
"12/01/2012","0.968","0.965","1.055","0.865","1.04%"
"11/01/2012","0.958","1.010","1.035","0.841","-5.34%"
"10/01/2012","1.012","1.012","1.012","1.012","4.55%"
"09/01/2012","0.968","0.968","0.968","0.968","-4.44%"
"08/01/2012","1.013","1.013","1.013","1.013","-4.88%"
"07/01/2012","1.065","1.065","1.065","1.065","-13.13%"
"06/01/2012","1.226","1.226","1.226","1.226","25.49%"
"05/01/2012","0.977","0.977","0.977","0.977","-30.61%"
"04/01/2012","1.408","1.408","1.408","1.408","-12.05%"
"03/01/2012","1.601","1.601","1.601","1.601","11.34%"
"02/01/2012","1.438","1.438","1.438","1.438","11.47%"
"01/01/2012","1.290","1.290","1.290","1.290","5.39%"
"12/01/2011","1.224","1.224","1.224","1.224","7.84%"
"11/01/2011","1.135","1.135","1.135","1.135","-26.96%"
"10/01/2011","1.554","1.554","1.554","1.554","7.92%"
