"Date","Price","Open","High","Low","Change %"
"11/01/2024","0.260","0.362","0.384","0.238","-26.97%"
"10/01/2024","0.356","0.399","0.535","0.319","-3.26%"
"09/01/2024","0.368","0.527","0.555","0.353","-27.70%"
"08/01/2024","0.509","0.491","0.545","0.331","-6.26%"
"07/01/2024","0.543","0.694","0.796","0.529","-19.08%"
"06/01/2024","0.671","1.019","1.071","0.654","-34.15%"
"05/01/2024","1.019","0.862","1.078","0.808","21.74%"
"04/01/2024","0.837","0.805","0.877","0.753","4.23%"
"03/01/2024","0.803","0.872","0.958","0.697","-8.02%"
"02/01/2024","0.873","0.819","1.038","0.788","7.51%"
"01/01/2024","0.812","0.871","1.043","0.793","2.92%"
"12/01/2023","0.789","0.934","0.934","0.675","-17.64%"
"11/01/2023","0.958","1.069","1.151","0.908","-7.62%"
"10/01/2023","1.037","1.100","1.170","0.970","-2.54%"
"09/01/2023","1.064","0.961","1.171","0.910","10.26%"
"08/01/2023","0.965","1.051","1.097","0.930","-7.03%"
"07/01/2023","1.038","1.060","1.183","0.884","3.59%"
"06/01/2023","1.002","0.878","1.184","0.824","15.70%"
"05/01/2023","0.866","1.085","1.086","0.787","-16.89%"
"04/01/2023","1.042","1.327","1.333","0.948","-17.82%"
"03/01/2023","1.268","1.421","1.631","0.851","-6.35%"
"02/01/2023","1.354","1.094","1.424","0.961","19.82%"
"01/01/2023","1.130","1.429","1.429","0.921","-21.69%"
"12/01/2022","1.443","0.964","1.564","0.866","49.53%"
"11/01/2022","0.965","0.830","0.987","0.665","13.80%"
"10/01/2022","0.848","0.948","1.225","0.583","-9.88%"
"09/01/2022","0.941","0.736","1.323","0.610","35.59%"
"08/01/2022","0.694","0.079","0.818","0.023","459.68%"
"07/01/2022","0.124","0.582","0.624","0.079","-76.06%"
"06/01/2022","0.518","0.423","1.108","0.414","21.60%"
"05/01/2022","0.426","0.489","0.578","0.157","-10.50%"
"04/01/2022","0.476","0.298","0.556","0.189","91.94%"
"03/01/2022","0.248","-0.068","0.397","-0.266","-567.92%"
"02/01/2022","-0.053","-0.218","0.130","-0.225","-74.88%"
"01/01/2022","-0.211","-0.386","-0.206","-0.405","-46.72%"
"12/01/2021","-0.396","-0.496","-0.396","-0.544","-20.32%"
"11/01/2021","-0.497","-0.268","-0.245","-0.528","90.42%"
"10/01/2021","-0.261","-0.506","-0.251","-0.518","-46.84%"
"09/01/2021","-0.491","-0.640","-0.473","-0.654","-21.44%"
"08/01/2021","-0.625","-0.683","-0.625","-0.725","-8.63%"
"07/01/2021","-0.684","-0.558","-0.537","-0.694","22.14%"
"06/01/2021","-0.560","-0.506","-0.437","-0.581","10.89%"
"05/01/2021","-0.505","-0.535","-0.438","-0.549","-5.25%"
"04/01/2021","-0.533","-0.564","-0.516","-0.599","-6.82%"
"03/01/2021","-0.572","-0.538","-0.527","-0.634","11.72%"
"02/01/2021","-0.512","-0.662","-0.469","-0.662","-22.42%"
"01/01/2021","-0.660","-0.707","-0.630","-0.749","-6.52%"
"12/01/2020","-0.706","-0.682","-0.641","-0.762","3.67%"
"11/01/2020","-0.681","-0.762","-0.593","-0.762","-9.80%"
"10/01/2020","-0.755","-0.724","-0.701","-0.790","4.86%"
"09/01/2020","-0.720","-0.661","-0.646","-0.757","9.09%"
"08/01/2020","-0.660","-0.688","-0.616","-0.724","-3.93%"
"07/01/2020","-0.687","-0.591","-0.558","-0.744","10.63%"
"06/01/2020","-0.621","-0.605","-0.470","-0.638","0.81%"
"05/01/2020","-0.616","-0.695","-0.590","-0.695","-6.38%"
"04/01/2020","-0.658","-0.537","-0.406","-0.688","22.76%"
"03/01/2020","-0.536","-0.867","-0.458","-1.011","-37.46%"
"02/01/2020","-0.857","-0.804","-0.723","-0.887","6.86%"
"01/01/2020","-0.802","-0.666","-0.632","-0.825","26.30%"
"12/01/2019","-0.635","-0.723","-0.629","-0.769","-14.30%"
"11/01/2019","-0.741","-0.712","-0.582","-0.771","1.09%"
"10/01/2019","-0.733","-0.881","-0.671","-0.941","-17.45%"
"09/01/2019","-0.888","-1.107","-0.811","-1.121","-20.22%"
"08/01/2019","-1.113","-0.983","-0.983","-1.183","15.22%"
"07/01/2019","-0.966","-0.832","-0.800","-0.976","15.55%"
"06/01/2019","-0.836","-0.779","-0.779","-0.889","5.82%"
"05/01/2019","-0.790","-0.632","-0.613","-0.809","25.00%"
"04/01/2019","-0.632","-0.659","-0.563","-0.690","-5.39%"
"03/01/2019","-0.668","-0.547","-0.532","-0.724","20.36%"
"02/01/2019","-0.555","-0.579","-0.533","-0.610","-2.80%"
"01/01/2019","-0.571","-0.575","-0.486","-0.592","6.53%"
"12/01/2018","-0.536","-0.535","-0.407","-0.572","6.14%"
"11/01/2018","-0.505","-0.420","-0.396","-0.543","11.97%"
"10/01/2018","-0.451","-0.365","-0.312","-0.467","23.90%"
"09/01/2018","-0.364","-0.493","-0.338","-0.497","-23.21%"
"08/01/2018","-0.474","-0.376","-0.329","-0.514","24.74%"
"07/01/2018","-0.380","-0.495","-0.380","-0.501","-20.67%"
"06/01/2018","-0.479","-0.543","-0.391","-0.561","-15.67%"
"05/01/2018","-0.568","-0.418","-0.381","-0.620","34.28%"
