"Date","Price","Open","High","Low","Change %"
"11/01/2024","4.4775","4.3210","4.5270","4.2570","3.77%"
"10/01/2024","4.3150","3.8640","4.4200","3.7870","11.70%"
"09/01/2024","3.8630","3.9420","3.9520","3.5890","-1.25%"
"08/01/2024","3.9120","3.7340","3.9400","3.4780","3.85%"
"07/01/2024","3.7670","4.0540","4.1210","3.7650","-6.41%"
"06/01/2024","4.0250","4.2010","4.2140","3.8550","-4.51%"
"05/01/2024","4.2150","4.2870","4.3060","3.9310","-1.01%"
"04/01/2024","4.2580","3.9260","4.2970","3.8370","11.12%"
"03/01/2024","3.8320","4.0720","4.1180","3.7930","-5.31%"
"02/01/2024","4.0470","3.7680","4.2010","3.6690","8.04%"
"01/01/2024","3.7460","3.5260","4.0160","3.5100","8.20%"
"12/01/2023","3.4620","4.1920","4.2020","3.3890","-16.98%"
"11/01/2023","4.1700","4.5110","4.5140","4.0340","-6.73%"
"10/01/2023","4.4710","4.5380","4.7680","4.3380","-1.02%"
"09/01/2023","4.5170","4.6870","4.8380","4.3460","-3.17%"
"08/01/2023","4.6650","4.3760","4.8440","4.3530","6.39%"
"07/01/2023","4.3850","4.6620","4.9600","4.2300","-5.94%"
"06/01/2023","4.6620","4.1190","4.7200","4.0150","13.79%"
"05/01/2023","4.0970","3.6660","4.3750","3.4670","13.65%"
"04/01/2023","3.6050","3.3730","3.7340","3.2060","7.58%"
"03/01/2023","3.3510","3.7490","3.7690","2.9450","-9.43%"
"02/01/2023","3.7000","3.1960","3.7760","2.8290","15.09%"
"01/01/2023","3.2150","3.5840","3.6370","3.0740","-11.16%"
"12/01/2022","3.6190","3.1710","3.7830","3.1030","10.84%"
"11/01/2022","3.2650","3.5530","3.6100","3.0620","-9.36%"
"10/01/2022","3.6020","4.3600","4.7140","3.4050","-18.06%"
"09/01/2022","4.3960","2.8200","4.7800","2.7650","59.39%"
"08/01/2022","2.7580","1.6120","2.8280","1.4420","74.23%"
"07/01/2022","1.5830","1.8760","2.0210","1.5660","-16.42%"
"06/01/2022","1.8940","1.7020","2.3670","1.6870","12.07%"
"05/01/2022","1.6900","1.6020","1.7800","1.2990","1.08%"
"04/01/2022","1.6720","1.4360","1.8240","1.3690","19.34%"
"03/01/2022","1.4010","1.0340","1.5490","0.7560","32.67%"
"02/01/2022","1.0560","1.1350","1.5410","1.0500","-6.80%"
"01/01/2022","1.1330","0.8120","1.1400","0.7900","38.00%"
"12/01/2021","0.8210","0.6420","0.8500","0.5120","32.42%"
"11/01/2021","0.6200","0.8390","0.8910","0.5480","-25.12%"
"10/01/2021","0.8280","0.6060","0.9040","0.6040","30.60%"
"09/01/2021","0.6340","0.4000","0.7000","0.3460","98.13%"
"08/01/2021","0.3200","0.2750","0.3340","0.2090","18.52%"
"07/01/2021","0.2700","0.3460","0.3840","0.2200","-18.92%"
"06/01/2021","0.3330","0.3540","0.4150","0.2860","-1.77%"
"05/01/2021","0.3390","0.3980","0.4340","0.2890","-14.18%"
"04/01/2021","0.3950","0.4080","0.4180","0.2990","-0.75%"
"03/01/2021","0.3980","0.3880","0.4440","0.2930","-0.75%"
"02/01/2021","0.4010","-0.0290","0.4210","-0.0360","-1,770.83%"
"01/01/2021","-0.0240","-0.0720","0.0250","-0.1100","-71.08%"
"12/01/2020","-0.0830","0.0100","0.0490","-0.1170","-1,137.50%"
"11/01/2020","0.0080","-0.0440","0.0730","-0.0990","-122.22%"
"10/01/2020","-0.0360","-0.0480","-0.0050","-0.1050","-32.08%"
"09/01/2020","-0.0530","-0.0040","0.0150","-0.1510","562.50%"
"08/01/2020","-0.0080","-0.1140","0.0550","-0.1460","-93.28%"
"07/01/2020","-0.1190","-0.0400","-0.0090","-0.1530","124.53%"
"06/01/2020","-0.0530","0.0020","0.1130","-0.0790","960.00%"
"05/01/2020","-0.0050","0.0980","0.1280","-0.0390","-105.81%"
"04/01/2020","0.0860","0.1530","0.2400","0.0860","-58.65%"
"03/01/2020","0.2080","0.3490","0.8300","0.0070","-36.78%"
"02/01/2020","0.3290","0.4130","0.5240","0.2840","-20.53%"
"01/01/2020","0.4140","0.6520","0.6570","0.3390","-31.57%"
"12/01/2019","0.6050","0.5510","0.6840","0.4660","17.70%"
"11/01/2019","0.5140","0.4470","0.5850","0.4300","17.35%"
"10/01/2019","0.4380","0.2950","0.5770","0.2090","56.43%"
"09/01/2019","0.2800","0.3330","0.5650","0.2020","-14.89%"
"08/01/2019","0.3290","0.3980","0.4600","0.2770","-13.87%"
"07/01/2019","0.3820","0.6550","0.6590","0.3810","-39.37%"
"06/01/2019","0.6300","0.6360","0.6660","0.5730","-1.56%"
"05/01/2019","0.6400","0.9070","0.9530","0.6190","-29.52%"
"04/01/2019","0.9080","0.7830","0.9670","0.7340","21.07%"
"03/01/2019","0.7500","1.0240","1.0290","0.7380","-26.40%"
"02/01/2019","1.0190","0.8760","1.0390","0.7790","16.72%"
"01/01/2019","0.8730","0.8820","1.0060","0.8050","-2.89%"
"12/01/2018","0.8990","0.9580","0.9650","0.7800","-4.36%"
"11/01/2018","0.9400","1.0440","1.1480","0.8920","-8.47%"
"10/01/2018","1.0270","1.1710","1.3100","0.9510","-12.07%"
"09/01/2018","1.1680","1.0490","1.2130","1.0020","12.42%"
"08/01/2018","1.0390","1.0760","1.1360","0.9530","-1.80%"
"07/01/2018","1.0580","1.0060","1.0860","0.9500","2.82%"
"06/01/2018","1.0290","0.9820","1.1370","0.9630","8.54%"
"05/01/2018","0.9480","1.1220","1.2390","0.8570","-15.13%"
"04/01/2018","1.1170","1.0990","1.2590","1.0950","0.63%"
"03/01/2018","1.1100","1.1560","1.2880","1.0880","-3.98%"
"02/01/2018","1.1560","1.0320","1.2240","0.9610","13.33%"
"01/01/2018","1.0200","0.7340","1.0220","0.7340","40.11%"
"12/01/2017","0.7280","0.8010","0.8200","0.6790","-10.46%"
"11/01/2017","0.8130","0.7880","0.8520","0.6710","4.23%"
"10/01/2017","0.7800","0.8100","0.8850","0.7200","-1.27%"
"09/01/2017","0.7900","0.4430","0.8400","0.3770","77.93%"
"08/01/2017","0.4440","0.6020","0.6300","0.4070","-25.00%"
"07/01/2017","0.5920","0.7170","0.7350","0.5410","-15.06%"
"06/01/2017","0.6970","0.4860","0.7280","0.3540","43.42%"
"05/01/2017","0.4860","0.5050","0.6220","0.4400","-4.14%"
"04/01/2017","0.5070","0.5580","0.5670","0.4620","-9.95%"
"03/01/2017","0.5630","0.5680","0.6610","0.5340","1.81%"
"02/01/2017","0.5530","0.6480","0.6600","0.3080","-9.05%"
"01/01/2017","0.6080","0.4820","0.6730","0.4760","27.46%"
"12/01/2016","0.4770","0.6140","0.6680","0.4600","-22.19%"
"11/01/2016","0.6130","0.6140","0.7370","0.4660","3.20%"
"10/01/2016","0.5940","0.2250","0.6500","0.1840","162.83%"
"09/01/2016","0.2260","0.2230","0.3610","0.1590","5.12%"
"08/01/2016","0.2150","0.2830","0.4030","0.1220","-22.38%"
"07/01/2016","0.2770","0.3160","0.4300","0.2680","-22.41%"
"06/01/2016","0.3570","0.8970","0.9180","0.3520","-60.29%"
"05/01/2016","0.8990","0.9790","0.9850","0.7790","-7.51%"
"04/01/2016","0.9720","0.8470","1.0380","0.7270","15.30%"
"03/01/2016","0.8430","0.7480","1.0340","0.7210","13.77%"
"02/01/2016","0.7410","0.8930","0.9710","0.6180","-17.02%"
"01/01/2016","0.8930","1.3010","1.3150","0.8900","-33.66%"
"12/01/2015","1.3460","1.2390","1.3800","1.1340","10.42%"
"11/01/2015","1.2190","1.2840","1.4340","1.1890","-4.84%"
"10/01/2015","1.2810","1.2090","1.2970","1.0840","7.29%"
"09/01/2015","1.1940","1.3850","1.4140","1.1620","-13.42%"
"08/01/2015","1.3790","1.4460","1.5460","1.2030","-3.97%"
"07/01/2015","1.4360","1.5370","1.6420","1.3230","-5.03%"
"06/01/2015","1.5120","1.3710","1.6730","1.3310","12.42%"
"05/01/2015","1.3450","1.3590","1.5590","1.3390","-3.17%"
"04/01/2015","1.3890","1.2090","1.4280","1.1240","16.72%"
"03/01/2015","1.1900","1.4050","1.5510","1.0920","-1.98%"
"02/01/2015","1.2140","0.8960","1.2330","0.8920","36.40%"
"01/01/2015","0.8900","1.1830","1.2170","0.8860","-23.93%"
"12/01/2014","1.1700","1.2510","1.4220","1.1180","-7.73%"
"11/01/2014","1.2680","1.5160","1.5940","1.2450","-17.72%"
"10/01/2014","1.5410","1.7810","1.7880","1.2250","-13.09%"
"09/01/2014","1.7730","1.7090","1.9300","1.6850","3.68%"
"08/01/2014","1.7100","2.0190","2.0300","1.6900","-14.76%"
"07/01/2014","2.0060","2.0390","2.1500","1.9430","-1.28%"
"06/01/2014","2.0320","1.8860","2.1400","1.8680","8.55%"
"05/01/2014","1.8720","1.9460","2.0580","1.8180","-3.70%"
"04/01/2014","1.9440","1.9900","2.0070","1.8200","-1.77%"
"03/01/2014","1.9790","1.5600","2.0090","1.5540","21.71%"
"02/01/2014","1.6260","1.6390","1.7350","1.5260","-0.37%"
"01/01/2014","1.6320","1.9100","1.9180","1.6030","-12.59%"
"12/01/2013","1.8670","1.5640","1.9180","1.5640","20.92%"
"11/01/2013","1.5440","1.4460","1.6270","1.4300","5.90%"
"10/01/2013","1.4580","1.5360","1.6600","1.3760","-4.77%"
"09/01/2013","1.5310","1.6070","1.8340","1.4930","-2.23%"
"08/01/2013","1.5660","1.2050","1.6970","1.1980","25.28%"
"07/01/2013","1.2500","1.4320","1.4760","1.1680","-12.65%"
"06/01/2013","1.4310","1.0670","1.6770","1.0550","54.54%"
"05/01/2013","0.9260","0.6750","0.9540","0.6190","37.59%"
"04/01/2013","0.6730","0.6860","0.7340","0.6090","-4.13%"
"03/01/2013","0.7020","0.7860","0.9390","0.6600","-11.03%"
"02/01/2013","0.7890","0.9860","1.0480","0.7550","-20.22%"
"01/01/2013","0.9890","0.9130","1.0770","0.8850","14.07%"
"12/01/2012","0.8670","0.8170","0.9610","0.7360","5.60%"
"11/01/2012","0.8210","0.8290","0.8970","0.6670","0.74%"
"10/01/2012","0.8150","0.7280","0.9010","0.6690","11.80%"
"09/01/2012","0.7290","0.7290","0.7290","0.7290","50.62%"
"08/01/2012","0.4840","0.4840","0.4840","0.4840","-3.39%"
"07/01/2012","0.5010","0.5010","0.5010","0.5010","-33.11%"
"06/01/2012","0.7490","0.7490","0.7490","0.7490","16.85%"
"05/01/2012","0.6410","0.6410","0.6410","0.6410","-40.70%"
"04/01/2012","1.0810","1.0810","1.0810","1.0810","4.75%"
"03/01/2012","1.0320","1.0320","1.0320","1.0320","4.98%"
"02/01/2012","0.9830","0.9830","0.9830","0.9830","-0.61%"
"01/01/2012","0.9890","0.9890","0.9890","0.9890","-6.96%"
"12/01/2011","1.0630","1.0630","1.0630","1.0630","-6.10%"
"11/01/2011","1.1320","1.1320","1.1320","1.1320","-11.56%"
"10/01/2011","1.2800","1.2800","1.2800","1.2800","-6.36%"
"09/01/2011","1.3670","1.3670","1.3670","1.3670","9.80%"
"08/01/2011","1.2450","1.2450","1.2450","1.2450","-10.88%"
"07/01/2011","1.3970","1.3970","1.3970","1.3970","-25.13%"
"06/01/2011","1.8660","1.8660","1.8660","1.8660","-5.18%"
"05/01/2011","1.9680","1.9680","1.9680","1.9680","-10.87%"
"04/01/2011","2.2080","2.2080","2.2080","2.2080","-9.58%"
"03/01/2011","2.4420","2.4420","2.4420","2.4420","-1.17%"
"02/01/2011","2.4710","2.4710","2.4710","2.4710","0.45%"
"01/01/2011","2.4600","2.4600","2.4600","2.4600","12.18%"
"12/01/2010","2.1930","2.1930","2.1930","2.1930","14.52%"
"11/01/2010","1.9150","1.9150","1.9150","1.9150","18.58%"
"10/01/2010","1.6150","1.6150","1.6150","1.6150","0.69%"
"09/01/2010","1.6040","1.6040","1.6040","1.6040","-0.93%"
"08/01/2010","1.6190","1.6190","1.6190","1.6190","-20.95%"
"07/01/2010","2.0480","2.0480","2.0480","2.0480","-1.16%"
"06/01/2010","2.0720","2.0720","2.0720","2.0720","-9.12%"
"05/01/2010","2.2800","2.2800","2.2800","2.2800","-13.86%"
"04/01/2010","2.6470","2.6470","2.6470","2.6470","-2.90%"
"03/01/2010","2.7260","2.7260","2.7260","2.7260","-0.37%"
"02/01/2010","2.7360","2.7360","2.7360","2.7360","-0.62%"
"01/01/2010","2.7530","2.7530","2.7530","2.7530","-1.15%"
"12/01/2009","2.7850","2.7850","2.7850","2.7850","7.03%"
"11/01/2009","2.6020","2.6020","2.6020","2.6020","-4.34%"
"10/01/2009","2.7200","2.7200","2.7200","2.7200","3.11%"
"09/01/2009","2.6380","2.6380","2.6380","2.6380","2.01%"
"08/01/2009","2.5860","2.5860","2.5860","2.5860","-11.92%"
"07/01/2009","2.9360","2.9360","2.9360","2.9360","1.91%"
"06/01/2009","2.8810","2.8810","2.8810","2.8810","13.25%"
"05/01/2009","2.5440","2.5440","2.5440","2.5440","8.03%"
"04/01/2009","2.3550","2.3550","2.3550","2.3550","0.60%"
"03/01/2009","2.3410","2.3410","2.3410","2.3410","-11.59%"
"02/01/2009","2.6480","2.6480","2.6480","2.6480","-7.02%"
"01/01/2009","2.8480","2.8480","2.8480","2.8480","15.40%"
"12/01/2008","2.4680","2.4680","2.4680","2.4680","-23.21%"
"11/01/2008","3.2140","3.2140","3.2140","3.2140","-14.36%"
"10/01/2008","3.7530","3.7530","3.7530","3.7530","-10.47%"
"09/01/2008","4.1920","4.1920","4.1920","4.1920","-6.66%"
"08/01/2008","4.4910","4.4910","4.4910","4.4910","-6.34%"
"07/01/2008","4.7950","4.7950","4.7950","4.7950","-8.60%"
"06/01/2008","5.2460","5.2460","5.2460","5.2460","4.61%"
"05/01/2008","5.0150","5.0150","5.0150","5.0150","11.25%"
"04/01/2008","4.5080","4.5080","4.5080","4.5080","12.53%"
"03/01/2008","4.0060","4.0060","4.0060","4.0060","-7.01%"
"02/01/2008","4.3080","4.3080","4.3080","4.3080","-2.84%"
"01/01/2008","4.4340","4.4340","4.4340","4.4340","-2.08%"
"12/01/2007","4.5280","4.5280","4.5280","4.5280","-1.22%"
"11/01/2007","4.5840","4.5840","4.5840","4.5840","-6.90%"
"10/01/2007","4.9240","4.9240","4.9240","4.9240","-2.65%"
"09/01/2007","5.0580","5.0580","5.0580","5.0580","-1.46%"
"08/01/2007","5.1330","5.1330","5.1330","5.1330","-3.26%"
"07/01/2007","5.3060","5.3060","5.3060","5.3060","-6.67%"
"06/01/2007","5.6850","5.6850","5.6850","5.6850","3.05%"
"05/01/2007","5.5170","5.5170","5.5170","5.5170","3.49%"
"04/01/2007","5.3310","5.3310","5.3310","5.3310","2.42%"
"03/01/2007","5.2050","5.2050","5.2050","5.2050","0.95%"
"02/01/2007","5.1560","5.1560","5.1560","5.1560","-3.30%"
"01/01/2007","5.3320","5.3320","5.3320","5.3320","5.08%"
"12/01/2006","5.0740","5.0740","5.0740","5.0740","4.60%"
"11/01/2006","4.8510","4.8510","4.8510","4.8510","-0.23%"
"10/01/2006","4.8620","4.8620","4.8620","4.8620","3.60%"
"09/01/2006","4.6930","4.6930","4.6930","4.6930","-0.78%"
"08/01/2006","4.7300","4.7300","4.7300","4.7300","1.11%"
"07/01/2006","4.6780","4.6780","4.6780","4.6780","-2.78%"
"06/01/2006","4.8120","4.8120","4.8120","4.8120","3.17%"
"05/01/2006","4.6640","4.6640","4.6640","4.6640","-0.36%"
"04/01/2006","4.6810","4.6810","4.6810","4.6810","4.93%"
"03/01/2006","4.4610","4.4610","4.4610","4.4610","3.58%"
"02/01/2006","4.3070","4.3070","4.3070","4.3070","0.77%"
"01/01/2006","4.2740","4.2740","4.2740","4.2740","2.37%"
"12/01/2005","4.1750","4.1750","4.1750","4.1750","-2.27%"
"11/01/2005","4.2720","4.2720","4.2720","4.2720","-1.88%"
"10/01/2005","4.3540","4.3540","4.3540","4.3540","3.72%"
"09/01/2005","4.1980","4.1980","4.1980","4.1980","1.97%"
"08/01/2005","4.1170","4.1170","4.1170","4.1170","-2.19%"
"07/01/2005","4.2090","4.2090","4.2090","4.2090","2.26%"
"06/01/2005","4.1160","4.1160","4.1160","4.1160","-4.66%"
"05/01/2005","4.3170","4.3170","4.3170","4.3170","-4.19%"
"04/01/2005","4.5060","4.5060","4.5060","4.5060","-4.33%"
"03/01/2005","4.7100","4.7100","4.7100","4.7100","-1.22%"
"02/01/2005","4.7680","4.7680","4.7680","4.7680","4.84%"
"01/01/2005","4.5480","4.5480","4.5480","4.5480","0.42%"
"12/01/2004","4.5290","4.5290","4.5290","4.5290","0.40%"
"11/01/2004","4.5110","4.5110","4.5110","4.5110","-3.45%"
"10/01/2004","4.6720","4.6720","4.6720","4.6720","-2.36%"
"09/01/2004","4.7850","4.7850","4.7850","4.7850","-3.10%"
"08/01/2004","4.9380","4.9380","4.9380","4.9380","-4.82%"
"07/01/2004","5.1880","5.1880","5.1880","5.1880","2.57%"
"06/01/2004","5.0580","5.0580","5.0580","5.0580","-1.73%"
"05/01/2004","5.1470","5.1470","5.1470","5.1470","5.69%"
"04/01/2004","4.8700","4.8700","4.8700","4.8700","4.62%"
"03/01/2004","4.6550","4.6550","4.6550","4.6550","0.74%"
"02/01/2004","4.6210","4.6210","4.6210","4.6210","-3.33%"
"01/01/2004","4.7803","4.7803","4.7803","4.7803","4.23%"
"12/01/2003","4.5864","4.5864","4.5864","4.5864","-6.27%"
"11/01/2003","4.8930","4.8930","4.8930","4.8930","-0.41%"
"10/01/2003","4.9130","4.9130","4.9130","4.9130","14.15%"
"09/01/2003","4.3038","4.3038","4.3038","4.3038","-2.91%"
"08/01/2003","4.4327","4.4327","4.4327","4.4327","6.43%"
"07/01/2003","4.1648","4.1648","4.1648","4.1648","9.80%"
"06/01/2003","3.7932","3.7932","3.7932","3.7932","1.33%"
"05/01/2003","3.7435","3.7435","3.7435","3.7435","-6.17%"
"04/01/2003","3.9898","3.9898","3.9898","3.9898","1.64%"
"03/01/2003","3.9256","3.9256","3.9256","3.9256","4.03%"
"02/01/2003","3.7736","3.7736","3.7736","3.7736","-6.58%"
"01/01/2003","4.0396","4.0396","4.0396","4.0396","-3.13%"
"12/01/2002","4.1700","4.1700","4.1700","4.1700","-8.03%"
"11/01/2002","4.5340","4.5340","4.5340","4.5340","4.54%"
"10/01/2002","4.3371","4.3371","4.3371","4.3371","3.43%"
"09/01/2002","4.1931","4.1931","4.1931","4.1931","-7.19%"
"08/01/2002","4.5178","4.5178","4.5178","4.5178","-4.81%"
"07/01/2002","4.7460","4.7460","4.7460","4.7460","-6.23%"
"06/01/2002","5.0615","5.0615","5.0615","5.0615","-3.83%"
"05/01/2002","5.2633","5.2633","5.2633","5.2633","0.74%"
"04/01/2002","5.2245","5.2245","5.2245","5.2245","-2.98%"
"03/01/2002","5.3850","5.3850","5.3850","5.3850","8.23%"
"02/01/2002","4.9755","4.9755","4.9755","4.9755","0.12%"
"01/01/2002","4.9696","4.9696","4.9696","4.9696","-2.84%"
"12/01/2001","5.1148","5.1148","5.1148","5.1148","9.00%"
"11/01/2001","4.6923","4.6923","4.6923","4.6923","3.63%"
"10/01/2001","4.5279","4.5279","4.5279","4.5279","-8.27%"
"09/01/2001","4.9361","4.9361","4.9361","4.9361","-2.38%"
"08/01/2001","5.0563","5.0563","5.0563","5.0563","-3.52%"
"07/01/2001","5.2410","5.2410","5.2410","5.2410","-5.03%"
"06/01/2001","5.5188","5.5188","5.5188","5.5188","3.27%"
"05/01/2001","5.3441","5.3441","5.3441","5.3441","2.12%"
"04/01/2001","5.2330","5.2330","5.2330","5.2330","6.77%"
"03/01/2001","4.9013","4.9013","4.9013","4.9013","-3.32%"
"02/01/2001","5.0694","5.0694","5.0694","5.0694","-0.24%"
"01/01/2001","5.0817","5.0817","5.0817","5.0817","-1.63%"
"12/01/2000","5.1660","5.1660","5.1660","5.1660","-1.88%"
"11/01/2000","5.2650","5.2650","5.2650","5.2650","-5.83%"
"10/01/2000","5.5910","5.5910","5.5910","5.5910","-0.36%"
"09/01/2000","5.6110","5.6110","5.6110","5.6110","-2.76%"
"08/01/2000","5.7700","5.7700","5.7700","5.7700","1.32%"
"07/01/2000","5.6950","5.6950","5.6950","5.6950","1.24%"
"06/01/2000","5.6250","5.6250","5.6250","5.6250","-2.39%"
"05/01/2000","5.7630","5.7630","5.7630","5.7630","0.17%"
"04/01/2000","5.7530","5.7530","5.7530","5.7530","-3.29%"
"03/01/2000","5.9490","5.9490","5.9490","5.9490","-1.88%"
"02/01/2000","6.0630","6.0630","6.0630","6.0630","-4.25%"
"01/01/2000","6.3320","6.3320","6.3320","6.3320","3.99%"
"12/01/1999","6.0888","6.0888","6.0888","6.0888","1.09%"
"11/01/1999","6.0230","6.0230","6.0230","6.0230","-0.17%"
"10/01/1999","6.0330","6.0330","6.0330","6.0330","-2.35%"
"09/01/1999","6.1780","6.1780","6.1780","6.1780","8.46%"
"08/01/1999","5.6960","5.6960","5.6960","5.6960","-0.51%"
"07/01/1999","5.7250","5.7250","5.7250","5.7250","6.77%"
"06/01/1999","5.3620","5.3620","5.3620","5.3620","7.03%"
"05/01/1999","5.0097","5.0097","5.0097","5.0097","4.78%"
"04/01/1999","4.7810","4.7810","4.7810","4.7810","4.64%"
"03/01/1999","4.5690","4.5690","4.5690","4.5690","-1.10%"
"02/01/1999","4.6200","4.6200","4.6200","4.6200","10.45%"
"01/01/1999","4.1830","4.1830","4.1830","4.1830","-3.55%"
"12/01/1998","4.3370","4.3370","4.3370","4.3370","-7.84%"
"11/01/1998","4.7060","4.7060","4.7060","4.7060","-4.45%"
"10/01/1998","4.9250","4.9250","4.9250","4.9250","-2.09%"
"09/01/1998","5.0300","5.0300","5.0300","5.0300","-9.24%"
"08/01/1998","5.5420","5.5420","5.5420","5.5420","-9.06%"
"07/01/1998","6.0940","6.0940","6.0940","6.0940","-1.47%"
"06/01/1998","6.1850","6.1850","6.1850","6.1850","6.66%"
"05/01/1998","5.7990","5.7990","5.7990","5.7990","-5.25%"
"04/01/1998","6.1200","6.1200","6.1200","6.1200","-1.42%"
"03/01/1998","6.2080","6.2080","6.2080","6.2080","-2.56%"
"02/01/1998","6.3710","6.3710","6.3710","6.3710","2.02%"
"01/01/1998","6.2450","6.2450","6.2450","6.2450","-4.53%"
"12/01/1997","6.5410","6.5410","6.5410","6.5410","-3.48%"
"11/01/1997","6.7770","6.7770","6.7770","6.7770","2.42%"
"10/01/1997","6.6170","6.6170","6.6170","6.6170","2.29%"
"09/01/1997","6.4690","6.4690","6.4690","6.4690","-8.01%"
"08/01/1997","7.0320","7.0320","7.0320","7.0320","0.46%"
