Country,Quarter,Interest Rate (%)
AT,2000Q1,2.5
AT,2000Q2,3.25
AT,2000Q3,3.5
AT,2000Q4,3.75
AT,2001Q1,3.75
AT,2001Q2,3.5
AT,2001Q3,3.0
AT,2001Q4,2.25
AT,2002Q1,2.25
AT,2002Q2,2.25
AT,2002Q3,2.25
AT,2002Q4,1.75
AT,2003Q1,1.5
AT,2003Q2,1.0
AT,2003Q3,1.0
AT,2003Q4,1.0
AT,2004Q1,1.0
AT,2004Q2,1.0
AT,2004Q3,1.0
AT,2004Q4,1.0
AT,2005Q1,1.0
AT,2005Q2,1.0
AT,2005Q3,1.0
AT,2005Q4,1.25
AT,2006Q1,1.5
AT,2006Q2,1.75
AT,2006Q3,2.0
AT,2006Q4,2.5
AT,2007Q1,2.75
AT,2007Q2,3.0
AT,2007Q3,3.0
AT,2007Q4,3.0
AT,2008Q1,3.0
AT,2008Q2,3.0
AT,2008Q3,3.0
AT,2008Q4,3.0
AT,2009Q1,1.0
AT,2009Q2,0.25
AT,2009Q3,0.25
AT,2009Q4,0.25
AT,2010Q1,0.25
AT,2010Q2,0.25
AT,2010Q3,0.25
AT,2010Q4,0.25
AT,2011Q1,0.25
AT,2011Q2,0.5
AT,2011Q3,0.75
AT,2011Q4,0.25
AT,2012Q1,0.25
AT,2012Q2,0.25
AT,2012Q3,0.0
AT,2012Q4,0.0
AT,2013Q1,0.0
AT,2013Q2,0.0
AT,2013Q3,0.0
AT,2013Q4,0.0
AT,2014Q1,0.0
AT,2014Q2,-0.1
AT,2014Q3,-0.2
AT,2014Q4,-0.2
AT,2015Q1,-0.2
AT,2015Q2,-0.2
AT,2015Q3,-0.2
AT,2015Q4,-0.3
AT,2016Q1,-0.4
AT,2016Q2,-0.4
AT,2016Q3,-0.4
AT,2016Q4,-0.4
AT,2017Q1,-0.4
AT,2017Q2,-0.4
AT,2017Q3,-0.4
AT,2017Q4,-0.4
AT,2018Q1,-0.4
AT,2018Q2,-0.4
AT,2018Q3,-0.4
AT,2018Q4,-0.4
AT,2019Q1,-0.4
AT,2019Q2,-0.4
AT,2019Q3,-0.5
AT,2019Q4,-0.5
AT,2020Q1,-0.5
AT,2020Q2,-0.5
AT,2020Q3,-0.5
AT,2020Q4,-0.5
AT,2021Q1,-0.5
AT,2021Q2,-0.5
AT,2021Q3,-0.5
AT,2021Q4,-0.5
AT,2022Q1,-0.5
AT,2022Q2,-0.5
AT,2022Q3,0.75
AT,2022Q4,2.0
AT,2023Q1,3.0
AT,2023Q2,3.5
AT,2023Q3,4.0
AT,2023Q4,4.0
AT,2024Q1,4.0
AT,2024Q2,3.75
AT,2024Q3,3.5
AT,2024Q4,3.25
AU,2000Q1,5.5
AU,2000Q2,6.0
AU,2000Q3,6.25
AU,2000Q4,6.25
AU,2001Q1,5.5
AU,2001Q2,5.0
AU,2001Q3,4.75
AU,2001Q4,4.25
AU,2002Q1,4.25
AU,2002Q2,4.75
AU,2002Q3,4.75
AU,2002Q4,4.75
AU,2003Q1,4.75
AU,2003Q2,4.75
AU,2003Q3,4.75
AU,2003Q4,5.25
AU,2004Q1,5.25
AU,2004Q2,5.25
AU,2004Q3,5.25
AU,2004Q4,5.25
AU,2005Q1,5.5
AU,2005Q2,5.5
AU,2005Q3,5.5
AU,2005Q4,5.5
AU,2006Q1,5.5
AU,2006Q2,5.75
AU,2006Q3,6.0
AU,2006Q4,6.25
AU,2007Q1,6.25
AU,2007Q2,6.25
AU,2007Q3,6.5
AU,2007Q4,6.75
AU,2008Q1,7.2498
AU,2008Q2,7.25
AU,2008Q3,7.0
AU,2008Q4,4.25
AU,2009Q1,3.25
AU,2009Q2,3.0
AU,2009Q3,3.0
AU,2009Q4,3.75
AU,2010Q1,4.0
AU,2010Q2,4.5
AU,2010Q3,4.5
AU,2010Q4,4.75
AU,2011Q1,4.75
AU,2011Q2,4.75
AU,2011Q3,4.75
AU,2011Q4,4.25
AU,2012Q1,4.25
AU,2012Q2,3.5
AU,2012Q3,3.5
AU,2012Q4,3.0
AU,2013Q1,3.0
AU,2013Q2,2.75
AU,2013Q3,2.5
AU,2013Q4,2.5
AU,2014Q1,2.5
AU,2014Q2,2.5
AU,2014Q3,2.5
AU,2014Q4,2.5
AU,2015Q1,2.25
AU,2015Q2,2.0
AU,2015Q3,2.0
AU,2015Q4,2.0
AU,2016Q1,2.0
AU,2016Q2,1.75
AU,2016Q3,1.5
AU,2016Q4,1.5
AU,2017Q1,1.5
AU,2017Q2,1.5
AU,2017Q3,1.5
AU,2017Q4,1.5
AU,2018Q1,1.5
AU,2018Q2,1.5
AU,2018Q3,1.5
AU,2018Q4,1.5
AU,2019Q1,1.5
AU,2019Q2,1.25
AU,2019Q3,1.0
AU,2019Q4,0.75
AU,2020Q1,0.25
AU,2020Q2,0.25
AU,2020Q3,0.25
AU,2020Q4,0.1
AU,2021Q1,0.1
AU,2021Q2,0.1
AU,2021Q3,0.1
AU,2021Q4,0.1
AU,2022Q1,0.1
AU,2022Q2,0.85
AU,2022Q3,2.35
AU,2022Q4,3.1
AU,2023Q1,3.6
AU,2023Q2,4.1
AU,2023Q3,4.1
AU,2023Q4,4.35
AU,2024Q1,4.35
AU,2024Q2,4.35
AU,2024Q3,4.35
BE,2000Q1,2.5
BE,2000Q2,3.25
BE,2000Q3,3.5
BE,2000Q4,3.75
BE,2001Q1,3.75
BE,2001Q2,3.5
BE,2001Q3,3.0
BE,2001Q4,2.25
BE,2002Q1,2.25
BE,2002Q2,2.25
BE,2002Q3,2.25
BE,2002Q4,1.75
BE,2003Q1,1.5
BE,2003Q2,1.0
BE,2003Q3,1.0
BE,2003Q4,1.0
BE,2004Q1,1.0
BE,2004Q2,1.0
BE,2004Q3,1.0
BE,2004Q4,1.0
BE,2005Q1,1.0
BE,2005Q2,1.0
BE,2005Q3,1.0
BE,2005Q4,1.25
BE,2006Q1,1.5
BE,2006Q2,1.75
BE,2006Q3,2.0
BE,2006Q4,2.5
BE,2007Q1,2.75
BE,2007Q2,3.0
BE,2007Q3,3.0
BE,2007Q4,3.0
BE,2008Q1,3.0
BE,2008Q2,3.0
BE,2008Q3,3.0
BE,2008Q4,3.0
BE,2009Q1,1.0
BE,2009Q2,0.25
BE,2009Q3,0.25
BE,2009Q4,0.25
BE,2010Q1,0.25
BE,2010Q2,0.25
BE,2010Q3,0.25
BE,2010Q4,0.25
BE,2011Q1,0.25
BE,2011Q2,0.5
BE,2011Q3,0.75
BE,2011Q4,0.25
BE,2012Q1,0.25
BE,2012Q2,0.25
BE,2012Q3,0.0
BE,2012Q4,0.0
BE,2013Q1,0.0
BE,2013Q2,0.0
BE,2013Q3,0.0
BE,2013Q4,0.0
BE,2014Q1,0.0
BE,2014Q2,-0.1
BE,2014Q3,-0.2
BE,2014Q4,-0.2
BE,2015Q1,-0.2
BE,2015Q2,-0.2
BE,2015Q3,-0.2
BE,2015Q4,-0.3
BE,2016Q1,-0.4
BE,2016Q2,-0.4
BE,2016Q3,-0.4
BE,2016Q4,-0.4
BE,2017Q1,-0.4
BE,2017Q2,-0.4
BE,2017Q3,-0.4
BE,2017Q4,-0.4
BE,2018Q1,-0.4
BE,2018Q2,-0.4
BE,2018Q3,-0.4
BE,2018Q4,-0.4
BE,2019Q1,-0.4
BE,2019Q2,-0.4
BE,2019Q3,-0.5
BE,2019Q4,-0.5
BE,2020Q1,-0.5
BE,2020Q2,-0.5
BE,2020Q3,-0.5
BE,2020Q4,-0.5
BE,2021Q1,-0.5
BE,2021Q2,-0.5
BE,2021Q3,-0.5
BE,2021Q4,-0.5
BE,2022Q1,-0.5
BE,2022Q2,-0.5
BE,2022Q3,0.75
BE,2022Q4,2.0
BE,2023Q1,3.0
BE,2023Q2,3.5
BE,2023Q3,4.0
BE,2023Q4,4.0
BE,2024Q1,4.0
BE,2024Q2,3.75
BE,2024Q3,3.5
BE,2024Q4,3.25
BR,2000Q1,18.5
BR,2000Q2,17.5
BR,2000Q3,16.5
BR,2000Q4,15.75
BR,2001Q1,15.75
BR,2001Q2,18.25
BR,2001Q3,19.0
BR,2001Q4,19.0
BR,2002Q1,18.5
BR,2002Q2,18.5
BR,2002Q3,18.0
BR,2002Q4,25.0
BR,2003Q1,26.5
BR,2003Q2,26.0
BR,2003Q3,20.0
BR,2003Q4,16.5
BR,2004Q1,16.25
BR,2004Q2,16.0
BR,2004Q3,16.25
BR,2004Q4,17.75
BR,2005Q1,19.25
BR,2005Q2,19.75
BR,2005Q3,19.5
BR,2005Q4,18.0
BR,2006Q1,16.5
BR,2006Q2,15.25
BR,2006Q3,14.25
BR,2006Q4,13.25
BR,2007Q1,12.75
BR,2007Q2,12.0
BR,2007Q3,11.25
BR,2007Q4,11.25
BR,2008Q1,11.25
BR,2008Q2,12.25
BR,2008Q3,13.75
BR,2008Q4,13.75
BR,2009Q1,11.25
BR,2009Q2,9.25
BR,2009Q3,8.75
BR,2009Q4,8.75
BR,2010Q1,8.75
BR,2010Q2,10.25
BR,2010Q3,10.75
BR,2010Q4,10.75
BR,2011Q1,11.75
BR,2011Q2,12.25
BR,2011Q3,12.0
BR,2011Q4,11.0
BR,2012Q1,9.75
BR,2012Q2,8.5
BR,2012Q3,7.5
BR,2012Q4,7.25
BR,2013Q1,7.25
BR,2013Q2,8.0
BR,2013Q3,9.0
BR,2013Q4,10.0
BR,2014Q1,10.75
BR,2014Q2,11.0
BR,2014Q3,11.0
BR,2014Q4,11.75
BR,2015Q1,12.75
BR,2015Q2,13.75
BR,2015Q3,14.25
BR,2015Q4,14.25
BR,2016Q1,14.25
BR,2016Q2,14.25
BR,2016Q3,14.25
BR,2016Q4,13.75
BR,2017Q1,12.25
BR,2017Q2,10.25
BR,2017Q3,8.25
BR,2017Q4,7.0
BR,2018Q1,6.5
BR,2018Q2,6.5
BR,2018Q3,6.5
BR,2018Q4,6.5
BR,2019Q1,6.5
BR,2019Q2,6.5
BR,2019Q3,5.5
BR,2019Q4,4.5
BR,2020Q1,3.75
BR,2020Q2,2.25
BR,2020Q3,2.0
BR,2020Q4,2.0
BR,2021Q1,2.75
BR,2021Q2,4.25
BR,2021Q3,6.25
BR,2021Q4,9.25
BR,2022Q1,11.75
BR,2022Q2,13.25
BR,2022Q3,13.75
BR,2022Q4,13.75
BR,2023Q1,13.75
BR,2023Q2,13.75
BR,2023Q3,12.75
BR,2023Q4,11.75
BR,2024Q1,10.75
BR,2024Q2,10.5
BR,2024Q3,10.75
CA,2000Q1,5.25
CA,2000Q2,5.75
CA,2000Q3,5.75
CA,2000Q4,5.75
CA,2001Q1,5.0
CA,2001Q2,4.5
CA,2001Q3,3.5
CA,2001Q4,2.25
CA,2002Q1,2.0
CA,2002Q2,2.5
CA,2002Q3,2.75
CA,2002Q4,2.75
CA,2003Q1,3.0
CA,2003Q2,3.25
CA,2003Q3,2.75
CA,2003Q4,2.75
CA,2004Q1,2.25
CA,2004Q2,2.0
CA,2004Q3,2.25
CA,2004Q4,2.5
CA,2005Q1,2.5
CA,2005Q2,2.5
CA,2005Q3,2.75
CA,2005Q4,3.25
CA,2006Q1,3.75
CA,2006Q2,4.25
CA,2006Q3,4.25
CA,2006Q4,4.25
CA,2007Q1,4.25
CA,2007Q2,4.25
CA,2007Q3,4.5
CA,2007Q4,4.25
CA,2008Q1,3.5
CA,2008Q2,3.0
CA,2008Q3,3.0
CA,2008Q4,1.5
CA,2009Q1,0.5
CA,2009Q2,0.25
CA,2009Q3,0.25
CA,2009Q4,0.25
CA,2010Q1,0.25
CA,2010Q2,0.5
CA,2010Q3,1.0
CA,2010Q4,1.0
CA,2011Q1,1.0
CA,2011Q2,1.0
CA,2011Q3,1.0
CA,2011Q4,1.0
CA,2012Q1,1.0
CA,2012Q2,1.0
CA,2012Q3,1.0
CA,2012Q4,1.0
CA,2013Q1,1.0
CA,2013Q2,1.0
CA,2013Q3,1.0
CA,2013Q4,1.0
CA,2014Q1,1.0
CA,2014Q2,1.0
CA,2014Q3,1.0
CA,2014Q4,1.0
CA,2015Q1,0.75
CA,2015Q2,0.75
CA,2015Q3,0.5
CA,2015Q4,0.5
CA,2016Q1,0.5
CA,2016Q2,0.5
CA,2016Q3,0.5
CA,2016Q4,0.5
CA,2017Q1,0.5
CA,2017Q2,0.5
CA,2017Q3,1.0
CA,2017Q4,1.0
CA,2018Q1,1.25
CA,2018Q2,1.25
CA,2018Q3,1.5
CA,2018Q4,1.75
CA,2019Q1,1.75
CA,2019Q2,1.75
CA,2019Q3,1.75
CA,2019Q4,1.75
CA,2020Q1,0.25
CA,2020Q2,0.25
CA,2020Q3,0.25
CA,2020Q4,0.25
CA,2021Q1,0.25
CA,2021Q2,0.25
CA,2021Q3,0.25
CA,2021Q4,0.25
CA,2022Q1,0.5
CA,2022Q2,1.5
CA,2022Q3,3.25
CA,2022Q4,4.25
CA,2023Q1,4.5
CA,2023Q2,4.75
CA,2023Q3,5.0
CA,2023Q4,5.0
CA,2024Q1,5.0
CA,2024Q2,4.75
CA,2024Q3,4.25
CH,2000Q1,3.5
CH,2000Q2,4.0
CH,2000Q3,4.0
CH,2000Q4,4.0
CH,2001Q1,3.75
CH,2001Q2,3.75
CH,2001Q3,2.75
CH,2001Q4,2.25
CH,2002Q1,2.25
CH,2002Q2,1.75
CH,2002Q3,1.25
CH,2002Q4,1.25
CH,2003Q1,0.75
CH,2003Q2,0.75
CH,2003Q3,0.75
CH,2003Q4,0.75
CH,2004Q1,0.75
CH,2004Q2,1.0
CH,2004Q3,1.25
CH,2004Q4,1.25
CH,2005Q1,1.25
CH,2005Q2,1.25
CH,2005Q3,1.25
CH,2005Q4,1.5
CH,2006Q1,1.75
CH,2006Q2,2.0
CH,2006Q3,2.25
CH,2006Q4,2.5
CH,2007Q1,2.75
CH,2007Q2,3.0
CH,2007Q3,3.25
CH,2007Q4,3.25
CH,2008Q1,3.25
CH,2008Q2,3.25
CH,2008Q3,3.25
CH,2008Q4,1.0
CH,2009Q1,0.75
CH,2009Q2,0.75
CH,2009Q3,0.75
CH,2009Q4,0.75
CH,2010Q1,0.75
CH,2010Q2,0.75
CH,2010Q3,0.75
CH,2010Q4,0.75
CH,2011Q1,0.75
CH,2011Q2,0.75
CH,2011Q3,0.25
CH,2011Q4,0.25
CH,2012Q1,0.25
CH,2012Q2,0.25
CH,2012Q3,0.25
CH,2012Q4,0.25
CH,2013Q1,0.25
CH,2013Q2,0.25
CH,2013Q3,0.25
CH,2013Q4,0.25
CH,2014Q1,0.25
CH,2014Q2,0.25
CH,2014Q3,0.25
CH,2014Q4,0.25
CH,2015Q1,-0.25
CH,2015Q2,-0.25
CH,2015Q3,-0.25
CH,2015Q4,-0.25
CH,2016Q1,-0.25
CH,2016Q2,-0.25
CH,2016Q3,-0.25
CH,2016Q4,-0.25
CH,2017Q1,-0.25
CH,2017Q2,-0.25
CH,2017Q3,-0.25
CH,2017Q4,-0.25
CH,2018Q1,-0.25
CH,2018Q2,-0.25
CH,2018Q3,-0.25
CH,2018Q4,-0.25
CH,2019Q1,-0.25
CH,2019Q2,-0.75
CH,2019Q3,-0.75
CH,2019Q4,-0.75
CH,2020Q1,-0.75
CH,2020Q2,-0.75
CH,2020Q3,-0.75
CH,2020Q4,-0.75
CH,2021Q1,-0.75
CH,2021Q2,-0.75
CH,2021Q3,-0.75
CH,2021Q4,-0.75
CH,2022Q1,-0.75
CH,2022Q2,-0.25
CH,2022Q3,0.5
CH,2022Q4,1.0
CH,2023Q1,1.5
CH,2023Q2,1.75
CH,2023Q3,1.75
CH,2023Q4,1.75
CH,2024Q1,1.5
CH,2024Q2,1.25
CH,2024Q3,1.0
CL,2000Q1,5.37
CL,2000Q2,5.5
CL,2000Q3,5.0
CL,2000Q4,5.0
CL,2001Q1,4.05
CL,2001Q2,3.5
CL,2001Q3,6.5
CL,2001Q4,6.5
CL,2002Q1,4.75
CL,2002Q2,4.0
CL,2002Q3,3.0
CL,2002Q4,3.0
CL,2003Q1,2.75
CL,2003Q2,2.75
CL,2003Q3,2.75
CL,2003Q4,2.25
CL,2004Q1,1.75
CL,2004Q2,1.75
CL,2004Q3,2.0
CL,2004Q4,2.25
CL,2005Q1,2.75
CL,2005Q2,3.25
CL,2005Q3,4.0
CL,2005Q4,4.5
CL,2006Q1,4.75
CL,2006Q2,5.0
CL,2006Q3,5.25
CL,2006Q4,5.25
CL,2007Q1,5.0
CL,2007Q2,5.0
CL,2007Q3,5.75
CL,2007Q4,6.0
CL,2008Q1,6.25
CL,2008Q2,6.75
CL,2008Q3,8.25
CL,2008Q4,8.25
CL,2009Q1,2.25
CL,2009Q2,0.75
CL,2009Q3,0.5
CL,2009Q4,0.5
CL,2010Q1,0.5
CL,2010Q2,1.0
CL,2010Q3,2.5
CL,2010Q4,3.25
CL,2011Q1,4.0
CL,2011Q2,5.25
CL,2011Q3,5.25
CL,2011Q4,5.25
CL,2012Q1,5.0
CL,2012Q2,5.0
CL,2012Q3,5.0
CL,2012Q4,5.0
CL,2013Q1,5.0
CL,2013Q2,5.0
CL,2013Q3,5.0
CL,2013Q4,4.5
CL,2014Q1,4.0
CL,2014Q2,4.0
CL,2014Q3,3.25
CL,2014Q4,3.0
CL,2015Q1,3.0
CL,2015Q2,3.0
CL,2015Q3,3.0
CL,2015Q4,3.5
CL,2016Q1,3.5
CL,2016Q2,3.5
CL,2016Q3,3.5
CL,2016Q4,3.5
CL,2017Q1,3.0
CL,2017Q2,2.5
CL,2017Q3,2.5
CL,2017Q4,2.5
CL,2018Q1,2.5
CL,2018Q2,2.5
CL,2018Q3,2.5
CL,2018Q4,2.75
CL,2019Q1,3.0
CL,2019Q2,2.5
CL,2019Q3,2.0
CL,2019Q4,1.75
CL,2020Q1,1.0
CL,2020Q2,0.5
CL,2020Q3,0.5
CL,2020Q4,0.5
CL,2021Q1,0.5
CL,2021Q2,0.5
CL,2021Q3,1.5
CL,2021Q4,4.0
CL,2022Q1,7.0
CL,2022Q2,9.0
CL,2022Q3,10.75
CL,2022Q4,11.25
CL,2023Q1,11.25
CL,2023Q2,11.25
CL,2023Q3,9.5
CL,2023Q4,8.25
CL,2024Q1,7.25
CL,2024Q2,5.75
CL,2024Q3,5.5
DE,2000Q1,2.5
DE,2000Q2,3.25
DE,2000Q3,3.5
DE,2000Q4,3.75
DE,2001Q1,3.75
DE,2001Q2,3.5
DE,2001Q3,3.0
DE,2001Q4,2.25
DE,2002Q1,2.25
DE,2002Q2,2.25
DE,2002Q3,2.25
DE,2002Q4,1.75
DE,2003Q1,1.5
DE,2003Q2,1.0
DE,2003Q3,1.0
DE,2003Q4,1.0
DE,2004Q1,1.0
DE,2004Q2,1.0
DE,2004Q3,1.0
DE,2004Q4,1.0
DE,2005Q1,1.0
DE,2005Q2,1.0
DE,2005Q3,1.0
DE,2005Q4,1.25
DE,2006Q1,1.5
DE,2006Q2,1.75
DE,2006Q3,2.0
DE,2006Q4,2.5
DE,2007Q1,2.75
DE,2007Q2,3.0
DE,2007Q3,3.0
DE,2007Q4,3.0
DE,2008Q1,3.0
DE,2008Q2,3.0
DE,2008Q3,3.0
DE,2008Q4,3.0
DE,2009Q1,1.0
DE,2009Q2,0.25
DE,2009Q3,0.25
DE,2009Q4,0.25
DE,2010Q1,0.25
DE,2010Q2,0.25
DE,2010Q3,0.25
DE,2010Q4,0.25
DE,2011Q1,0.25
DE,2011Q2,0.5
DE,2011Q3,0.75
DE,2011Q4,0.25
DE,2012Q1,0.25
DE,2012Q2,0.25
DE,2012Q3,0.0
DE,2012Q4,0.0
DE,2013Q1,0.0
DE,2013Q2,0.0
DE,2013Q3,0.0
DE,2013Q4,0.0
DE,2014Q1,0.0
DE,2014Q2,-0.1
DE,2014Q3,-0.2
DE,2014Q4,-0.2
DE,2015Q1,-0.2
DE,2015Q2,-0.2
DE,2015Q3,-0.2
DE,2015Q4,-0.3
DE,2016Q1,-0.4
DE,2016Q2,-0.4
DE,2016Q3,-0.4
DE,2016Q4,-0.4
DE,2017Q1,-0.4
DE,2017Q2,-0.4
DE,2017Q3,-0.4
DE,2017Q4,-0.4
DE,2018Q1,-0.4
DE,2018Q2,-0.4
DE,2018Q3,-0.4
DE,2018Q4,-0.4
DE,2019Q1,-0.4
DE,2019Q2,-0.4
DE,2019Q3,-0.5
DE,2019Q4,-0.5
DE,2020Q1,-0.5
DE,2020Q2,-0.5
DE,2020Q3,-0.5
DE,2020Q4,-0.5
DE,2021Q1,-0.5
DE,2021Q2,-0.5
DE,2021Q3,-0.5
DE,2021Q4,-0.5
DE,2022Q1,-0.5
DE,2022Q2,-0.5
DE,2022Q3,0.75
DE,2022Q4,2.0
DE,2023Q1,3.0
DE,2023Q2,3.5
DE,2023Q3,4.0
DE,2023Q4,4.0
DE,2024Q1,4.0
DE,2024Q2,3.75
DE,2024Q3,3.5
DE,2024Q4,3.25
DK,2000Q1,3.5
DK,2000Q2,4.25
DK,2000Q3,4.5
DK,2000Q4,4.75
DK,2001Q1,4.75
DK,2001Q2,4.5
DK,2001Q3,3.75
DK,2001Q4,3.25
DK,2002Q1,3.25
DK,2002Q2,3.25
DK,2002Q3,3.25
DK,2002Q4,2.86
DK,2003Q1,2.55
DK,2003Q2,2.08
DK,2003Q3,2.0
DK,2003Q4,2.0
DK,2004Q1,2.0
DK,2004Q2,2.0
DK,2004Q3,2.0
DK,2004Q4,2.0
DK,2005Q1,2.0
DK,2005Q2,2.0
DK,2005Q3,2.0
DK,2005Q4,2.25
DK,2006Q1,2.5
DK,2006Q2,2.75
DK,2006Q3,3.0
DK,2006Q4,3.5
DK,2007Q1,3.75
DK,2007Q2,4.0
DK,2007Q3,4.0
DK,2007Q4,4.0
DK,2008Q1,4.0
DK,2008Q2,4.0
DK,2008Q3,4.25
DK,2008Q4,3.5
DK,2009Q1,2.0
DK,2009Q2,1.2
