"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","0.8889","0.8806","0.8890","0.8802","","0.91%"
"11/01/2024","0.8809","0.8667","0.8949","0.8624","","2.00%"
"10/01/2024","0.8636","0.8461","0.8688","0.8448","","2.14%"
"09/01/2024","0.8455","0.8494","0.8549","0.8374","","-0.51%"
"08/01/2024","0.8498","0.8780","0.8786","0.8398","","-3.20%"
"07/01/2024","0.8779","0.8983","0.9051","0.8770","","-2.31%"
"06/01/2024","0.8987","0.9032","0.9036","0.8826","","-0.35%"
"05/01/2024","0.9019","0.9194","0.9226","0.8988","","-1.89%"
"04/01/2024","0.9193","0.9024","0.9197","0.8997","","1.96%"
"03/01/2024","0.9016","0.8845","0.9073","0.8729","","1.94%"
"02/01/2024","0.8844","0.8615","0.8887","0.8553","","2.71%"
"01/01/2024","0.8611","0.8417","0.8730","0.8400","","2.33%"
"12/01/2023","0.8415","0.8752","0.8822","0.8332","","-3.84%"
"11/01/2023","0.8751","0.9105","0.9114","0.8684","","-3.88%"
"10/01/2023","0.9104","0.9147","0.9245","0.8888","","-0.49%"
"09/01/2023","0.9149","0.8834","0.9226","0.8795","","3.60%"
"08/01/2023","0.8831","0.8719","0.8878","0.8690","","1.30%"
"07/01/2023","0.8718","0.8947","0.9006","0.8552","","-2.62%"
"06/01/2023","0.8953","0.9110","0.9121","0.8901","","-1.67%"
"05/01/2023","0.9105","0.8938","0.9150","0.8820","","1.83%"
"04/01/2023","0.8941","0.9148","0.9198","0.8852","","-2.26%"
"03/01/2023","0.9148","0.9422","0.9442","0.9071","","-2.90%"
"02/01/2023","0.9421","0.9165","0.9433","0.9060","","2.84%"
"01/01/2023","0.9161","0.9245","0.9409","0.9085","","-0.90%"
"12/01/2022","0.9244","0.9459","0.9463","0.9200","","-2.25%"
"11/01/2022","0.9457","1.0014","1.0149","0.9357","","-5.53%"
"10/01/2022","1.0011","0.9874","1.0150","0.9780","","1.45%"
"09/01/2022","0.9868","0.9776","0.9967","0.9478","","0.96%"
"08/01/2022","0.9774","0.9520","0.9809","0.9370","","2.73%"
"07/01/2022","0.9514","0.9553","0.9888","0.9501","","-0.37%"
"06/01/2022","0.9549","0.9595","1.0053","0.9495","","-0.45%"
"05/01/2022","0.9592","0.9708","1.0066","0.9545","","-1.46%"
"04/01/2022","0.9734","0.9229","0.9760","0.9219","","5.51%"
"03/01/2022","0.9226","0.9167","0.9462","0.9150","","0.65%"
"02/01/2022","0.9166","0.9272","0.9298","0.9150","","-1.11%"
"01/01/2022","0.9269","0.9115","0.9344","0.9092","","1.61%"
"12/01/2021","0.9122","0.9189","0.9296","0.9102","","-0.70%"
"11/01/2021","0.9186","0.9164","0.9375","0.9086","","0.33%"
"10/01/2021","0.9156","0.9319","0.9338","0.9102","","-1.71%"
"09/01/2021","0.9315","0.9150","0.9370","0.9115","","1.80%"
"08/01/2021","0.9150","0.9063","0.9244","0.9018","","1.06%"
"07/01/2021","0.9054","0.9249","0.9276","0.9039","","-2.11%"
"06/01/2021","0.9249","0.8990","0.9263","0.8925","","2.86%"
"05/01/2021","0.8992","0.9129","0.9165","0.8930","","-1.54%"
"04/01/2021","0.9133","0.9435","0.9474","0.9079","","-3.19%"
"03/01/2021","0.9434","0.9097","0.9459","0.9071","","3.88%"
"02/01/2021","0.9082","0.8903","0.9104","0.8870","","2.01%"
"01/01/2021","0.8903","0.8820","0.8927","0.8756","","0.59%"
"12/01/2020","0.8851","0.9089","0.9096","0.8792","","-2.63%"
"11/01/2020","0.9090","0.9157","0.9208","0.8981","","-0.84%"
"10/01/2020","0.9167","0.9209","0.9219","0.9029","","-0.43%"
"09/01/2020","0.9207","0.9036","0.9299","0.8998","","1.90%"
"08/01/2020","0.9035","0.9113","0.9241","0.8999","","-1.01%"
"07/01/2020","0.9127","0.9473","0.9495","0.9056","","-3.63%"
"06/01/2020","0.9471","0.9615","0.9651","0.9374","","-1.47%"
"05/01/2020","0.9612","0.9657","0.9785","0.9588","","-0.41%"
"04/01/2020","0.9652","0.9610","0.9804","0.9595","","0.46%"
"03/01/2020","0.9608","0.9663","0.9905","0.9192","","-0.47%"
"02/01/2020","0.9653","0.9645","0.9850","0.9609","","0.24%"
"01/01/2020","0.9630","0.9681","0.9768","0.9612","","-0.50%"
"12/01/2019","0.9678","1.0006","1.0009","0.9645","","-3.20%"
"11/01/2019","0.9998","0.9864","1.0024","0.9850","","1.37%"
"10/01/2019","0.9863","0.9980","1.0029","0.9840","","-1.15%"
"09/01/2019","0.9978","0.9897","0.9989","0.9797","","0.80%"
"08/01/2019","0.9899","0.9941","0.9976","0.9659","","-0.39%"
"07/01/2019","0.9938","0.9790","0.9952","0.9781","","1.82%"
"06/01/2019","0.9760","1.0014","1.0020","0.9693","","-2.48%"
"05/01/2019","1.0008","1.0193","1.0227","1.0000","","-1.79%"
"04/01/2019","1.0190","0.9944","1.0237","0.9934","","2.39%"
"03/01/2019","0.9952","0.9984","1.0125","0.9894","","-0.29%"
"02/01/2019","0.9981","0.9941","1.0101","0.9921","","0.41%"
"01/01/2019","0.9940","0.9816","0.9995","0.9714","","1.28%"
"12/01/2018","0.9814","0.9970","1.0009","0.9790","","-1.73%"
