"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","7.1159","7.0514","7.1305","7.0514","","0.92%"
"11/01/2024","7.0511","6.8692","7.1864","6.8209","","2.90%"
"10/01/2024","6.8526","6.7169","6.9246","6.7142","","2.37%"
"09/01/2024","6.6942","6.7497","6.7827","6.6496","","-0.83%"
"08/01/2024","6.7503","6.8920","6.9236","6.6600","","-2.06%"
"07/01/2024","6.8921","6.9527","6.9641","6.8134","","-0.97%"
"06/01/2024","6.9599","6.8763","6.9935","6.8324","","1.24%"
"05/01/2024","6.8746","6.9935","7.0034","6.8480","","-1.69%"
"04/01/2024","6.9928","6.9107","7.0384","6.8525","","1.20%"
"03/01/2024","6.9100","6.8984","6.9266","6.7885","","0.18%"
"02/01/2024","6.8973","6.8909","6.9707","6.8396","","0.11%"
"01/01/2024","6.8895","6.7539","6.9050","6.7484","","2.00%"
"12/01/2023","6.7542","6.8469","6.9525","6.6919","","-1.36%"
"11/01/2023","6.8473","7.0585","7.0974","6.7658","","-2.96%"
"10/01/2023","7.0563","7.0540","7.1387","6.9792","","0.06%"
"09/01/2023","7.0518","6.8730","7.1090","6.8490","","2.60%"
"08/01/2023","6.8728","6.7766","6.9236","6.7340","","1.44%"
"07/01/2023","6.7755","6.8229","6.8759","6.6079","","-0.68%"
"06/01/2023","6.8219","6.9674","6.9848","6.7648","","-2.07%"
"05/01/2023","6.9660","6.7535","7.0022","6.7173","","2.97%"
"04/01/2023","6.7649","6.8678","6.9047","6.7171","","-1.54%"
"03/01/2023","6.8705","7.0380","7.0798","6.8128","","-2.36%"
"02/01/2023","7.0368","6.8481","7.0665","6.7420","","2.78%"
"01/01/2023","6.8467","6.9488","7.0943","6.8063","","-1.44%"
"12/01/2022","6.9467","7.1461","7.1557","6.9292","","-2.79%"
"11/01/2022","7.1459","7.5338","7.6491","7.0844","","-5.14%"
"10/01/2022","7.5328","7.5853","7.7219","7.3687","","-0.67%"
"09/01/2022","7.5838","7.3970","7.7984","7.2920","","2.53%"
"08/01/2022","7.3966","7.2852","7.5120","7.1756","","1.62%"
"07/01/2022","7.2789","7.0941","7.4784","7.0923","","2.62%"
"06/01/2022","7.0929","6.9309","7.1803","6.9047","","2.35%"
"05/01/2022","6.9300","7.0497","7.1897","6.8960","","-1.78%"
"04/01/2022","7.0554","6.7211","7.1069","6.7153","","4.97%"
"03/01/2022","6.7212","6.6300","6.8844","6.6220","","1.39%"
"02/01/2022","6.6291","6.6232","6.7013","6.4711","","0.09%"
"01/01/2022","6.6231","6.5427","6.6929","6.4807","","1.26%"
"12/01/2021","6.5405","6.5588","6.6266","6.5311","","-0.27%"
"11/01/2021","6.5585","6.4345","6.6483","6.4022","","1.95%"
"10/01/2021","6.4333","6.4235","6.4571","6.3615","","0.17%"
"09/01/2021","6.4226","6.2974","6.4321","6.2439","","1.98%"
"08/01/2021","6.2977","6.2677","6.3765","6.2488","","0.51%"
"07/01/2021","6.2660","6.2716","6.3298","6.2453","","-0.08%"
"06/01/2021","6.2713","6.0828","6.2783","6.0682","","3.12%"
"05/01/2021","6.0818","6.1869","6.2044","6.0616","","-1.67%"
"04/01/2021","6.1854","6.3408","6.3511","6.1195","","-2.43%"
"03/01/2021","6.3392","6.1591","6.3552","6.1386","","2.93%"
"02/01/2021","6.1589","6.1280","6.2222","6.0735","","0.52%"
"01/01/2021","6.1271","6.0929","6.1722","6.0227","","0.57%"
"12/01/2020","6.0924","6.2403","6.2416","6.0426","","-2.36%"
"11/01/2020","6.2396","6.3876","6.4173","6.1996","","-2.37%"
"10/01/2020","6.3913","6.3522","6.3964","6.2630","","0.63%"
"09/01/2020","6.3510","6.2350","6.4133","6.1972","","1.86%"
"08/01/2020","6.2350","6.3231","6.3667","6.2200","","-1.39%"
"07/01/2020","6.3226","6.6337","6.6628","6.2508","","-4.68%"
"06/01/2020","6.6330","6.7135","6.7166","6.5267","","-1.16%"
"05/01/2020","6.7107","6.8123","6.9295","6.6879","","-1.49%"
"04/01/2020","6.8121","6.7652","6.9524","6.7622","","0.69%"
"03/01/2020","6.7655","6.7868","7.0217","6.5039","","-0.14%"
"02/01/2020","6.7750","6.7360","6.9302","6.7345","","0.58%"
"01/01/2020","6.7356","6.6627","6.7987","6.6554","","1.10%"
"12/01/2019","6.6620","6.7839","6.7904","6.6470","","-1.75%"
"11/01/2019","6.7808","6.6995","6.8042","6.6851","","1.23%"
"10/01/2019","6.6987","6.8495","6.8623","6.6828","","-2.20%"
"09/01/2019","6.8493","6.7859","6.8592","6.7179","","0.97%"
"08/01/2019","6.7835","6.7417","6.8015","6.6343","","0.62%"
"07/01/2019","6.7415","6.5644","6.7525","6.5639","","2.71%"
"06/01/2019","6.5638","6.6863","6.6915","6.5420","","-1.83%"
"05/01/2019","6.6864","6.6577","6.7235","6.6272","","0.43%"
"04/01/2019","6.6577","6.6543","6.7184","6.5913","","0.05%"
"03/01/2019","6.6545","6.5615","6.6747","6.5185","","1.42%"
"02/01/2019","6.5611","6.5222","6.6420","6.4983","","0.61%"
"01/01/2019","6.5212","6.5111","6.6133","6.4531","","0.16%"
"12/01/2018","6.5107","6.5750","6.6253","6.4998","","-1.25%"
"11/01/2018","6.5932","6.5953","6.6522","6.4862","","-0.03%"
"10/01/2018","6.5953","6.4267","6.6024","6.4124","","2.63%"
"09/01/2018","6.4263","6.4250","6.4699","6.3137","","0.02%"
"08/01/2018","6.4253","6.3741","6.5988","6.3556","","0.83%"
"07/01/2018","6.3727","6.3964","6.4399","6.3214","","-0.06%"
"06/01/2018","6.3763","6.3657","6.4749","6.2866","","0.19%"
"05/01/2018","6.3642","6.1687","6.4675","6.1647","","3.19%"
"04/01/2018","6.1677","6.0494","6.1803","5.9991","","1.98%"
"03/01/2018","6.0479","6.1064","6.1269","5.9662","","-0.95%"
"02/01/2018","6.1060","5.9953","6.1099","5.9328","","1.86%"
"01/01/2018","5.9947","6.2049","6.2497","5.9382","","-3.38%"
"12/01/2017","6.2041","6.2514","6.3524","6.1902","","-0.76%"
"11/01/2017","6.2515","6.3898","6.4412","6.2220","","-2.16%"
"10/01/2017","6.3892","6.2987","6.4290","6.2649","","1.45%"
"09/01/2017","6.2979","6.2449","6.3510","6.1528","","0.86%"
"08/01/2017","6.2442","6.2800","6.3759","6.1631","","-0.56%"
"07/01/2017","6.2793","6.5123","6.5741","6.2778","","-3.51%"
"06/01/2017","6.5075","6.6155","6.6906","6.4963","","-1.63%"
"05/01/2017","6.6151","6.8273","6.8642","6.6060","","-3.10%"
"04/01/2017","6.8267","6.9823","7.0356","6.7942","","-2.21%"
"03/01/2017","6.9810","7.0291","7.0833","6.8224","","-0.67%"
"02/01/2017","7.0282","6.8867","7.0837","6.8684","","2.06%"
"01/01/2017","6.8862","7.0631","7.1892","6.8783","","-2.51%"
"12/01/2016","7.0638","7.0264","7.1814","6.8421","","0.55%"
"11/01/2016","7.0255","6.7730","7.0732","6.5860","","3.73%"
"10/01/2016","6.7728","6.6263","6.8555","6.6203","","2.27%"
"09/01/2016","6.6225","6.6712","6.7014","6.5707","","-0.71%"
"08/01/2016","6.6701","6.6583","6.7328","6.5470","","0.20%"
"07/01/2016","6.6567","6.6964","6.7923","6.6427","","-0.58%"
"06/01/2016","6.6955","6.6817","6.8156","6.5134","","0.21%"
"05/01/2016","6.6812","6.5039","6.7012","6.4057","","2.79%"
"04/01/2016","6.4999","6.5475","6.6336","6.4921","","-0.73%"
"03/01/2016","6.5476","6.8606","6.8912","6.5284","","-4.55%"
"02/01/2016","6.8597","6.8882","6.9003","6.5613","","-0.40%"
"01/01/2016","6.8873","6.8717","6.9651","6.7943","","0.23%"
"12/01/2015","6.8718","7.0617","7.0773","6.7460","","-2.69%"
"11/01/2015","7.0615","6.7748","7.0663","6.7481","","4.20%"
"10/01/2015","6.7766","6.6756","6.8456","6.4906","","1.53%"
"09/01/2015","6.6748","6.6579","6.7288","6.5105","","0.26%"
"08/01/2015","6.6572","6.7964","6.8786","6.3727","","-2.00%"
"07/01/2015","6.7934","6.6959","6.9012","6.6535","","1.43%"
"06/01/2015","6.6975","6.7913","6.8509","6.5242","","-1.33%"
"05/01/2015","6.7875","6.6527","6.8910","6.5106","","2.04%"
"04/01/2015","6.6518","6.9617","7.1012","6.6279","","-4.45%"
"03/01/2015","6.9617","6.6733","7.1276","6.6388","","4.41%"
"02/01/2015","6.6675","6.5825","6.6788","6.4555","","1.26%"
"01/01/2015","6.5844","6.1547","6.6967","6.1505","","6.98%"
"12/01/2014","6.1547","5.9751","6.1566","5.9197","","2.96%"
"11/01/2014","5.9778","5.9513","6.0195","5.9089","","0.60%"
"10/01/2014","5.9423","5.8935","5.9618","5.7773","","0.84%"
"09/01/2014","5.8926","5.6691","5.9208","5.6590","","3.90%"
"08/01/2014","5.6715","5.5685","5.6725","5.5452","","1.86%"
"07/01/2014","5.5677","5.4453","5.5784","5.4420","","2.26%"
"06/01/2014","5.4449","5.4735","5.5267","5.4428","","-0.53%"
"05/01/2014","5.4737","5.3828","5.4939","5.3336","","1.73%"
"04/01/2014","5.3808","5.4221","5.4607","5.3686","","-0.76%"
"03/01/2014","5.4219","5.4134","5.4483","5.3431","","0.29%"
"02/01/2014","5.4063","5.5313","5.5380","5.3976","","-2.24%"
"01/01/2014","5.5302","5.4284","5.5370","5.4143","","1.92%"
"12/01/2013","5.4262","5.4865","5.5167","5.3692","","-1.13%"
"11/01/2013","5.4881","5.4907","5.6106","5.4748","","0.00%"
"10/01/2013","5.4881","5.5134","5.5366","5.3918","","-0.42%"
"09/01/2013","5.5114","5.6382","5.6925","5.4959","","-2.28%"
"08/01/2013","5.6402","5.6048","5.6630","5.5434","","0.65%"
"07/01/2013","5.6037","5.7331","5.8475","5.5865","","-2.23%"
"06/01/2013","5.7316","5.7391","5.7543","5.5588","","-0.07%"
"05/01/2013","5.7359","5.6612","5.8240","5.6293","","1.32%"
"04/01/2013","5.6610","5.8176","5.8481","5.6473","","-2.64%"
"03/01/2013","5.8147","5.7112","5.8458","5.6765","","1.83%"
"02/01/2013","5.7101","5.4929","5.7309","5.4405","","3.95%"
"01/01/2013","5.4929","5.6557","5.7390","5.4880","","-2.80%"
"12/01/2012","5.6512","5.7439","5.7934","5.6056","","-1.60%"
"11/01/2012","5.7432","5.7558","5.8902","5.7259","","-0.19%"
"10/01/2012","5.7540","5.7983","5.8233","5.6767","","-0.72%"
"09/01/2012","5.7955","5.9278","5.9601","5.6600","","-2.17%"
"08/01/2012","5.9240","6.0484","6.1337","5.8958","","-2.02%"
"07/01/2012","6.0462","5.8656","6.1785","5.8646","","2.99%"
"06/01/2012","5.8708","6.0125","6.0479","5.8295","","-2.32%"
"05/01/2012","6.0103","5.6182","6.0239","5.5989","","7.00%"
"04/01/2012","5.6173","5.6047","5.7246","5.5602","","0.76%"
"03/01/2012","5.5747","5.5772","5.7181","5.5542","","-0.05%"
"02/01/2012","5.5775","5.6812","5.7295","5.5128","","-1.87%"
"01/01/2012","5.6837","5.7424","5.8906","5.6180","","-1.03%"
"12/01/2011","5.7430","5.5315","5.7826","5.4861","","3.84%"
"11/01/2011","5.5307","5.3683","5.6294","5.3640","","3.01%"
"10/01/2011","5.3690","5.5773","5.6616","5.2246","","-3.34%"
"09/01/2011","5.5548","5.1801","5.5699","5.1788","","7.26%"
"08/01/2011","5.1786","5.1890","5.2996","5.1205","","0.19%"
"07/01/2011","5.1690","5.1427","5.3899","5.1163","","0.57%"
"06/01/2011","5.1398","5.1778","5.3004","5.0732","","-0.75%"
