"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","7.7828","7.7815","7.7838","7.7807","","0.01%"
"11/01/2024","7.7818","7.7731","7.7871","7.7685","","0.11%"
"10/01/2024","7.7729","7.7728","7.7773","7.7611","","0.00%"
"09/01/2024","7.7727","7.7976","7.8037","7.7630","","-0.32%"
"08/01/2024","7.7973","7.8127","7.8164","7.7699","","-0.19%"
"07/01/2024","7.8120","7.8081","7.8148","7.8031","","0.05%"
"06/01/2024","7.8080","7.8189","7.8218","7.8017","","-0.14%"
"05/01/2024","7.8187","7.8237","7.8248","7.7964","","-0.06%"
"04/01/2024","7.8235","7.8257","7.8387","7.8176","","-0.03%"
"03/01/2024","7.8255","7.8293","7.8299","7.8172","","-0.04%"
"02/01/2024","7.8288","7.8182","7.8296","7.8158","","0.14%"
"01/01/2024","7.8180","7.8087","7.8286","7.8046","","0.12%"
"12/01/2023","7.8086","7.8102","7.8200","7.7934","","-0.03%"
"11/01/2023","7.8106","7.8243","7.8275","7.7857","","-0.17%"
"10/01/2023","7.8237","7.8308","7.8345","7.8156","","-0.09%"
"09/01/2023","7.8307","7.8418","7.8466","7.8135","","-0.14%"
"08/01/2023","7.8417","7.7981","7.8481","7.7925","","0.57%"
"07/01/2023","7.7975","7.8368","7.8382","7.7938","","-0.49%"
"06/01/2023","7.8360","7.8296","7.8443","7.8129","","0.08%"
"05/01/2023","7.8298","7.8498","7.8503","7.8065","","-0.25%"
"04/01/2023","7.8495","7.8497","7.8504","7.8440","","0.00%"
"03/01/2023","7.8495","7.8493","7.8504","7.8355","","0.01%"
"02/01/2023","7.8491","7.8407","7.8503","7.8229","","0.11%"
"01/01/2023","7.8401","7.8096","7.8420","7.8017","","0.39%"
"12/01/2022","7.8095","7.8098","7.8100","7.7614","","0.00%"
"11/01/2022","7.8097","7.8492","7.8502","7.7976","","-0.50%"
"10/01/2022","7.8491","7.8495","7.8502","7.8470","","-0.01%"
"09/01/2022","7.8498","7.8491","7.8502","7.8463","","0.01%"
"08/01/2022","7.8490","7.8499","7.8503","7.8277","","-0.01%"
"07/01/2022","7.8497","7.8463","7.8505","7.8451","","0.04%"
"06/01/2022","7.8462","7.8470","7.8503","7.8437","","-0.01%"
"05/01/2022","7.8469","7.8464","7.8505","7.8450","","0.00%"
"04/01/2022","7.8466","7.8327","7.8486","7.8314","","0.19%"
"03/01/2022","7.8321","7.8141","7.8344","7.8116","","0.23%"
"02/01/2022","7.8139","7.7975","7.8152","7.7875","","0.21%"
"01/01/2022","7.7974","7.7959","7.8024","7.7825","","0.02%"
"12/01/2021","7.7958","7.7973","7.8048","7.7882","","-0.02%"
"11/01/2021","7.7970","7.7788","7.8021","7.7787","","0.24%"
"10/01/2021","7.7787","7.7860","7.7884","7.7724","","-0.09%"
"09/01/2021","7.7859","7.7773","7.7896","7.7699","","0.11%"
"08/01/2021","7.7773","7.7726","7.7945","7.7716","","0.07%"
"07/01/2021","7.7720","7.7652","7.7856","7.7640","","0.10%"
"06/01/2021","7.7641","7.7610","7.7670","7.7561","","0.04%"
"05/01/2021","7.7607","7.7670","7.7702","7.7582","","-0.09%"
"04/01/2021","7.7674","7.7741","7.7866","7.7589","","-0.08%"
"03/01/2021","7.7739","7.7566","7.7765","7.7555","","0.23%"
"02/01/2021","7.7564","7.7530","7.7575","7.7509","","0.05%"
"01/01/2021","7.7528","7.7526","7.7575","7.7509","","0.01%"
"12/01/2020","7.7523","7.7513","7.7561","7.7503","","0.01%"
"11/01/2020","7.7516","7.7526","7.7574","7.7498","","0.00%"
"10/01/2020","7.7516","7.7501","7.7551","7.7497","","0.03%"
"09/01/2020","7.7496","7.7502","7.7511","7.7497","","-0.01%"
"08/01/2020","7.7501","7.7505","7.7515","7.7498","","0.00%"
"07/01/2020","7.7502","7.7505","7.7550","7.7495","","0.00%"
"06/01/2020","7.7505","7.7510","7.7547","7.7497","","-0.01%"
"05/01/2020","7.7509","7.7515","7.7579","7.7499","","-0.01%"
