Country,Quarter,Liabilities
AT,2000-Q1,80982.365
AU,2000-Q1,202512.219
BE,2000-Q1,691109.436
CA,2000-Q1,93249.288
CH,2000-Q1,1538022.413
DE,2000-Q1,1906835.883
DK,2000-Q1,127909.402
ES,2000-Q1,200003.024
FI,2000-Q1,31356.676
FR,2000-Q1,1070046.332
GB,2000-Q1,3562425.558
HK,2000-Q1,337835.023
IE,2000-Q1,330258.854
IT,2000-Q1,246219.151
JP,2000-Q1,851272.5920000001
NL,2000-Q1,639296.413
SE,2000-Q1,216871.454
US,2000-Q1,2067801.953
AT,2000-Q2,75060.457
AU,2000-Q2,224712.106
BE,2000-Q2,545599.264
CA,2000-Q2,99975.602
CH,2000-Q2,1137750.209
DE,2000-Q2,1784996.73
DK,2000-Q2,106768.809
ES,2000-Q2,204558.71
FI,2000-Q2,37410.986
FR,2000-Q2,904267.935
GB,2000-Q2,3461420.742
HK,2000-Q2,313286.755
IE,2000-Q2,307907.884
IT,2000-Q2,241383.109
JP,2000-Q2,1154623.601
NL,2000-Q2,571874.019
SE,2000-Q2,189845.769
US,2000-Q2,2326526.2509999997
AT,2000-Q3,82971.42099999999
AU,2000-Q3,228169.884
BE,2000-Q3,529551.311
CA,2000-Q3,89699.111
CH,2000-Q3,1359553.005
DE,2000-Q3,1683633.261
DK,2000-Q3,110269.189
ES,2000-Q3,200938.602
FI,2000-Q3,29959.709
FR,2000-Q3,1027481.438
GB,2000-Q3,3428163.668
HK,2000-Q3,310797.262
IE,2000-Q3,320284.15
IT,2000-Q3,245335.598
JP,2000-Q3,986793.852
NL,2000-Q3,575558.11
SE,2000-Q3,172995.642
US,2000-Q3,2253030.9529999997
AT,2000-Q4,70620.06999999999
AU,2000-Q4,238752.236
BE,2000-Q4,494469.08
CA,2000-Q4,96376.922
CH,2000-Q4,1369739.324
DE,2000-Q4,1865294.828
DK,2000-Q4,111779.144
ES,2000-Q4,230730.677
FI,2000-Q4,49217.582
FR,2000-Q4,1117918.679
GB,2000-Q4,3741889.741
HK,2000-Q4,320607.30199999997
IE,2000-Q4,336240.975
IT,2000-Q4,262185.728
JP,2000-Q4,1246378.066
NL,2000-Q4,464175.793
SE,2000-Q4,205551.412
US,2000-Q4,2336011.679
AT,2001-Q1,73660.526
AU,2001-Q1,232870.843
BE,2001-Q1,569281.1579999999
CA,2001-Q1,110279.049
CH,2001-Q1,1437116.525
DE,2001-Q1,2201112.377
DK,2001-Q1,132624.938
ES,2001-Q1,236900.935
FI,2001-Q1,57988.775
FR,2001-Q1,1251874.56
GB,2001-Q1,4128704.797
HK,2001-Q1,318667.091
IE,2001-Q1,389284.091
IT,2001-Q1,294288.813
JP,2001-Q1,1128850.589
NL,2001-Q1,792799.762
SE,2001-Q1,212740.524
US,2001-Q1,2408655.7800000003
AT,2001-Q2,90414.462
AU,2001-Q2,227411.253
BE,2001-Q2,554478.451
CA,2001-Q2,93365.276
CH,2001-Q2,1267061.201
DE,2001-Q2,1822216.636
DK,2001-Q2,108168.274
ES,2001-Q2,210997.506
FI,2001-Q2,46530.046
FR,2001-Q2,1137452.094
GB,2001-Q2,3527590.361
HK,2001-Q2,275134.639
IE,2001-Q2,346705.374
IT,2001-Q2,268255.31999999995
JP,2001-Q2,922485.79
NL,2001-Q2,539963.743
SE,2001-Q2,176754.591
US,2001-Q2,2507296.287
AT,2001-Q3,71477.496
AU,2001-Q3,215970.107
BE,2001-Q3,661156.161
CA,2001-Q3,116271.152
CH,2001-Q3,1212068.171
DE,2001-Q3,1952529.854
DK,2001-Q3,112199.754
ES,2001-Q3,227467.682
FI,2001-Q3,59141.654
FR,2001-Q3,1071883.926
GB,2001-Q3,3776607.233
HK,2001-Q3,273763.711
IE,2001-Q3,376783.67
IT,2001-Q3,267303.616
JP,2001-Q3,1038543.422
NL,2001-Q3,657676.774
SE,2001-Q3,198175.417
US,2001-Q3,2198351.8989999997
AT,2001-Q4,77932.80799999999
AU,2001-Q4,247968.762
BE,2001-Q4,605499.439
CA,2001-Q4,115724.73
CH,2001-Q4,1274128.14
DE,2001-Q4,1779838.054
DK,2001-Q4,86884.304
ES,2001-Q4,225269.768
FI,2001-Q4,70521.307
FR,2001-Q4,1146634.472
GB,2001-Q4,4393325.657
HK,2001-Q4,246777.191
IE,2001-Q4,422545.584
IT,2001-Q4,238572.016
JP,2001-Q4,1083922.11
NL,2001-Q4,596284.2690000001
SE,2001-Q4,127760.994
US,2001-Q4,2737804.644
AT,2002-Q1,65435.422
AU,2002-Q1,253538.168
BE,2002-Q1,619852.313
CA,2002-Q1,119372.545
CH,2002-Q1,1355667.591
DE,2002-Q1,1897606.738
DK,2002-Q1,165094.563
ES,2002-Q1,230665.058
FI,2002-Q1,77314.022
FR,2002-Q1,1111584.629
GB,2002-Q1,4031741.95
HK,2002-Q1,233996.029
IE,2002-Q1,432582.004
IT,2002-Q1,249569.754
JP,2002-Q1,924272.703
NL,2002-Q1,696839.287
SE,2002-Q1,220052.325
US,2002-Q1,2522359.625
AT,2002-Q2,82022.201
AU,2002-Q2,308341.882
BE,2002-Q2,711515.23
CA,2002-Q2,119051.056
CH,2002-Q2,1377235.855
DE,2002-Q2,2055395.256
DK,2002-Q2,118781.208
ES,2002-Q2,286278.619
FI,2002-Q2,73304.944
FR,2002-Q2,1160128.184
GB,2002-Q2,4306645.552
HK,2002-Q2,247123.988
IE,2002-Q2,432096.519
IT,2002-Q2,277356.664
JP,2002-Q2,979778.61
NL,2002-Q2,694402.157
SE,2002-Q2,221304.518
US,2002-Q2,2653541.839
AT,2002-Q3,79503.21299999999
AU,2002-Q3,298924.145
BE,2002-Q3,692670.713
CA,2002-Q3,125043.198
CH,2002-Q3,1302908.028
DE,2002-Q3,2150391.805
DK,2002-Q3,145160.888
ES,2002-Q3,275418.042
FI,2002-Q3,92167.252
FR,2002-Q3,1264889.282
GB,2002-Q3,4568335.987
HK,2002-Q3,235707.2
IE,2002-Q3,460494.706
IT,2002-Q3,247151.774
JP,2002-Q3,979222.941
NL,2002-Q3,746703.505
SE,2002-Q3,202358.7
US,2002-Q3,2652472.417
AT,2002-Q4,72065.08600000001
AU,2002-Q4,319828.82
BE,2002-Q4,709679.007
BR,2002-Q4,74168.0
CA,2002-Q4,120199.847
CH,2002-Q4,1466134.094
CL,2002-Q4,16928.0
DE,2002-Q4,2134821.012
DK,2002-Q4,120297.191
ES,2002-Q4,281823.05700000003
FI,2002-Q4,35557.876
FR,2002-Q4,1368287.435
GB,2002-Q4,4945302.291
HK,2002-Q4,243494.134
IE,2002-Q4,484555.245
IT,2002-Q4,285776.853
JP,2002-Q4,1196913.451
NL,2002-Q4,829669.423
SE,2002-Q4,233007.452
US,2002-Q4,2830275.439
AT,2003-Q1,91812.205
AU,2003-Q1,347326.738
BE,2003-Q1,765579.439
BR,2003-Q1,86481.832
CA,2003-Q1,149231.242
CH,2003-Q1,1415356.563
CL,2003-Q1,17504.532
DE,2003-Q1,2419810.6229999997
DK,2003-Q1,270700.127
ES,2003-Q1,332442.54199999996
FI,2003-Q1,99541.306
FR,2003-Q1,1434924.992
GB,2003-Q1,5357738.515000001
HK,2003-Q1,236362.451
IE,2003-Q1,441111.939
IT,2003-Q1,344918.958
JP,2003-Q1,953434.392
NL,2003-Q1,876104.342
SE,2003-Q1,265855.219
US,2003-Q1,4057008.943
AT,2003-Q2,85093.986
AU,2003-Q2,387507.651
BE,2003-Q2,823752.51
BR,2003-Q2,73231.50200000001
CA,2003-Q2,106990.211
CH,2003-Q2,1483075.762
CL,2003-Q2,20263.477
DE,2003-Q2,2424755.156
DK,2003-Q2,184012.564
ES,2003-Q2,342593.141
FI,2003-Q2,101062.617
FR,2003-Q2,1483221.329
GB,2003-Q2,5733684.768
HK,2003-Q2,232298.237
IE,2003-Q2,500699.482
IT,2003-Q2,333274.80700000003
JP,2003-Q2,1166209.541
NL,2003-Q2,934150.945
